时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,82.0
5,9,50.0
5,10,36.0
5,11,28.0
6,0,17.0
6,1,25.0
6,2,15.0
6,3,11.0
6,4,13.0
6,5,12.0
6,6,20.0
6,7,107.0
6,8,43.0
6,9,37.0
6,10,19.0
6,11,36.0
7,0,36.0
7,1,84.0
7,2,128.0
7,3,75.0
7,4,106.0
7,5,92.0
7,6,50.0
7,7,50.0
7,8,83.0
7,9,150.0
7,10,117.0
7,11,124.0
8,0,103.0
8,1,83.0
8,2,160.0
8,3,167.0
8,4,141.0
8,5,125.0
8,6,86.0
8,7,111.0
8,8,143.0
8,9,142.0
8,10,140.0
8,11,134.0
9,0,85.0
9,1,104.0
9,2,169.0
9,3,145.0
9,4,150.0
9,5,105.0
9,6,82.0
9,7,98.0
9,8,123.0
9,9,116.0
9,10,72.0
9,11,65.0
10,0,78.0
10,1,65.0
10,2,77.0
10,3,110.0
10,4,36.0
10,5,109.0
10,6,125.0
10,7,77.0
10,8,87.0
10,9,50.0
10,10,145.0
10,11,105.0
11,0,89.0
11,1,64.0
11,2,120.0
11,3,51.0
11,4,201.0
11,5,108.0
11,6,58.0
11,7,103.0
11,8,43.0
11,9,107.0
11,10,60.0
11,11,60.0
12,0,93.0
12,1,38.0
12,2,103.0
12,3,36.0
12,4,93.0
12,5,93.0
12,6,48.0
12,7,123.0
12,8,37.0
12,9,106.0
12,10,95.0
12,11,71.0
13,0,88.0
13,1,48.0
13,2,68.0
13,3,70.0
13,4,77.0
13,5,94.0
13,6,62.0
13,7,122.0
13,8,78.0
13,9,77.0
13,10,91.0
13,11,71.0
14,0,116.0
14,1,99.0
14,2,122.0
14,3,135.0
14,4,72.0
14,5,121.0
14,6,73.0
14,7,122.0
14,8,116.0
14,9,93.0
14,10,131.0
14,11,74.0
15,0,149.0
15,1,110.0
15,2,127.0
15,3,144.0
15,4,61.0
15,5,116.0
15,6,54.0
15,7,171.0
15,8,124.0
15,9,114.0
15,10,156.0
15,11,51.0
16,0,115.0
16,1,115.0
16,2,75.0
16,3,99.0
16,4,60.0
16,5,145.0
16,6,102.0
16,7,103.0
16,8,96.0
16,9,75.0
16,10,129.0
16,11,49.0
17,0,107.0
17,1,115.0
17,2,63.0
17,3,125.0
17,4,64.0
17,5,98.0
17,6,93.0
17,7,68.0
17,8,147.0
17,9,102.0
17,10,76.0
17,11,99.0
18,0,92.0
18,1,103.0
18,2,98.0
18,3,103.0
18,4,88.0
18,5,115.0
18,6,41.0
18,7,126.0
18,8,114.0
18,9,77.0
18,10,127.0
18,11,97.0
19,0,101.0
19,1,124.0
19,2,93.0
19,3,83.0
19,4,108.0
19,5,140.0
19,6,131.0
19,7,114.0
19,8,68.0
19,9,141.0
19,10,113.0
19,11,98.0
20,0,117.0
20,1,117.0
20,2,75.0
20,3,170.0
20,4,170.0
20,5,136.0
20,6,123.0
20,7,153.0
20,8,92.0
20,9,76.0
20,10,60.0
20,11,75.0
21,0,96.0
21,1,98.0
21,2,88.0
21,3,74.0
21,4,113.0
21,5,99.0
21,6,67.0
21,7,71.0
21,8,67.0
21,9,62.0
21,10,79.0
21,11,46.0
22,0,53.0
22,1,10.0
22,2,39.0
22,3,29.0
22,4,29.0
22,5,9.0
22,6,19.0
22,7,18.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
