时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,1.0
5,10,1.0
5,11,3.0
6,0,4.0
6,1,4.0
6,2,3.0
6,3,1.0
6,4,7.0
6,5,1.0
6,6,10.0
6,7,5.0
6,8,7.0
6,9,10.0
6,10,2.0
6,11,5.0
7,0,8.0
7,1,27.0
7,2,16.0
7,3,8.0
7,4,22.0
7,5,9.0
7,6,23.0
7,7,23.0
7,8,50.0
7,9,37.0
7,10,41.0
7,11,37.0
8,0,60.0
8,1,94.0
8,2,84.0
8,3,81.0
8,4,57.0
8,5,28.0
8,6,77.0
8,7,60.0
8,8,61.0
8,9,50.0
8,10,26.0
8,11,22.0
9,0,44.0
9,1,39.0
9,2,21.0
9,3,22.0
9,4,14.0
9,5,8.0
9,6,33.0
9,7,19.0
9,8,18.0
9,9,11.0
9,10,15.0
9,11,11.0
10,0,7.0
10,1,9.0
10,2,18.0
10,3,5.0
10,4,5.0
10,5,6.0
10,6,5.0
10,7,9.0
10,8,8.0
10,9,11.0
10,10,10.0
10,11,14.0
11,0,6.0
11,1,8.0
11,2,11.0
11,3,16.0
11,4,4.0
11,5,3.0
11,6,9.0
11,7,4.0
11,8,8.0
11,9,5.0
11,10,9.0
11,11,7.0
12,0,7.0
12,1,10.0
12,2,4.0
12,3,21.0
12,4,12.0
12,5,3.0
12,6,10.0
12,7,4.0
12,8,10.0
12,9,6.0
12,10,4.0
12,11,12.0
13,0,3.0
13,1,8.0
13,2,3.0
13,3,11.0
13,4,9.0
13,5,7.0
13,6,4.0
13,7,18.0
13,8,8.0
13,9,8.0
13,10,3.0
13,11,10.0
14,0,2.0
14,1,6.0
14,2,9.0
14,3,4.0
14,4,13.0
14,5,10.0
14,6,11.0
14,7,7.0
14,8,4.0
14,9,15.0
14,10,15.0
14,11,8.0
15,0,9.0
15,1,9.0
15,2,19.0
15,3,4.0
15,4,18.0
15,5,9.0
15,6,21.0
15,7,15.0
15,8,14.0
15,9,7.0
15,10,25.0
15,11,25.0
16,0,13.0
16,1,31.0
16,2,23.0
16,3,31.0
16,4,24.0
16,5,25.0
16,6,28.0
16,7,26.0
16,8,36.0
16,9,40.0
16,10,24.0
16,11,31.0
17,0,15.0
17,1,25.0
17,2,23.0
17,3,16.0
17,4,18.0
17,5,16.0
17,6,28.0
17,7,13.0
17,8,18.0
17,9,20.0
17,10,17.0
17,11,11.0
18,0,15.0
18,1,20.0
18,2,9.0
18,3,6.0
18,4,4.0
18,5,12.0
18,6,5.0
18,7,15.0
18,8,5.0
18,9,12.0
18,10,3.0
18,11,7.0
19,0,4.0
19,1,8.0
19,2,4.0
19,3,8.0
19,4,13.0
19,5,11.0
19,6,11.0
19,7,18.0
19,8,11.0
19,9,6.0
19,10,8.0
19,11,7.0
20,0,6.0
20,1,4.0
20,2,7.0
20,3,17.0
20,4,7.0
20,5,9.0
20,6,6.0
20,7,12.0
20,8,15.0
20,9,6.0
20,10,4.0
20,11,5.0
21,0,23.0
21,1,6.0
21,2,7.0
21,3,9.0
21,4,8.0
21,5,6.0
21,6,3.0
21,7,1.0
21,8,7.0
21,9,9.0
21,10,1.0
21,11,9.0
22,0,1.0
22,1,3.0
22,2,3.0
22,3,4.0
22,4,2.0
22,5,3.0
22,6,1.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
