时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,3.0
5,6,30.0
5,7,48.0
5,8,33.0
5,9,47.0
5,10,40.0
5,11,57.0
6,0,66.0
6,1,77.0
6,2,95.0
6,3,152.0
6,4,98.0
6,5,157.0
6,6,186.0
6,7,161.0
6,8,282.0
6,9,296.0
6,10,260.0
6,11,321.0
7,0,359.0
7,1,388.0
7,2,406.0
7,3,634.0
7,4,611.0
7,5,619.0
7,6,534.0
7,7,699.0
7,8,730.0
7,9,968.0
7,10,875.0
7,11,839.0
8,0,1229.0
8,1,1394.0
8,2,1531.0
8,3,1427.0
8,4,1503.0
8,5,1485.0
8,6,1686.0
8,7,1776.0
8,8,1826.0
8,9,1917.0
8,10,1489.0
8,11,1321.0
9,0,1253.0
9,1,955.0
9,2,878.0
9,3,977.0
9,4,657.0
9,5,554.0
9,6,692.0
9,7,561.0
9,8,580.0
9,9,511.0
9,10,325.0
9,11,468.0
10,0,321.0
10,1,400.0
10,2,249.0
10,3,299.0
10,4,302.0
10,5,207.0
10,6,265.0
10,7,171.0
10,8,213.0
10,9,226.0
10,10,157.0
10,11,174.0
11,0,170.0
11,1,187.0
11,2,138.0
11,3,190.0
11,4,185.0
11,5,134.0
11,6,213.0
11,7,163.0
11,8,180.0
11,9,174.0
11,10,127.0
11,11,228.0
12,0,173.0
12,1,160.0
12,2,166.0
12,3,261.0
12,4,186.0
12,5,181.0
12,6,170.0
12,7,190.0
12,8,206.0
12,9,145.0
12,10,158.0
12,11,245.0
13,0,173.0
13,1,161.0
13,2,212.0
13,3,159.0
13,4,194.0
13,5,143.0
13,6,205.0
13,7,201.0
13,8,175.0
13,9,196.0
13,10,175.0
13,11,190.0
14,0,148.0
14,1,144.0
14,2,197.0
14,3,169.0
14,4,176.0
14,5,222.0
14,6,128.0
14,7,204.0
14,8,182.0
14,9,128.0
14,10,203.0
14,11,177.0
15,0,162.0
15,1,160.0
15,2,207.0
15,3,166.0
15,4,176.0
15,5,142.0
15,6,210.0
15,7,252.0
15,8,223.0
15,9,190.0
15,10,140.0
15,11,237.0
16,0,233.0
16,1,183.0
16,2,281.0
16,3,206.0
16,4,202.0
16,5,199.0
16,6,271.0
16,7,258.0
16,8,252.0
16,9,307.0
16,10,330.0
16,11,308.0
17,0,324.0
17,1,394.0
17,2,459.0
17,3,650.0
17,4,705.0
17,5,488.0
17,6,456.0
17,7,541.0
17,8,834.0
17,9,818.0
17,10,899.0
17,11,903.0
18,0,754.0
18,1,1116.0
18,2,1266.0
18,3,1367.0
18,4,1347.0
18,5,1416.0
18,6,1260.0
18,7,1132.0
18,8,1038.0
18,9,912.0
18,10,1032.0
18,11,798.0
19,0,1045.0
19,1,810.0
19,2,535.0
19,3,490.0
19,4,529.0
19,5,546.0
19,6,543.0
19,7,405.0
19,8,336.0
19,9,495.0
19,10,318.0
19,11,367.0
20,0,268.0
20,1,276.0
20,2,340.0
20,3,198.0
20,4,390.0
20,5,254.0
20,6,274.0
20,7,252.0
20,8,223.0
20,9,285.0
20,10,224.0
20,11,271.0
21,0,178.0
21,1,266.0
21,2,300.0
21,3,277.0
21,4,232.0
21,5,222.0
21,6,217.0
21,7,220.0
21,8,189.0
21,9,180.0
21,10,215.0
21,11,206.0
22,0,188.0
22,1,192.0
22,2,120.0
22,3,152.0
22,4,193.0
22,5,146.0
22,6,125.0
22,7,161.0
22,8,145.0
22,9,159.0
22,10,82.0
22,11,96.0
23,0,62.0
23,1,55.0
23,2,54.0
23,3,44.0
23,4,20.0
23,5,17.0
23,6,22.0
23,7,11.0
23,8,26.0
23,9,0.0
23,10,0.0
23,11,0.0
