时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,1.0
5,4,2.0
5,5,5.0
5,6,6.0
5,7,6.0
5,8,11.0
5,9,17.0
5,10,37.0
5,11,32.0
6,0,37.0
6,1,79.0
6,2,22.0
6,3,38.0
6,4,88.0
6,5,83.0
6,6,82.0
6,7,128.0
6,8,140.0
6,9,130.0
6,10,161.0
6,11,129.0
7,0,161.0
7,1,160.0
7,2,164.0
7,3,171.0
7,4,219.0
7,5,199.0
7,6,268.0
7,7,158.0
7,8,297.0
7,9,322.0
7,10,502.0
7,11,376.0
8,0,363.0
8,1,384.0
8,2,613.0
8,3,403.0
8,4,614.0
8,5,359.0
8,6,523.0
8,7,250.0
8,8,393.0
8,9,291.0
8,10,379.0
8,11,301.0
9,0,217.0
9,1,135.0
9,2,302.0
9,3,222.0
9,4,199.0
9,5,163.0
9,6,287.0
9,7,98.0
9,8,213.0
9,9,148.0
9,10,223.0
9,11,147.0
10,0,210.0
10,1,105.0
10,2,178.0
10,3,145.0
10,4,135.0
10,5,129.0
10,6,138.0
10,7,73.0
10,8,143.0
10,9,90.0
10,10,137.0
10,11,96.0
11,0,160.0
11,1,116.0
11,2,123.0
11,3,94.0
11,4,166.0
11,5,93.0
11,6,135.0
11,7,68.0
11,8,161.0
11,9,96.0
11,10,114.0
11,11,61.0
12,0,116.0
12,1,164.0
12,2,149.0
12,3,86.0
12,4,125.0
12,5,107.0
12,6,161.0
12,7,134.0
12,8,103.0
12,9,130.0
12,10,158.0
12,11,70.0
13,0,199.0
13,1,83.0
13,2,104.0
13,3,102.0
13,4,95.0
13,5,131.0
13,6,157.0
13,7,81.0
13,8,181.0
13,9,86.0
13,10,155.0
13,11,163.0
14,0,102.0
14,1,122.0
14,2,153.0
14,3,88.0
14,4,157.0
14,5,161.0
14,6,110.0
14,7,100.0
14,8,97.0
14,9,121.0
14,10,139.0
14,11,106.0
15,0,142.0
15,1,91.0
15,2,115.0
15,3,138.0
15,4,158.0
15,5,105.0
15,6,166.0
15,7,75.0
15,8,170.0
15,9,116.0
15,10,120.0
15,11,150.0
16,0,119.0
16,1,132.0
16,2,196.0
16,3,125.0
16,4,214.0
16,5,139.0
16,6,248.0
16,7,138.0
16,8,259.0
16,9,123.0
16,10,269.0
16,11,128.0
17,0,251.0
17,1,177.0
17,2,305.0
17,3,280.0
17,4,352.0
17,5,274.0
17,6,224.0
17,7,212.0
17,8,312.0
17,9,196.0
17,10,337.0
17,11,214.0
18,0,313.0
18,1,199.0
18,2,359.0
18,3,228.0
18,4,219.0
18,5,235.0
18,6,336.0
18,7,220.0
18,8,229.0
18,9,232.0
18,10,262.0
18,11,110.0
19,0,255.0
19,1,177.0
19,2,221.0
19,3,80.0
19,4,214.0
19,5,144.0
19,6,153.0
19,7,118.0
19,8,178.0
19,9,140.0
19,10,138.0
19,11,121.0
20,0,161.0
20,1,142.0
20,2,115.0
20,3,100.0
20,4,115.0
20,5,72.0
20,6,127.0
20,7,123.0
20,8,118.0
20,9,75.0
20,10,126.0
20,11,69.0
21,0,85.0
21,1,95.0
21,2,152.0
21,3,64.0
21,4,76.0
21,5,91.0
21,6,80.0
21,7,66.0
21,8,84.0
21,9,118.0
21,10,85.0
21,11,54.0
22,0,79.0
22,1,49.0
22,2,53.0
22,3,73.0
22,4,42.0
22,5,63.0
22,6,26.0
22,7,53.0
22,8,41.0
22,9,55.0
22,10,43.0
22,11,32.0
23,0,29.0
23,1,45.0
23,2,8.0
23,3,26.0
23,4,9.0
23,5,19.0
23,6,11.0
23,7,9.0
23,8,3.0
23,9,2.0
23,10,3.0
23,11,0.0
