时,第x个五分钟,客流量
0,0,2.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,8.0
5,4,3.0
5,5,3.0
5,6,6.0
5,7,8.0
5,8,5.0
5,9,14.0
5,10,18.0
5,11,13.0
6,0,27.0
6,1,76.0
6,2,82.0
6,3,92.0
6,4,104.0
6,5,250.0
6,6,46.0
6,7,301.0
6,8,224.0
6,9,331.0
6,10,198.0
6,11,410.0
7,0,134.0
7,1,367.0
7,2,386.0
7,3,270.0
7,4,458.0
7,5,332.0
7,6,360.0
7,7,435.0
7,8,727.0
7,9,424.0
7,10,669.0
7,11,355.0
8,0,741.0
8,1,622.0
8,2,779.0
8,3,629.0
8,4,800.0
8,5,623.0
8,6,837.0
8,7,576.0
8,8,801.0
8,9,560.0
8,10,844.0
8,11,505.0
9,0,658.0
9,1,399.0
9,2,767.0
9,3,510.0
9,4,493.0
9,5,390.0
9,6,530.0
9,7,500.0
9,8,424.0
9,9,346.0
9,10,377.0
9,11,281.0
10,0,420.0
10,1,348.0
10,2,400.0
10,3,264.0
10,4,323.0
10,5,319.0
10,6,307.0
10,7,398.0
10,8,299.0
10,9,402.0
10,10,304.0
10,11,317.0
11,0,273.0
11,1,324.0
11,2,206.0
11,3,371.0
11,4,174.0
11,5,459.0
11,6,258.0
11,7,281.0
11,8,268.0
11,9,310.0
11,10,339.0
11,11,327.0
12,0,181.0
12,1,565.0
12,2,277.0
12,3,412.0
12,4,258.0
12,5,287.0
12,6,336.0
12,7,325.0
12,8,286.0
12,9,381.0
12,10,263.0
12,11,428.0
13,0,213.0
13,1,440.0
13,2,334.0
13,3,384.0
13,4,329.0
13,5,431.0
13,6,242.0
13,7,499.0
13,8,303.0
13,9,390.0
13,10,381.0
13,11,358.0
14,0,427.0
14,1,550.0
14,2,327.0
14,3,504.0
14,4,347.0
14,5,394.0
14,6,404.0
14,7,429.0
14,8,420.0
14,9,528.0
14,10,314.0
14,11,530.0
15,0,390.0
15,1,416.0
15,2,331.0
15,3,370.0
15,4,401.0
15,5,528.0
15,6,264.0
15,7,515.0
15,8,483.0
15,9,468.0
15,10,402.0
15,11,355.0
16,0,287.0
16,1,459.0
16,2,192.0
16,3,532.0
16,4,481.0
16,5,538.0
16,6,484.0
16,7,499.0
16,8,484.0
16,9,505.0
16,10,378.0
16,11,485.0
17,0,469.0
17,1,482.0
17,2,419.0
17,3,691.0
17,4,525.0
17,5,561.0
17,6,534.0
17,7,749.0
17,8,617.0
17,9,716.0
17,10,733.0
17,11,692.0
18,0,688.0
18,1,580.0
18,2,758.0
18,3,435.0
18,4,875.0
18,5,568.0
18,6,645.0
18,7,395.0
18,8,795.0
18,9,621.0
18,10,661.0
18,11,481.0
19,0,738.0
19,1,510.0
19,2,649.0
19,3,496.0
19,4,659.0
19,5,347.0
19,6,429.0
19,7,378.0
19,8,575.0
19,9,405.0
19,10,481.0
19,11,346.0
20,0,301.0
20,1,326.0
20,2,560.0
20,3,398.0
20,4,545.0
20,5,475.0
20,6,334.0
20,7,299.0
20,8,373.0
20,9,371.0
20,10,312.0
20,11,241.0
21,0,352.0
21,1,272.0
21,2,184.0
21,3,182.0
21,4,224.0
21,5,385.0
21,6,216.0
21,7,434.0
21,8,327.0
21,9,239.0
21,10,138.0
21,11,164.0
22,0,258.0
22,1,238.0
22,2,109.0
22,3,149.0
22,4,163.0
22,5,192.0
22,6,121.0
22,7,113.0
22,8,144.0
22,9,98.0
22,10,50.0
22,11,67.0
23,0,61.0
23,1,45.0
23,2,56.0
23,3,28.0
23,4,42.0
23,5,10.0
23,6,14.0
23,7,5.0
23,8,2.0
23,9,2.0
23,10,1.0
23,11,0.0
