时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,8.0
5,11,8.0
6,0,7.0
6,1,11.0
6,2,18.0
6,3,12.0
6,4,23.0
6,5,19.0
6,6,17.0
6,7,13.0
6,8,13.0
6,9,25.0
6,10,24.0
6,11,22.0
7,0,26.0
7,1,31.0
7,2,18.0
7,3,33.0
7,4,40.0
7,5,32.0
7,6,31.0
7,7,45.0
7,8,26.0
7,9,31.0
7,10,42.0
7,11,22.0
8,0,32.0
8,1,38.0
8,2,34.0
8,3,24.0
8,4,25.0
8,5,10.0
8,6,25.0
8,7,21.0
8,8,16.0
8,9,21.0
8,10,22.0
8,11,17.0
9,0,29.0
9,1,30.0
9,2,31.0
9,3,17.0
9,4,27.0
9,5,10.0
9,6,15.0
9,7,11.0
9,8,13.0
9,9,16.0
9,10,17.0
9,11,3.0
10,0,13.0
10,1,12.0
10,2,8.0
10,3,17.0
10,4,6.0
10,5,8.0
10,6,8.0
10,7,11.0
10,8,16.0
10,9,3.0
10,10,6.0
10,11,19.0
11,0,12.0
11,1,11.0
11,2,8.0
11,3,8.0
11,4,10.0
11,5,12.0
11,6,11.0
11,7,5.0
11,8,10.0
11,9,4.0
11,10,10.0
11,11,4.0
12,0,9.0
12,1,9.0
12,2,0.0
12,3,5.0
12,4,3.0
12,5,20.0
12,6,14.0
12,7,1.0
12,8,12.0
12,9,6.0
12,10,12.0
12,11,8.0
13,0,7.0
13,1,10.0
13,2,3.0
13,3,11.0
13,4,3.0
13,5,10.0
13,6,12.0
13,7,9.0
13,8,5.0
13,9,1.0
13,10,8.0
13,11,13.0
14,0,8.0
14,1,4.0
14,2,3.0
14,3,33.0
14,4,2.0
14,5,13.0
14,6,4.0
14,7,8.0
14,8,5.0
14,9,5.0
14,10,10.0
14,11,11.0
15,0,3.0
15,1,10.0
15,2,1.0
15,3,11.0
15,4,8.0
15,5,2.0
15,6,6.0
15,7,15.0
15,8,9.0
15,9,2.0
15,10,9.0
15,11,13.0
16,0,6.0
16,1,7.0
16,2,6.0
16,3,27.0
16,4,7.0
16,5,9.0
16,6,7.0
16,7,18.0
16,8,28.0
16,9,7.0
16,10,7.0
16,11,25.0
17,0,6.0
17,1,20.0
17,2,22.0
17,3,17.0
17,4,22.0
17,5,20.0
17,6,17.0
17,7,18.0
17,8,8.0
17,9,14.0
17,10,23.0
17,11,23.0
18,0,4.0
18,1,22.0
18,2,25.0
18,3,34.0
18,4,13.0
18,5,23.0
18,6,23.0
18,7,19.0
18,8,42.0
18,9,15.0
18,10,22.0
18,11,13.0
19,0,18.0
19,1,37.0
19,2,13.0
19,3,15.0
19,4,30.0
19,5,41.0
19,6,9.0
19,7,30.0
19,8,25.0
19,9,8.0
19,10,20.0
19,11,23.0
20,0,7.0
20,1,7.0
20,2,21.0
20,3,11.0
20,4,7.0
20,5,6.0
20,6,8.0
20,7,20.0
20,8,14.0
20,9,9.0
20,10,21.0
20,11,12.0
21,0,9.0
21,1,25.0
21,2,25.0
21,3,20.0
21,4,19.0
21,5,15.0
21,6,11.0
21,7,5.0
21,8,11.0
21,9,9.0
21,10,9.0
21,11,3.0
22,0,10.0
22,1,7.0
22,2,13.0
22,3,4.0
22,4,0.0
22,5,5.0
22,6,8.0
22,7,10.0
22,8,8.0
22,9,16.0
22,10,17.0
22,11,1.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
