时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,1.0
5,5,16.0
5,6,15.0
5,7,6.0
5,8,4.0
5,9,10.0
5,10,22.0
5,11,17.0
6,0,13.0
6,1,16.0
6,2,18.0
6,3,24.0
6,4,43.0
6,5,64.0
6,6,31.0
6,7,56.0
6,8,101.0
6,9,102.0
6,10,91.0
6,11,96.0
7,0,134.0
7,1,137.0
7,2,123.0
7,3,264.0
7,4,274.0
7,5,261.0
7,6,402.0
7,7,586.0
7,8,522.0
7,9,792.0
7,10,784.0
7,11,886.0
8,0,1157.0
8,1,1014.0
8,2,1258.0
8,3,1383.0
8,4,966.0
8,5,1197.0
8,6,1536.0
8,7,1418.0
8,8,1314.0
8,9,1539.0
8,10,1423.0
8,11,1190.0
9,0,1341.0
9,1,823.0
9,2,1301.0
9,3,1158.0
9,4,1145.0
9,5,932.0
9,6,574.0
9,7,796.0
9,8,867.0
9,9,605.0
9,10,567.0
9,11,243.0
10,0,539.0
10,1,252.0
10,2,288.0
10,3,176.0
10,4,167.0
10,5,300.0
10,6,177.0
10,7,196.0
10,8,142.0
10,9,45.0
10,10,222.0
10,11,132.0
11,0,148.0
11,1,142.0
11,2,131.0
11,3,161.0
11,4,130.0
11,5,115.0
11,6,118.0
11,7,161.0
11,8,136.0
11,9,112.0
11,10,133.0
11,11,168.0
12,0,131.0
12,1,122.0
12,2,113.0
12,3,205.0
12,4,140.0
12,5,114.0
12,6,146.0
12,7,142.0
12,8,171.0
12,9,143.0
12,10,169.0
12,11,205.0
13,0,137.0
13,1,153.0
13,2,142.0
13,3,113.0
13,4,253.0
13,5,144.0
13,6,119.0
13,7,172.0
13,8,181.0
13,9,127.0
13,10,122.0
13,11,155.0
14,0,140.0
14,1,100.0
14,2,119.0
14,3,157.0
14,4,108.0
14,5,137.0
14,6,134.0
14,7,142.0
14,8,138.0
14,9,117.0
14,10,111.0
14,11,196.0
15,0,109.0
15,1,104.0
15,2,149.0
15,3,141.0
15,4,135.0
15,5,142.0
15,6,115.0
15,7,181.0
15,8,143.0
15,9,149.0
15,10,101.0
15,11,154.0
16,0,140.0
16,1,142.0
16,2,142.0
16,3,220.0
16,4,205.0
16,5,164.0
16,6,168.0
16,7,215.0
16,8,240.0
16,9,422.0
16,10,247.0
16,11,234.0
17,0,375.0
17,1,319.0
17,2,564.0
17,3,593.0
17,4,712.0
17,5,743.0
17,6,587.0
17,7,742.0
17,8,886.0
17,9,1095.0
17,10,971.0
17,11,930.0
18,0,915.0
18,1,871.0
18,2,943.0
18,3,1167.0
18,4,1341.0
18,5,1073.0
18,6,1001.0
18,7,923.0
18,8,980.0
18,9,833.0
18,10,791.0
18,11,889.0
19,0,639.0
19,1,709.0
19,2,622.0
19,3,599.0
19,4,420.0
19,5,567.0
19,6,473.0
19,7,267.0
19,8,505.0
19,9,432.0
19,10,446.0
19,11,361.0
20,0,364.0
20,1,305.0
20,2,302.0
20,3,420.0
20,4,248.0
20,5,289.0
20,6,247.0
20,7,307.0
20,8,348.0
20,9,311.0
20,10,279.0
20,11,260.0
21,0,260.0
21,1,300.0
21,2,278.0
21,3,328.0
21,4,280.0
21,5,236.0
21,6,225.0
21,7,215.0
21,8,229.0
21,9,134.0
21,10,169.0
21,11,161.0
22,0,151.0
22,1,209.0
22,2,158.0
22,3,89.0
22,4,91.0
22,5,53.0
22,6,84.0
22,7,51.0
22,8,67.0
22,9,33.0
22,10,37.0
22,11,52.0
23,0,16.0
23,1,27.0
23,2,16.0
23,3,2.0
23,4,26.0
23,5,8.0
23,6,1.0
23,7,19.0
23,8,6.0
23,9,0.0
23,10,0.0
23,11,0.0
