时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,5.0
5,2,6.0
5,3,3.0
5,4,4.0
5,5,54.0
5,6,31.0
5,7,39.0
5,8,14.0
5,9,28.0
5,10,20.0
5,11,24.0
6,0,26.0
6,1,48.0
6,2,76.0
6,3,100.0
6,4,80.0
6,5,122.0
6,6,120.0
6,7,87.0
6,8,130.0
6,9,185.0
6,10,161.0
6,11,165.0
7,0,228.0
7,1,141.0
7,2,251.0
7,3,341.0
7,4,271.0
7,5,405.0
7,6,488.0
7,7,500.0
7,8,636.0
7,9,1028.0
7,10,826.0
7,11,1495.0
8,0,1735.0
8,1,1486.0
8,2,2566.0
8,3,2539.0
8,4,2352.0
8,5,2452.0
8,6,2025.0
8,7,2819.0
8,8,2852.0
8,9,2571.0
8,10,2483.0
8,11,2182.0
9,0,1914.0
9,1,1579.0
9,2,1850.0
9,3,1283.0
9,4,1148.0
9,5,1398.0
9,6,1006.0
9,7,772.0
9,8,908.0
9,9,745.0
9,10,551.0
9,11,637.0
10,0,413.0
10,1,510.0
10,2,488.0
10,3,472.0
10,4,413.0
10,5,315.0
10,6,430.0
10,7,351.0
10,8,459.0
10,9,331.0
10,10,399.0
10,11,367.0
11,0,367.0
11,1,319.0
11,2,347.0
11,3,343.0
11,4,378.0
11,5,514.0
11,6,425.0
11,7,342.0
11,8,284.0
11,9,377.0
11,10,404.0
11,11,373.0
12,0,334.0
12,1,297.0
12,2,365.0
12,3,382.0
12,4,375.0
12,5,325.0
12,6,336.0
12,7,357.0
12,8,400.0
12,9,345.0
12,10,393.0
12,11,333.0
13,0,425.0
13,1,391.0
13,2,399.0
13,3,405.0
13,4,477.0
13,5,420.0
13,6,404.0
13,7,402.0
13,8,496.0
13,9,451.0
13,10,358.0
13,11,347.0
14,0,537.0
14,1,349.0
14,2,372.0
14,3,327.0
14,4,441.0
14,5,384.0
14,6,367.0
14,7,381.0
14,8,367.0
14,9,366.0
14,10,389.0
14,11,299.0
15,0,410.0
15,1,376.0
15,2,388.0
15,3,388.0
15,4,454.0
15,5,391.0
15,6,392.0
15,7,389.0
15,8,414.0
15,9,388.0
15,10,408.0
15,11,350.0
16,0,368.0
16,1,364.0
16,2,385.0
16,3,405.0
16,4,517.0
16,5,409.0
16,6,410.0
16,7,491.0
16,8,505.0
16,9,507.0
16,10,628.0
16,11,446.0
17,0,628.0
17,1,804.0
17,2,1064.0
17,3,1381.0
17,4,1413.0
17,5,1310.0
17,6,1112.0
17,7,1376.0
17,8,1696.0
17,9,1960.0
17,10,2060.0
17,11,1695.0
18,0,1817.0
18,1,1730.0
18,2,1968.0
18,3,1967.0
18,4,1874.0
18,5,1686.0
18,6,1780.0
18,7,1735.0
18,8,1918.0
18,9,1304.0
18,10,1217.0
18,11,756.0
19,0,1022.0
19,1,889.0
19,2,927.0
19,3,877.0
19,4,840.0
19,5,677.0
19,6,670.0
19,7,606.0
19,8,593.0
19,9,622.0
19,10,505.0
19,11,609.0
20,0,496.0
20,1,553.0
20,2,494.0
20,3,597.0
20,4,512.0
20,5,455.0
20,6,439.0
20,7,438.0
20,8,447.0
20,9,442.0
20,10,453.0
20,11,440.0
21,0,424.0
21,1,461.0
21,2,504.0
21,3,518.0
21,4,438.0
21,5,379.0
21,6,409.0
21,7,385.0
21,8,351.0
21,9,357.0
21,10,341.0
21,11,332.0
22,0,352.0
22,1,449.0
22,2,659.0
22,3,343.0
22,4,281.0
22,5,163.0
22,6,204.0
22,7,150.0
22,8,131.0
22,9,92.0
22,10,63.0
22,11,52.0
23,0,34.0
23,1,29.0
23,2,14.0
23,3,13.0
23,4,4.0
23,5,6.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
