时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,3.0
5,5,6.0
5,6,1.0
5,7,12.0
5,8,5.0
5,9,58.0
5,10,21.0
5,11,36.0
6,0,71.0
6,1,47.0
6,2,89.0
6,3,125.0
6,4,148.0
6,5,191.0
6,6,131.0
6,7,179.0
6,8,247.0
6,9,107.0
6,10,242.0
6,11,299.0
7,0,256.0
7,1,334.0
7,2,395.0
7,3,429.0
7,4,489.0
7,5,456.0
7,6,502.0
7,7,498.0
7,8,631.0
7,9,570.0
7,10,536.0
7,11,776.0
8,0,770.0
8,1,791.0
8,2,994.0
8,3,1403.0
8,4,1099.0
8,5,932.0
8,6,1068.0
8,7,1324.0
8,8,1252.0
8,9,1028.0
8,10,1487.0
8,11,1519.0
9,0,1082.0
9,1,1232.0
9,2,1409.0
9,3,1317.0
9,4,1289.0
9,5,1250.0
9,6,992.0
9,7,1025.0
9,8,973.0
9,9,874.0
9,10,845.0
9,11,701.0
10,0,754.0
10,1,732.0
10,2,685.0
10,3,527.0
10,4,593.0
10,5,612.0
10,6,641.0
10,7,575.0
10,8,459.0
10,9,339.0
10,10,503.0
10,11,479.0
11,0,458.0
11,1,526.0
11,2,507.0
11,3,441.0
11,4,471.0
11,5,489.0
11,6,477.0
11,7,408.0
11,8,466.0
11,9,458.0
11,10,496.0
11,11,419.0
12,0,597.0
12,1,510.0
12,2,430.0
12,3,270.0
12,4,343.0
12,5,525.0
12,6,480.0
12,7,419.0
12,8,449.0
12,9,497.0
12,10,471.0
12,11,406.0
13,0,420.0
13,1,422.0
13,2,468.0
13,3,415.0
13,4,475.0
13,5,447.0
13,6,475.0
13,7,464.0
13,8,430.0
13,9,674.0
13,10,401.0
13,11,415.0
14,0,296.0
14,1,410.0
14,2,457.0
14,3,445.0
14,4,415.0
14,5,463.0
14,6,350.0
14,7,383.0
14,8,396.0
14,9,427.0
14,10,382.0
14,11,402.0
15,0,412.0
15,1,431.0
15,2,452.0
15,3,397.0
15,4,447.0
15,5,377.0
15,6,422.0
15,7,411.0
15,8,416.0
15,9,420.0
15,10,437.0
15,11,352.0
16,0,585.0
16,1,468.0
16,2,497.0
16,3,436.0
16,4,435.0
16,5,465.0
16,6,466.0
16,7,465.0
16,8,543.0
16,9,552.0
16,10,519.0
16,11,497.0
17,0,335.0
17,1,577.0
17,2,782.0
17,3,758.0
17,4,779.0
17,5,739.0
17,6,741.0
17,7,855.0
17,8,1253.0
17,9,983.0
17,10,1065.0
17,11,1000.0
18,0,922.0
18,1,1076.0
18,2,1221.0
18,3,1386.0
18,4,1206.0
18,5,1067.0
18,6,1099.0
18,7,975.0
18,8,1093.0
18,9,1311.0
18,10,862.0
18,11,753.0
19,0,429.0
19,1,688.0
19,2,637.0
19,3,580.0
19,4,547.0
19,5,539.0
19,6,450.0
19,7,419.0
19,8,441.0
19,9,427.0
19,10,387.0
19,11,352.0
20,0,361.0
20,1,398.0
20,2,376.0
20,3,497.0
20,4,340.0
20,5,307.0
20,6,352.0
20,7,338.0
20,8,337.0
20,9,307.0
20,10,353.0
20,11,324.0
21,0,265.0
21,1,380.0
21,2,386.0
21,3,301.0
21,4,312.0
21,5,272.0
21,6,292.0
21,7,321.0
21,8,276.0
21,9,270.0
21,10,247.0
21,11,223.0
22,0,194.0
22,1,329.0
22,2,332.0
22,3,379.0
22,4,281.0
22,5,184.0
22,6,141.0
22,7,129.0
22,8,106.0
22,9,85.0
22,10,65.0
22,11,58.0
23,0,27.0
23,1,73.0
23,2,27.0
23,3,35.0
23,4,6.0
23,5,14.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,25.0
23,11,0.0
