时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,2.0
5,8,7.0
5,9,13.0
5,10,14.0
5,11,17.0
6,0,11.0
6,1,19.0
6,2,28.0
6,3,28.0
6,4,28.0
6,5,34.0
6,6,56.0
6,7,55.0
6,8,71.0
6,9,90.0
6,10,105.0
6,11,76.0
7,0,164.0
7,1,141.0
7,2,165.0
7,3,103.0
7,4,142.0
7,5,159.0
7,6,175.0
7,7,166.0
7,8,167.0
7,9,180.0
7,10,192.0
7,11,201.0
8,0,184.0
8,1,349.0
8,2,313.0
8,3,282.0
8,4,290.0
8,5,418.0
8,6,200.0
8,7,378.0
8,8,395.0
8,9,224.0
8,10,232.0
8,11,236.0
9,0,508.0
9,1,254.0
9,2,288.0
9,3,223.0
9,4,189.0
9,5,155.0
9,6,148.0
9,7,190.0
9,8,124.0
9,9,123.0
9,10,129.0
9,11,115.0
10,0,42.0
10,1,131.0
10,2,64.0
10,3,140.0
10,4,67.0
10,5,87.0
10,6,98.0
10,7,56.0
10,8,99.0
10,9,61.0
10,10,60.0
10,11,88.0
11,0,56.0
11,1,80.0
11,2,69.0
11,3,60.0
11,4,72.0
11,5,54.0
11,6,33.0
11,7,93.0
11,8,62.0
11,9,71.0
11,10,30.0
11,11,79.0
12,0,70.0
12,1,31.0
12,2,79.0
12,3,92.0
12,4,76.0
12,5,47.0
12,6,84.0
12,7,78.0
12,8,46.0
12,9,116.0
12,10,72.0
12,11,77.0
13,0,57.0
13,1,86.0
13,2,92.0
13,3,79.0
13,4,53.0
13,5,80.0
13,6,56.0
13,7,85.0
13,8,94.0
13,9,67.0
13,10,39.0
13,11,102.0
14,0,67.0
14,1,62.0
14,2,87.0
14,3,71.0
14,4,94.0
14,5,83.0
14,6,60.0
14,7,87.0
14,8,80.0
14,9,53.0
14,10,77.0
14,11,78.0
15,0,50.0
15,1,77.0
15,2,113.0
15,3,80.0
15,4,54.0
15,5,96.0
15,6,86.0
15,7,60.0
15,8,100.0
15,9,90.0
15,10,116.0
15,11,68.0
16,0,130.0
16,1,101.0
16,2,79.0
16,3,116.0
16,4,161.0
16,5,123.0
16,6,140.0
16,7,142.0
16,8,161.0
16,9,130.0
16,10,155.0
16,11,151.0
17,0,190.0
17,1,259.0
17,2,247.0
17,3,230.0
17,4,190.0
17,5,196.0
17,6,186.0
17,7,287.0
17,8,256.0
17,9,257.0
17,10,225.0
17,11,237.0
18,0,158.0
18,1,286.0
18,2,341.0
18,3,290.0
18,4,234.0
18,5,257.0
18,6,222.0
18,7,213.0
18,8,168.0
18,9,228.0
18,10,175.0
18,11,130.0
19,0,101.0
19,1,125.0
19,2,125.0
19,3,113.0
19,4,101.0
19,5,121.0
19,6,77.0
19,7,61.0
19,8,98.0
19,9,97.0
19,10,76.0
19,11,58.0
20,0,72.0
20,1,93.0
20,2,75.0
20,3,77.0
20,4,69.0
20,5,63.0
20,6,89.0
20,7,84.0
20,8,34.0
20,9,73.0
20,10,91.0
20,11,68.0
21,0,50.0
21,1,64.0
21,2,50.0
21,3,78.0
21,4,65.0
21,5,79.0
21,6,55.0
21,7,57.0
21,8,64.0
21,9,50.0
21,10,49.0
21,11,58.0
22,0,49.0
22,1,64.0
22,2,55.0
22,3,57.0
22,4,34.0
22,5,38.0
22,6,45.0
22,7,7.0
22,8,22.0
22,9,13.0
22,10,32.0
22,11,12.0
23,0,15.0
23,1,10.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
