时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,4.0
5,5,3.0
5,6,5.0
5,7,10.0
5,8,13.0
5,9,15.0
5,10,20.0
5,11,22.0
6,0,34.0
6,1,56.0
6,2,66.0
6,3,51.0
6,4,72.0
6,5,74.0
6,6,81.0
6,7,102.0
6,8,94.0
6,9,131.0
6,10,140.0
6,11,128.0
7,0,166.0
7,1,163.0
7,2,203.0
7,3,247.0
7,4,241.0
7,5,260.0
7,6,336.0
7,7,344.0
7,8,385.0
7,9,417.0
7,10,447.0
7,11,444.0
8,0,528.0
8,1,585.0
8,2,585.0
8,3,569.0
8,4,586.0
8,5,519.0
8,6,521.0
8,7,538.0
8,8,497.0
8,9,425.0
8,10,421.0
8,11,318.0
9,0,328.0
9,1,345.0
9,2,278.0
9,3,248.0
9,4,275.0
9,5,235.0
9,6,243.0
9,7,190.0
9,8,175.0
9,9,167.0
9,10,162.0
9,11,154.0
10,0,105.0
10,1,129.0
10,2,120.0
10,3,134.0
10,4,128.0
10,5,109.0
10,6,90.0
10,7,109.0
10,8,117.0
10,9,76.0
10,10,82.0
10,11,82.0
11,0,68.0
11,1,66.0
11,2,86.0
11,3,71.0
11,4,77.0
11,5,94.0
11,6,65.0
11,7,70.0
11,8,91.0
11,9,80.0
11,10,100.0
11,11,67.0
12,0,79.0
12,1,90.0
12,2,69.0
12,3,98.0
12,4,66.0
12,5,107.0
12,6,109.0
12,7,77.0
12,8,85.0
12,9,66.0
12,10,93.0
12,11,80.0
13,0,82.0
13,1,63.0
13,2,88.0
13,3,75.0
13,4,66.0
13,5,75.0
13,6,71.0
13,7,88.0
13,8,75.0
13,9,89.0
13,10,80.0
13,11,72.0
14,0,83.0
14,1,51.0
14,2,98.0
14,3,83.0
14,4,68.0
14,5,91.0
14,6,89.0
14,7,98.0
14,8,80.0
14,9,90.0
14,10,84.0
14,11,86.0
15,0,95.0
15,1,75.0
15,2,98.0
15,3,94.0
15,4,67.0
15,5,78.0
15,6,118.0
15,7,125.0
15,8,93.0
15,9,88.0
15,10,115.0
15,11,82.0
16,0,113.0
16,1,116.0
16,2,126.0
16,3,115.0
16,4,84.0
16,5,148.0
16,6,132.0
16,7,156.0
16,8,164.0
16,9,165.0
16,10,183.0
16,11,163.0
17,0,192.0
17,1,210.0
17,2,299.0
17,3,244.0
17,4,271.0
17,5,254.0
17,6,301.0
17,7,320.0
17,8,271.0
17,9,304.0
17,10,336.0
17,11,329.0
18,0,335.0
18,1,391.0
18,2,384.0
18,3,409.0
18,4,341.0
18,5,386.0
18,6,359.0
18,7,383.0
18,8,374.0
18,9,340.0
18,10,384.0
18,11,347.0
19,0,312.0
19,1,294.0
19,2,255.0
19,3,258.0
19,4,211.0
19,5,178.0
19,6,205.0
19,7,164.0
19,8,151.0
19,9,167.0
19,10,143.0
19,11,129.0
20,0,138.0
20,1,109.0
20,2,103.0
20,3,116.0
20,4,110.0
20,5,149.0
20,6,105.0
20,7,140.0
20,8,109.0
20,9,103.0
20,10,136.0
20,11,94.0
21,0,111.0
21,1,94.0
21,2,122.0
21,3,96.0
21,4,128.0
21,5,84.0
21,6,101.0
21,7,134.0
21,8,87.0
21,9,99.0
21,10,79.0
21,11,101.0
22,0,97.0
22,1,100.0
22,2,77.0
22,3,68.0
22,4,105.0
22,5,87.0
22,6,53.0
22,7,72.0
22,8,43.0
22,9,42.0
22,10,6.0
22,11,48.0
23,0,4.0
23,1,15.0
23,2,11.0
23,3,3.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
