时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,24.0
5,5,7.0
5,6,5.0
5,7,11.0
5,8,15.0
5,9,17.0
5,10,21.0
5,11,18.0
6,0,40.0
6,1,24.0
6,2,37.0
6,3,26.0
6,4,52.0
6,5,84.0
6,6,48.0
6,7,53.0
6,8,86.0
6,9,57.0
6,10,97.0
6,11,124.0
7,0,99.0
7,1,128.0
7,2,209.0
7,3,199.0
7,4,166.0
7,5,204.0
7,6,186.0
7,7,219.0
7,8,273.0
7,9,143.0
7,10,274.0
7,11,192.0
8,0,210.0
8,1,253.0
8,2,243.0
8,3,160.0
8,4,205.0
8,5,219.0
8,6,88.0
8,7,180.0
8,8,131.0
8,9,92.0
8,10,132.0
8,11,87.0
9,0,45.0
9,1,102.0
9,2,30.0
9,3,96.0
9,4,38.0
9,5,92.0
9,6,36.0
9,7,103.0
9,8,21.0
9,9,94.0
9,10,36.0
9,11,60.0
10,0,30.0
10,1,81.0
10,2,36.0
10,3,42.0
10,4,25.0
10,5,63.0
10,6,30.0
10,7,55.0
10,8,30.0
10,9,54.0
10,10,46.0
10,11,51.0
11,0,45.0
11,1,54.0
11,2,17.0
11,3,39.0
11,4,34.0
11,5,43.0
11,6,48.0
11,7,28.0
11,8,53.0
11,9,40.0
11,10,21.0
11,11,49.0
12,0,27.0
12,1,28.0
12,2,62.0
12,3,31.0
12,4,42.0
12,5,63.0
12,6,18.0
12,7,22.0
12,8,81.0
12,9,26.0
12,10,53.0
12,11,28.0
13,0,22.0
13,1,84.0
13,2,16.0
13,3,30.0
13,4,75.0
13,5,24.0
13,6,18.0
13,7,69.0
13,8,20.0
13,9,68.0
13,10,27.0
13,11,24.0
14,0,46.0
14,1,53.0
14,2,30.0
14,3,60.0
14,4,21.0
14,5,22.0
14,6,52.0
14,7,19.0
14,8,23.0
14,9,96.0
14,10,23.0
14,11,89.0
15,0,27.0
15,1,26.0
15,2,76.0
15,3,29.0
15,4,30.0
15,5,75.0
15,6,23.0
15,7,32.0
15,8,66.0
15,9,27.0
15,10,30.0
15,11,97.0
16,0,34.0
16,1,91.0
16,2,66.0
16,3,36.0
16,4,109.0
16,5,44.0
16,6,56.0
16,7,121.0
16,8,60.0
16,9,71.0
16,10,138.0
16,11,72.0
17,0,67.0
17,1,188.0
17,2,85.0
17,3,164.0
17,4,122.0
17,5,75.0
17,6,122.0
17,7,129.0
17,8,30.0
17,9,117.0
17,10,117.0
17,11,84.0
18,0,128.0
18,1,87.0
18,2,121.0
18,3,56.0
18,4,195.0
18,5,49.0
18,6,148.0
18,7,80.0
18,8,161.0
18,9,91.0
18,10,129.0
18,11,78.0
19,0,181.0
19,1,16.0
19,2,180.0
19,3,28.0
19,4,161.0
19,5,113.0
19,6,41.0
19,7,4.0
19,8,160.0
19,9,61.0
19,10,75.0
19,11,39.0
20,0,58.0
20,1,10.0
20,2,96.0
20,3,8.0
20,4,65.0
20,5,14.0
20,6,80.0
20,7,11.0
20,8,60.0
20,9,40.0
20,10,16.0
20,11,11.0
21,0,93.0
21,1,10.0
21,2,6.0
21,3,86.0
21,4,5.0
21,5,50.0
21,6,29.0
21,7,8.0
21,8,10.0
21,9,86.0
21,10,9.0
21,11,73.0
22,0,7.0
22,1,6.0
22,2,54.0
22,3,8.0
22,4,38.0
22,5,4.0
22,6,3.0
22,7,58.0
22,8,2.0
22,9,1.0
22,10,41.0
22,11,10.0
23,0,29.0
23,1,0.0
23,2,28.0
23,3,0.0
23,4,25.0
23,5,0.0
23,6,12.0
23,7,1.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
