时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,18.0
5,8,22.0
5,9,22.0
5,10,26.0
5,11,23.0
6,0,28.0
6,1,43.0
6,2,35.0
6,3,54.0
6,4,53.0
6,5,77.0
6,6,134.0
6,7,96.0
6,8,129.0
6,9,138.0
6,10,183.0
6,11,226.0
7,0,212.0
7,1,180.0
7,2,233.0
7,3,277.0
7,4,254.0
7,5,348.0
7,6,358.0
7,7,341.0
7,8,403.0
7,9,476.0
7,10,479.0
7,11,501.0
8,0,577.0
8,1,594.0
8,2,512.0
8,3,531.0
8,4,628.0
8,5,503.0
8,6,516.0
8,7,631.0
8,8,531.0
8,9,775.0
8,10,688.0
8,11,468.0
9,0,463.0
9,1,372.0
9,2,363.0
9,3,331.0
9,4,169.0
9,5,381.0
9,6,169.0
9,7,206.0
9,8,252.0
9,9,168.0
9,10,141.0
9,11,170.0
10,0,134.0
10,1,72.0
10,2,123.0
10,3,156.0
10,4,156.0
10,5,106.0
10,6,100.0
10,7,146.0
10,8,67.0
10,9,91.0
10,10,109.0
10,11,96.0
11,0,111.0
11,1,86.0
11,2,108.0
11,3,121.0
11,4,78.0
11,5,89.0
11,6,119.0
11,7,69.0
11,8,119.0
11,9,114.0
11,10,73.0
11,11,105.0
12,0,114.0
12,1,102.0
12,2,76.0
12,3,129.0
12,4,122.0
12,5,85.0
12,6,102.0
12,7,145.0
12,8,73.0
12,9,100.0
12,10,120.0
12,11,115.0
13,0,71.0
13,1,129.0
13,2,109.0
13,3,64.0
13,4,126.0
13,5,121.0
13,6,126.0
13,7,58.0
13,8,120.0
13,9,107.0
13,10,80.0
13,11,95.0
14,0,132.0
14,1,88.0
14,2,66.0
14,3,170.0
14,4,149.0
14,5,58.0
14,6,122.0
14,7,90.0
14,8,99.0
14,9,72.0
14,10,102.0
14,11,126.0
15,0,62.0
15,1,96.0
15,2,145.0
15,3,136.0
15,4,77.0
15,5,142.0
15,6,128.0
15,7,89.0
15,8,123.0
15,9,124.0
15,10,106.0
15,11,85.0
16,0,157.0
16,1,115.0
16,2,122.0
16,3,158.0
16,4,163.0
16,5,144.0
16,6,111.0
16,7,176.0
16,8,190.0
16,9,141.0
16,10,214.0
16,11,169.0
17,0,215.0
17,1,324.0
17,2,368.0
17,3,277.0
17,4,333.0
17,5,309.0
17,6,403.0
17,7,409.0
17,8,411.0
17,9,411.0
17,10,416.0
17,11,343.0
18,0,291.0
18,1,354.0
18,2,521.0
18,3,395.0
18,4,323.0
18,5,347.0
18,6,333.0
18,7,400.0
18,8,304.0
18,9,299.0
18,10,292.0
18,11,287.0
19,0,283.0
19,1,241.0
19,2,246.0
19,3,218.0
19,4,236.0
19,5,190.0
19,6,195.0
19,7,137.0
19,8,131.0
19,9,157.0
19,10,116.0
19,11,116.0
20,0,133.0
20,1,129.0
20,2,106.0
20,3,99.0
20,4,93.0
20,5,59.0
20,6,106.0
20,7,136.0
20,8,92.0
20,9,95.0
20,10,113.0
20,11,71.0
21,0,119.0
21,1,136.0
21,2,79.0
21,3,97.0
21,4,131.0
21,5,116.0
21,6,33.0
21,7,120.0
21,8,112.0
21,9,41.0
21,10,161.0
21,11,97.0
22,0,41.0
22,1,96.0
22,2,67.0
22,3,66.0
22,4,80.0
22,5,22.0
22,6,72.0
22,7,33.0
22,8,49.0
22,9,65.0
22,10,10.0
22,11,42.0
23,0,21.0
23,1,2.0
23,2,40.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
