时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,7.0
5,8,5.0
5,9,10.0
5,10,26.0
5,11,30.0
6,0,48.0
6,1,27.0
6,2,32.0
6,3,51.0
6,4,42.0
6,5,64.0
6,6,60.0
6,7,62.0
6,8,62.0
6,9,63.0
6,10,99.0
6,11,87.0
7,0,136.0
7,1,104.0
7,2,106.0
7,3,127.0
7,4,154.0
7,5,151.0
7,6,200.0
7,7,236.0
7,8,244.0
7,9,271.0
7,10,257.0
7,11,285.0
8,0,222.0
8,1,284.0
8,2,313.0
8,3,225.0
8,4,275.0
8,5,296.0
8,6,301.0
8,7,300.0
8,8,278.0
8,9,273.0
8,10,176.0
8,11,181.0
9,0,243.0
9,1,232.0
9,2,171.0
9,3,173.0
9,4,214.0
9,5,144.0
9,6,120.0
9,7,149.0
9,8,126.0
9,9,117.0
9,10,98.0
9,11,70.0
10,0,136.0
10,1,135.0
10,2,94.0
10,3,101.0
10,4,101.0
10,5,85.0
10,6,96.0
10,7,88.0
10,8,55.0
10,9,105.0
10,10,91.0
10,11,99.0
11,0,95.0
11,1,86.0
11,2,106.0
11,3,57.0
11,4,82.0
11,5,80.0
11,6,74.0
11,7,94.0
11,8,85.0
11,9,68.0
11,10,74.0
11,11,96.0
12,0,79.0
12,1,64.0
12,2,96.0
12,3,99.0
12,4,89.0
12,5,90.0
12,6,60.0
12,7,90.0
12,8,105.0
12,9,86.0
12,10,103.0
12,11,70.0
13,0,133.0
13,1,72.0
13,2,126.0
13,3,82.0
13,4,74.0
13,5,115.0
13,6,73.0
13,7,95.0
13,8,82.0
13,9,105.0
13,10,102.0
13,11,77.0
14,0,100.0
14,1,92.0
14,2,100.0
14,3,65.0
14,4,97.0
14,5,73.0
14,6,81.0
14,7,107.0
14,8,80.0
14,9,107.0
14,10,79.0
14,11,103.0
15,0,90.0
15,1,100.0
15,2,112.0
15,3,86.0
15,4,98.0
15,5,91.0
15,6,106.0
15,7,111.0
15,8,74.0
15,9,122.0
15,10,108.0
15,11,99.0
16,0,91.0
16,1,101.0
16,2,113.0
16,3,98.0
16,4,124.0
16,5,105.0
16,6,125.0
16,7,108.0
16,8,140.0
16,9,112.0
16,10,152.0
16,11,140.0
17,0,168.0
17,1,195.0
17,2,239.0
17,3,240.0
17,4,199.0
17,5,185.0
17,6,185.0
17,7,190.0
17,8,165.0
17,9,207.0
17,10,181.0
17,11,174.0
18,0,172.0
18,1,197.0
18,2,200.0
18,3,245.0
18,4,211.0
18,5,169.0
18,6,215.0
18,7,166.0
18,8,136.0
18,9,161.0
18,10,164.0
18,11,131.0
19,0,102.0
19,1,87.0
19,2,111.0
19,3,105.0
19,4,77.0
19,5,85.0
19,6,52.0
19,7,84.0
19,8,85.0
19,9,54.0
19,10,68.0
19,11,76.0
20,0,64.0
20,1,63.0
20,2,66.0
20,3,51.0
20,4,61.0
20,5,45.0
20,6,44.0
20,7,51.0
20,8,85.0
20,9,40.0
20,10,55.0
20,11,66.0
21,0,58.0
21,1,61.0
21,2,52.0
21,3,41.0
21,4,35.0
21,5,52.0
21,6,45.0
21,7,53.0
21,8,55.0
21,9,42.0
21,10,58.0
21,11,26.0
22,0,37.0
22,1,37.0
22,2,26.0
22,3,34.0
22,4,33.0
22,5,36.0
22,6,37.0
22,7,27.0
22,8,22.0
22,9,0.0
22,10,29.0
22,11,8.0
23,0,23.0
23,1,12.0
23,2,3.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
