时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,11.0
5,4,7.0
5,5,12.0
5,6,4.0
5,7,7.0
5,8,7.0
5,9,16.0
5,10,7.0
5,11,19.0
6,0,13.0
6,1,18.0
6,2,37.0
6,3,24.0
6,4,17.0
6,5,55.0
6,6,31.0
6,7,25.0
6,8,62.0
6,9,55.0
6,10,60.0
6,11,64.0
7,0,53.0
7,1,98.0
7,2,102.0
7,3,101.0
7,4,110.0
7,5,103.0
7,6,117.0
7,7,169.0
7,8,120.0
7,9,142.0
7,10,156.0
7,11,115.0
8,0,222.0
8,1,119.0
8,2,153.0
8,3,106.0
8,4,177.0
8,5,116.0
8,6,101.0
8,7,93.0
8,8,123.0
8,9,76.0
8,10,48.0
8,11,85.0
9,0,67.0
9,1,35.0
9,2,89.0
9,3,36.0
9,4,62.0
9,5,39.0
9,6,44.0
9,7,46.0
9,8,39.0
9,9,66.0
9,10,65.0
9,11,41.0
10,0,89.0
10,1,42.0
10,2,48.0
10,3,23.0
10,4,13.0
10,5,58.0
10,6,16.0
10,7,70.0
10,8,38.0
10,9,66.0
10,10,26.0
10,11,46.0
11,0,26.0
11,1,45.0
11,2,33.0
11,3,51.0
11,4,18.0
11,5,35.0
11,6,47.0
11,7,23.0
11,8,42.0
11,9,39.0
11,10,24.0
11,11,36.0
12,0,18.0
12,1,37.0
12,2,43.0
12,3,29.0
12,4,37.0
12,5,19.0
12,6,10.0
12,7,55.0
12,8,39.0
12,9,12.0
12,10,40.0
12,11,9.0
13,0,30.0
13,1,51.0
13,2,11.0
13,3,33.0
13,4,43.0
13,5,19.0
13,6,83.0
13,7,17.0
13,8,19.0
13,9,76.0
13,10,11.0
13,11,15.0
14,0,68.0
14,1,14.0
14,2,47.0
14,3,41.0
14,4,18.0
14,5,39.0
14,6,42.0
14,7,16.0
14,8,64.0
14,9,28.0
14,10,22.0
14,11,82.0
15,0,15.0
15,1,16.0
15,2,66.0
15,3,18.0
15,4,34.0
15,5,73.0
15,6,21.0
15,7,59.0
15,8,38.0
15,9,22.0
15,10,85.0
15,11,22.0
16,0,27.0
16,1,76.0
16,2,20.0
16,3,15.0
16,4,70.0
16,5,30.0
16,6,19.0
16,7,83.0
16,8,63.0
16,9,80.0
16,10,29.0
16,11,40.0
17,0,83.0
17,1,57.0
17,2,85.0
17,3,118.0
17,4,42.0
17,5,103.0
17,6,35.0
17,7,91.0
17,8,30.0
17,9,132.0
17,10,23.0
17,11,128.0
18,0,32.0
18,1,134.0
18,2,32.0
18,3,120.0
18,4,20.0
18,5,93.0
18,6,18.0
18,7,104.0
18,8,9.0
18,9,129.0
18,10,17.0
18,11,113.0
19,0,51.0
19,1,57.0
19,2,67.0
19,3,104.0
19,4,17.0
19,5,89.0
19,6,11.0
19,7,27.0
19,8,77.0
19,9,56.0
19,10,7.0
19,11,59.0
20,0,12.0
20,1,44.0
20,2,19.0
20,3,40.0
20,4,13.0
20,5,34.0
20,6,23.0
20,7,42.0
20,8,21.0
20,9,11.0
20,10,4.0
20,11,31.0
21,0,20.0
21,1,7.0
21,2,17.0
21,3,38.0
21,4,11.0
21,5,49.0
21,6,5.0
21,7,4.0
21,8,68.0
21,9,6.0
21,10,2.0
21,11,37.0
22,0,5.0
22,1,10.0
22,2,47.0
22,3,7.0
22,4,34.0
22,5,4.0
22,6,3.0
22,7,26.0
22,8,1.0
22,9,0.0
22,10,38.0
22,11,1.0
23,0,16.0
23,1,11.0
23,2,2.0
23,3,0.0
23,4,12.0
23,5,0.0
23,6,7.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
