时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,3.0
5,5,4.0
5,6,4.0
5,7,3.0
5,8,8.0
5,9,6.0
5,10,12.0
5,11,10.0
6,0,7.0
6,1,22.0
6,2,35.0
6,3,63.0
6,4,36.0
6,5,64.0
6,6,79.0
6,7,94.0
6,8,109.0
6,9,111.0
6,10,116.0
6,11,144.0
7,0,152.0
7,1,174.0
7,2,149.0
7,3,243.0
7,4,209.0
7,5,242.0
7,6,222.0
7,7,289.0
7,8,238.0
7,9,374.0
7,10,380.0
7,11,497.0
8,0,531.0
8,1,541.0
8,2,708.0
8,3,768.0
8,4,802.0
8,5,747.0
8,6,829.0
8,7,467.0
8,8,1281.0
8,9,1161.0
8,10,766.0
8,11,886.0
9,0,651.0
9,1,619.0
9,2,334.0
9,3,448.0
9,4,865.0
9,5,484.0
9,6,406.0
9,7,391.0
9,8,330.0
9,9,318.0
9,10,325.0
9,11,374.0
10,0,348.0
10,1,258.0
10,2,227.0
10,3,268.0
10,4,174.0
10,5,180.0
10,6,145.0
10,7,136.0
10,8,143.0
10,9,157.0
10,10,186.0
10,11,162.0
11,0,131.0
11,1,128.0
11,2,143.0
11,3,189.0
11,4,122.0
11,5,109.0
11,6,98.0
11,7,139.0
11,8,107.0
11,9,104.0
11,10,166.0
11,11,115.0
12,0,127.0
12,1,97.0
12,2,104.0
12,3,159.0
12,4,136.0
12,5,122.0
12,6,147.0
12,7,145.0
12,8,160.0
12,9,119.0
12,10,148.0
12,11,147.0
13,0,104.0
13,1,145.0
13,2,163.0
13,3,150.0
13,4,135.0
13,5,137.0
13,6,125.0
13,7,164.0
13,8,203.0
13,9,87.0
13,10,166.0
13,11,119.0
14,0,124.0
14,1,108.0
14,2,114.0
14,3,133.0
14,4,150.0
14,5,142.0
14,6,147.0
14,7,154.0
14,8,127.0
14,9,145.0
14,10,124.0
14,11,138.0
15,0,131.0
15,1,106.0
15,2,164.0
15,3,145.0
15,4,157.0
15,5,156.0
15,6,153.0
15,7,179.0
15,8,176.0
15,9,169.0
15,10,178.0
15,11,150.0
16,0,156.0
16,1,168.0
16,2,171.0
16,3,181.0
16,4,215.0
16,5,164.0
16,6,162.0
16,7,183.0
16,8,259.0
16,9,223.0
16,10,232.0
16,11,270.0
17,0,304.0
17,1,350.0
17,2,435.0
17,3,407.0
17,4,322.0
17,5,424.0
17,6,382.0
17,7,499.0
17,8,721.0
17,9,674.0
17,10,698.0
17,11,531.0
18,0,481.0
18,1,535.0
18,2,762.0
18,3,765.0
18,4,649.0
18,5,694.0
18,6,630.0
18,7,435.0
18,8,526.0
18,9,449.0
18,10,466.0
18,11,359.0
19,0,362.0
19,1,323.0
19,2,268.0
19,3,292.0
19,4,256.0
19,5,254.0
19,6,183.0
19,7,215.0
19,8,183.0
19,9,179.0
19,10,221.0
19,11,144.0
20,0,161.0
20,1,156.0
20,2,164.0
20,3,185.0
20,4,147.0
20,5,158.0
20,6,112.0
20,7,140.0
20,8,132.0
20,9,105.0
20,10,80.0
20,11,135.0
21,0,97.0
21,1,132.0
21,2,143.0
21,3,141.0
21,4,122.0
21,5,112.0
21,6,131.0
21,7,91.0
21,8,112.0
21,9,128.0
21,10,119.0
21,11,107.0
22,0,105.0
22,1,73.0
22,2,86.0
22,3,95.0
22,4,70.0
22,5,72.0
22,6,55.0
22,7,48.0
22,8,46.0
22,9,37.0
22,10,20.0
22,11,8.0
23,0,1.0
23,1,8.0
23,2,2.0
23,3,1.0
23,4,2.0
23,5,4.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
