时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,1.0
5,7,3.0
5,8,4.0
5,9,5.0
5,10,5.0
5,11,10.0
6,0,6.0
6,1,1.0
6,2,10.0
6,3,14.0
6,4,4.0
6,5,9.0
6,6,9.0
6,7,10.0
6,8,13.0
6,9,13.0
6,10,12.0
6,11,6.0
7,0,28.0
7,1,31.0
7,2,23.0
7,3,26.0
7,4,29.0
7,5,52.0
7,6,38.0
7,7,35.0
7,8,64.0
7,9,55.0
7,10,47.0
7,11,45.0
8,0,66.0
8,1,35.0
8,2,68.0
8,3,34.0
8,4,22.0
8,5,44.0
8,6,32.0
8,7,28.0
8,8,41.0
8,9,25.0
8,10,14.0
8,11,20.0
9,0,12.0
9,1,32.0
9,2,12.0
9,3,14.0
9,4,22.0
9,5,14.0
9,6,11.0
9,7,14.0
9,8,7.0
9,9,14.0
9,10,5.0
9,11,14.0
10,0,2.0
10,1,9.0
10,2,1.0
10,3,4.0
10,4,6.0
10,5,15.0
10,6,1.0
10,7,8.0
10,8,7.0
10,9,1.0
10,10,14.0
10,11,7.0
11,0,7.0
11,1,3.0
11,2,9.0
11,3,8.0
11,4,7.0
11,5,5.0
11,6,2.0
11,7,14.0
11,8,1.0
11,9,13.0
11,10,10.0
11,11,4.0
12,0,17.0
12,1,7.0
12,2,5.0
12,3,19.0
12,4,0.0
12,5,18.0
12,6,24.0
12,7,9.0
12,8,17.0
12,9,6.0
12,10,18.0
12,11,20.0
13,0,7.0
13,1,7.0
13,2,27.0
13,3,7.0
13,4,10.0
13,5,24.0
13,6,7.0
13,7,15.0
13,8,13.0
13,9,1.0
13,10,4.0
13,11,32.0
14,0,4.0
14,1,17.0
14,2,3.0
14,3,5.0
14,4,15.0
14,5,4.0
14,6,7.0
14,7,16.0
14,8,9.0
14,9,14.0
14,10,13.0
14,11,11.0
15,0,13.0
15,1,3.0
15,2,9.0
15,3,12.0
15,4,9.0
15,5,6.0
15,6,16.0
15,7,2.0
15,8,6.0
15,9,18.0
15,10,4.0
15,11,7.0
16,0,11.0
16,1,16.0
16,2,21.0
16,3,8.0
16,4,10.0
16,5,29.0
16,6,17.0
16,7,22.0
16,8,28.0
16,9,21.0
16,10,11.0
16,11,26.0
17,0,37.0
17,1,29.0
17,2,23.0
17,3,42.0
17,4,25.0
17,5,45.0
17,6,26.0
17,7,22.0
17,8,37.0
17,9,21.0
17,10,26.0
17,11,15.0
18,0,20.0
18,1,5.0
18,2,29.0
18,3,7.0
18,4,30.0
18,5,5.0
18,6,26.0
18,7,12.0
18,8,17.0
18,9,18.0
18,10,12.0
18,11,1.0
19,0,17.0
19,1,9.0
19,2,28.0
19,3,8.0
19,4,33.0
19,5,3.0
19,6,35.0
19,7,8.0
19,8,29.0
19,9,7.0
19,10,10.0
19,11,3.0
20,0,14.0
20,1,3.0
20,2,10.0
20,3,5.0
20,4,18.0
20,5,3.0
20,6,13.0
20,7,6.0
20,8,3.0
20,9,5.0
20,10,13.0
20,11,7.0
21,0,1.0
21,1,17.0
21,2,3.0
21,3,0.0
21,4,9.0
21,5,4.0
21,6,4.0
21,7,18.0
21,8,2.0
21,9,6.0
21,10,1.0
21,11,2.0
22,0,12.0
22,1,0.0
22,2,9.0
22,3,0.0
22,4,0.0
22,5,16.0
22,6,0.0
22,7,1.0
22,8,8.0
22,9,3.0
22,10,3.0
22,11,0.0
23,0,3.0
23,1,0.0
23,2,3.0
23,3,1.0
23,4,3.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
