时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,2.0
5,5,3.0
5,6,13.0
5,7,29.0
5,8,24.0
5,9,16.0
5,10,20.0
5,11,32.0
6,0,47.0
6,1,22.0
6,2,79.0
6,3,65.0
6,4,65.0
6,5,85.0
6,6,99.0
6,7,121.0
6,8,126.0
6,9,151.0
6,10,142.0
6,11,184.0
7,0,200.0
7,1,170.0
7,2,205.0
7,3,224.0
7,4,275.0
7,5,210.0
7,6,253.0
7,7,308.0
7,8,406.0
7,9,365.0
7,10,491.0
7,11,503.0
8,0,463.0
8,1,569.0
8,2,685.0
8,3,634.0
8,4,594.0
8,5,709.0
8,6,584.0
8,7,659.0
8,8,646.0
8,9,578.0
8,10,550.0
8,11,481.0
9,0,353.0
9,1,311.0
9,2,466.0
9,3,436.0
9,4,274.0
9,5,357.0
9,6,266.0
9,7,254.0
9,8,252.0
9,9,190.0
9,10,223.0
9,11,199.0
10,0,191.0
10,1,178.0
10,2,161.0
10,3,106.0
10,4,155.0
10,5,137.0
10,6,116.0
10,7,145.0
10,8,119.0
10,9,120.0
10,10,123.0
10,11,132.0
11,0,104.0
11,1,104.0
11,2,118.0
11,3,101.0
11,4,96.0
11,5,85.0
11,6,107.0
11,7,106.0
11,8,118.0
11,9,85.0
11,10,103.0
11,11,112.0
12,0,108.0
12,1,84.0
12,2,113.0
12,3,110.0
12,4,118.0
12,5,116.0
12,6,104.0
12,7,134.0
12,8,109.0
12,9,110.0
12,10,117.0
12,11,138.0
13,0,138.0
13,1,113.0
13,2,113.0
13,3,132.0
13,4,103.0
13,5,112.0
13,6,103.0
13,7,133.0
13,8,129.0
13,9,129.0
13,10,114.0
13,11,138.0
14,0,98.0
14,1,122.0
14,2,111.0
14,3,114.0
14,4,126.0
14,5,120.0
14,6,98.0
14,7,112.0
14,8,118.0
14,9,114.0
14,10,110.0
14,11,101.0
15,0,116.0
15,1,123.0
15,2,157.0
15,3,100.0
15,4,131.0
15,5,137.0
15,6,112.0
15,7,130.0
15,8,104.0
15,9,135.0
15,10,118.0
15,11,96.0
16,0,146.0
16,1,173.0
16,2,152.0
16,3,167.0
16,4,167.0
16,5,125.0
16,6,172.0
16,7,213.0
16,8,218.0
16,9,227.0
16,10,225.0
16,11,264.0
17,0,266.0
17,1,360.0
17,2,390.0
17,3,382.0
17,4,328.0
17,5,326.0
17,6,370.0
17,7,394.0
17,8,483.0
17,9,494.0
17,10,430.0
17,11,349.0
18,0,353.0
18,1,476.0
18,2,514.0
18,3,448.0
18,4,389.0
18,5,431.0
18,6,404.0
18,7,386.0
18,8,371.0
18,9,372.0
18,10,372.0
18,11,324.0
19,0,316.0
19,1,260.0
19,2,215.0
19,3,219.0
19,4,172.0
19,5,178.0
19,6,175.0
19,7,151.0
19,8,146.0
19,9,148.0
19,10,102.0
19,11,137.0
20,0,139.0
20,1,126.0
20,2,146.0
20,3,116.0
20,4,112.0
20,5,80.0
20,6,129.0
20,7,109.0
20,8,113.0
20,9,95.0
20,10,100.0
20,11,118.0
21,0,126.0
21,1,109.0
21,2,84.0
21,3,129.0
21,4,121.0
21,5,134.0
21,6,103.0
21,7,97.0
21,8,95.0
21,9,63.0
21,10,111.0
21,11,76.0
22,0,81.0
22,1,57.0
22,2,84.0
22,3,92.0
22,4,64.0
22,5,56.0
22,6,69.0
22,7,43.0
22,8,40.0
22,9,25.0
22,10,57.0
22,11,10.0
23,0,20.0
23,1,9.0
23,2,11.0
23,3,9.0
23,4,7.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
