时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,10.0
5,7,54.0
5,8,48.0
5,9,35.0
5,10,28.0
5,11,58.0
6,0,47.0
6,1,66.0
6,2,81.0
6,3,112.0
6,4,105.0
6,5,144.0
6,6,152.0
6,7,242.0
6,8,145.0
6,9,228.0
6,10,244.0
6,11,197.0
7,0,292.0
7,1,267.0
7,2,350.0
7,3,315.0
7,4,258.0
7,5,332.0
7,6,404.0
7,7,451.0
7,8,421.0
7,9,474.0
7,10,526.0
7,11,475.0
8,0,461.0
8,1,398.0
8,2,402.0
8,3,422.0
8,4,399.0
8,5,409.0
8,6,340.0
8,7,300.0
8,8,381.0
8,9,312.0
8,10,264.0
8,11,251.0
9,0,226.0
9,1,197.0
9,2,201.0
9,3,126.0
9,4,216.0
9,5,123.0
9,6,148.0
9,7,128.0
9,8,137.0
9,9,116.0
9,10,116.0
9,11,102.0
10,0,109.0
10,1,68.0
10,2,86.0
10,3,88.0
10,4,132.0
10,5,73.0
10,6,88.0
10,7,77.0
10,8,91.0
10,9,67.0
10,10,80.0
10,11,77.0
11,0,72.0
11,1,63.0
11,2,80.0
11,3,94.0
11,4,57.0
11,5,64.0
11,6,69.0
11,7,70.0
11,8,65.0
11,9,58.0
11,10,63.0
11,11,64.0
12,0,79.0
12,1,96.0
12,2,60.0
12,3,51.0
12,4,78.0
12,5,67.0
12,6,62.0
12,7,86.0
12,8,67.0
12,9,68.0
12,10,69.0
12,11,84.0
13,0,80.0
13,1,39.0
13,2,74.0
13,3,96.0
13,4,51.0
13,5,67.0
13,6,69.0
13,7,55.0
13,8,53.0
13,9,65.0
13,10,54.0
13,11,72.0
14,0,64.0
14,1,73.0
14,2,87.0
14,3,44.0
14,4,95.0
14,5,93.0
14,6,38.0
14,7,72.0
14,8,69.0
14,9,79.0
14,10,48.0
14,11,81.0
15,0,79.0
15,1,59.0
15,2,56.0
15,3,96.0
15,4,91.0
15,5,34.0
15,6,92.0
15,7,116.0
15,8,45.0
15,9,106.0
15,10,99.0
15,11,74.0
16,0,92.0
16,1,147.0
16,2,119.0
16,3,70.0
16,4,143.0
16,5,127.0
16,6,139.0
16,7,59.0
16,8,212.0
16,9,124.0
16,10,105.0
16,11,225.0
17,0,195.0
17,1,155.0
17,2,193.0
17,3,165.0
17,4,167.0
17,5,251.0
17,6,280.0
17,7,202.0
17,8,283.0
17,9,251.0
17,10,304.0
17,11,173.0
18,0,403.0
18,1,256.0
18,2,300.0
18,3,279.0
18,4,368.0
18,5,307.0
18,6,254.0
18,7,322.0
18,8,351.0
18,9,182.0
18,10,286.0
18,11,414.0
19,0,244.0
19,1,249.0
19,2,219.0
19,3,231.0
19,4,147.0
19,5,290.0
19,6,198.0
19,7,165.0
19,8,128.0
19,9,118.0
19,10,158.0
19,11,132.0
20,0,132.0
20,1,105.0
20,2,120.0
20,3,97.0
20,4,99.0
20,5,118.0
20,6,23.0
20,7,129.0
20,8,115.0
20,9,64.0
20,10,80.0
20,11,84.0
21,0,62.0
21,1,91.0
21,2,120.0
21,3,62.0
21,4,70.0
21,5,114.0
21,6,115.0
21,7,32.0
21,8,124.0
21,9,105.0
21,10,10.0
21,11,146.0
22,0,61.0
22,1,35.0
22,2,106.0
22,3,26.0
22,4,75.0
22,5,83.0
22,6,10.0
22,7,106.0
22,8,28.0
22,9,64.0
22,10,70.0
22,11,7.0
23,0,25.0
23,1,31.0
23,2,0.0
23,3,43.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
