时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,1.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,7.0
5,5,18.0
5,6,15.0
5,7,6.0
5,8,19.0
5,9,16.0
5,10,13.0
5,11,14.0
6,0,29.0
6,1,23.0
6,2,30.0
6,3,30.0
6,4,56.0
6,5,45.0
6,6,36.0
6,7,75.0
6,8,35.0
6,9,64.0
6,10,102.0
6,11,66.0
7,0,79.0
7,1,107.0
7,2,123.0
7,3,146.0
7,4,125.0
7,5,153.0
7,6,170.0
7,7,210.0
7,8,188.0
7,9,226.0
7,10,148.0
7,11,240.0
8,0,171.0
8,1,237.0
8,2,132.0
8,3,252.0
8,4,160.0
8,5,139.0
8,6,161.0
8,7,132.0
8,8,78.0
8,9,114.0
8,10,70.0
8,11,77.0
9,0,75.0
9,1,37.0
9,2,76.0
9,3,27.0
9,4,48.0
9,5,38.0
9,6,34.0
9,7,19.0
9,8,56.0
9,9,26.0
9,10,35.0
9,11,22.0
10,0,49.0
10,1,30.0
10,2,22.0
10,3,11.0
10,4,40.0
10,5,11.0
10,6,35.0
10,7,17.0
10,8,36.0
10,9,23.0
10,10,31.0
10,11,16.0
11,0,36.0
11,1,24.0
11,2,42.0
11,3,25.0
11,4,39.0
11,5,21.0
11,6,13.0
11,7,29.0
11,8,19.0
11,9,16.0
11,10,36.0
11,11,13.0
12,0,14.0
12,1,52.0
12,2,23.0
12,3,12.0
12,4,40.0
12,5,19.0
12,6,16.0
12,7,56.0
12,8,19.0
12,9,44.0
12,10,16.0
12,11,14.0
13,0,48.0
13,1,15.0
13,2,17.0
13,3,45.0
13,4,8.0
13,5,21.0
13,6,48.0
13,7,9.0
13,8,46.0
13,9,19.0
13,10,18.0
13,11,26.0
14,0,40.0
14,1,14.0
14,2,49.0
14,3,14.0
14,4,6.0
14,5,45.0
14,6,10.0
14,7,20.0
14,8,44.0
14,9,14.0
14,10,44.0
14,11,19.0
15,0,16.0
15,1,25.0
15,2,20.0
15,3,9.0
15,4,52.0
15,5,14.0
15,6,12.0
15,7,49.0
15,8,13.0
15,9,7.0
15,10,85.0
15,11,14.0
16,0,44.0
16,1,51.0
16,2,16.0
16,3,63.0
16,4,32.0
16,5,16.0
16,6,79.0
16,7,45.0
16,8,47.0
16,9,76.0
16,10,20.0
16,11,45.0
17,0,110.0
17,1,89.0
17,2,97.0
17,3,85.0
17,4,50.0
17,5,99.0
17,6,100.0
17,7,33.0
17,8,88.0
17,9,90.0
17,10,48.0
17,11,104.0
18,0,65.0
18,1,123.0
18,2,42.0
18,3,188.0
18,4,50.0
18,5,154.0
18,6,37.0
18,7,169.0
18,8,65.0
18,9,113.0
18,10,95.0
18,11,125.0
19,0,6.0
19,1,151.0
19,2,17.0
19,3,136.0
19,4,68.0
19,5,65.0
19,6,10.0
19,7,135.0
19,8,51.0
19,9,57.0
19,10,61.0
19,11,32.0
20,0,8.0
20,1,68.0
20,2,14.0
20,3,75.0
20,4,6.0
20,5,55.0
20,6,18.0
20,7,60.0
20,8,33.0
20,9,7.0
20,10,6.0
20,11,73.0
21,0,12.0
21,1,11.0
21,2,80.0
21,3,15.0
21,4,30.0
21,5,31.0
21,6,8.0
21,7,18.0
21,8,55.0
21,9,9.0
21,10,54.0
21,11,17.0
22,0,6.0
22,1,53.0
22,2,8.0
22,3,32.0
22,4,6.0
22,5,2.0
22,6,39.0
22,7,0.0
22,8,2.0
22,9,41.0
22,10,6.0
22,11,19.0
23,0,1.0
23,1,24.0
23,2,2.0
23,3,22.0
23,4,1.0
23,5,12.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
