时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,41.0
5,4,20.0
5,5,11.0
5,6,14.0
5,7,21.0
5,8,17.0
5,9,15.0
5,10,38.0
5,11,26.0
6,0,31.0
6,1,69.0
6,2,60.0
6,3,64.0
6,4,58.0
6,5,61.0
6,6,150.0
6,7,82.0
6,8,106.0
6,9,115.0
6,10,145.0
6,11,140.0
7,0,181.0
7,1,193.0
7,2,135.0
7,3,205.0
7,4,203.0
7,5,249.0
7,6,356.0
7,7,262.0
7,8,299.0
7,9,318.0
7,10,262.0
7,11,237.0
8,0,263.0
8,1,168.0
8,2,287.0
8,3,169.0
8,4,193.0
8,5,171.0
8,6,109.0
8,7,147.0
8,8,124.0
8,9,72.0
8,10,107.0
8,11,96.0
9,0,41.0
9,1,57.0
9,2,54.0
9,3,32.0
9,4,52.0
9,5,24.0
9,6,69.0
9,7,24.0
9,8,26.0
9,9,41.0
9,10,57.0
9,11,21.0
10,0,36.0
10,1,23.0
10,2,45.0
10,3,31.0
10,4,11.0
10,5,35.0
10,6,38.0
10,7,25.0
10,8,32.0
10,9,24.0
10,10,10.0
10,11,44.0
11,0,17.0
11,1,38.0
11,2,27.0
11,3,26.0
11,4,8.0
11,5,44.0
11,6,26.0
11,7,23.0
11,8,33.0
11,9,31.0
11,10,35.0
11,11,29.0
12,0,44.0
12,1,16.0
12,2,15.0
12,3,66.0
12,4,23.0
12,5,9.0
12,6,64.0
12,7,20.0
12,8,15.0
12,9,59.0
12,10,11.0
12,11,25.0
13,0,24.0
13,1,8.0
13,2,43.0
13,3,15.0
13,4,14.0
13,5,46.0
13,6,15.0
13,7,6.0
13,8,61.0
13,9,29.0
13,10,10.0
13,11,37.0
14,0,9.0
14,1,12.0
14,2,58.0
14,3,10.0
14,4,42.0
14,5,10.0
14,6,15.0
14,7,54.0
14,8,10.0
14,9,5.0
14,10,59.0
14,11,11.0
15,0,11.0
15,1,66.0
15,2,10.0
15,3,24.0
15,4,45.0
15,5,6.0
15,6,63.0
15,7,21.0
15,8,18.0
15,9,87.0
15,10,16.0
15,11,20.0
16,0,122.0
16,1,12.0
16,2,14.0
16,3,133.0
16,4,14.0
16,5,42.0
16,6,98.0
16,7,24.0
16,8,111.0
16,9,38.0
16,10,37.0
16,11,172.0
17,0,47.0
17,1,28.0
17,2,188.0
17,3,28.0
17,4,38.0
17,5,201.0
17,6,27.0
17,7,165.0
17,8,112.0
17,9,27.0
17,10,31.0
17,11,257.0
18,0,8.0
18,1,207.0
18,2,6.0
18,3,259.0
18,4,16.0
18,5,251.0
18,6,18.0
18,7,224.0
18,8,8.0
18,9,307.0
18,10,12.0
18,11,275.0
19,0,9.0
19,1,221.0
19,2,109.0
19,3,232.0
19,4,27.0
19,5,185.0
19,6,9.0
19,7,186.0
19,8,9.0
19,9,196.0
19,10,6.0
19,11,105.0
20,0,8.0
20,1,112.0
20,2,7.0
20,3,126.0
20,4,12.0
20,5,123.0
20,6,5.0
20,7,87.0
20,8,9.0
20,9,82.0
20,10,47.0
20,11,9.0
21,0,4.0
21,1,111.0
21,2,8.0
21,3,4.0
21,4,115.0
21,5,8.0
21,6,2.0
21,7,83.0
21,8,6.0
21,9,3.0
21,10,97.0
21,11,2.0
22,0,9.0
22,1,68.0
22,2,2.0
22,3,1.0
22,4,78.0
22,5,38.0
22,6,20.0
22,7,1.0
22,8,66.0
22,9,9.0
22,10,0.0
22,11,0.0
23,0,97.0
23,1,11.0
23,2,15.0
23,3,22.0
23,4,0.0
23,5,16.0
23,6,3.0
23,7,14.0
23,8,3.0
23,9,0.0
23,10,0.0
23,11,0.0
