时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,3.0
5,6,6.0
5,7,25.0
5,8,45.0
5,9,50.0
5,10,27.0
5,11,50.0
6,0,47.0
6,1,67.0
6,2,72.0
6,3,92.0
6,4,108.0
6,5,129.0
6,6,153.0
6,7,201.0
6,8,212.0
6,9,207.0
6,10,316.0
6,11,266.0
7,0,306.0
7,1,332.0
7,2,397.0
7,3,388.0
7,4,452.0
7,5,468.0
7,6,459.0
7,7,516.0
7,8,539.0
7,9,567.0
7,10,559.0
7,11,586.0
8,0,636.0
8,1,671.0
8,2,497.0
8,3,585.0
8,4,506.0
8,5,347.0
8,6,479.0
8,7,479.0
8,8,382.0
8,9,393.0
8,10,378.0
8,11,321.0
9,0,295.0
9,1,287.0
9,2,221.0
9,3,224.0
9,4,216.0
9,5,222.0
9,6,203.0
9,7,179.0
9,8,155.0
9,9,169.0
9,10,142.0
9,11,131.0
10,0,110.0
10,1,162.0
10,2,71.0
10,3,160.0
10,4,88.0
10,5,149.0
10,6,110.0
10,7,112.0
10,8,98.0
10,9,113.0
10,10,101.0
10,11,79.0
11,0,62.0
11,1,103.0
11,2,96.0
11,3,113.0
11,4,88.0
11,5,98.0
11,6,87.0
11,7,98.0
11,8,55.0
11,9,95.0
11,10,117.0
11,11,97.0
12,0,57.0
12,1,142.0
12,2,101.0
12,3,66.0
12,4,150.0
12,5,101.0
12,6,109.0
12,7,59.0
12,8,114.0
12,9,144.0
12,10,77.0
12,11,106.0
13,0,112.0
13,1,131.0
13,2,57.0
13,3,105.0
13,4,107.0
13,5,82.0
13,6,81.0
13,7,82.0
13,8,91.0
13,9,56.0
13,10,110.0
13,11,115.0
14,0,47.0
14,1,93.0
14,2,104.0
14,3,83.0
14,4,97.0
14,5,110.0
14,6,83.0
14,7,110.0
14,8,71.0
14,9,127.0
14,10,97.0
14,11,73.0
15,0,109.0
15,1,101.0
15,2,122.0
15,3,57.0
15,4,140.0
15,5,124.0
15,6,75.0
15,7,188.0
15,8,167.0
15,9,110.0
15,10,138.0
15,11,137.0
16,0,152.0
16,1,62.0
16,2,181.0
16,3,190.0
16,4,163.0
16,5,104.0
16,6,180.0
16,7,189.0
16,8,125.0
16,9,224.0
16,10,215.0
16,11,149.0
17,0,308.0
17,1,172.0
17,2,181.0
17,3,301.0
17,4,295.0
17,5,312.0
17,6,371.0
17,7,284.0
17,8,351.0
17,9,403.0
17,10,224.0
17,11,527.0
18,0,474.0
18,1,254.0
18,2,239.0
18,3,537.0
18,4,499.0
18,5,285.0
18,6,370.0
18,7,482.0
18,8,246.0
18,9,397.0
18,10,333.0
18,11,457.0
19,0,466.0
19,1,281.0
19,2,109.0
19,3,333.0
19,4,323.0
19,5,277.0
19,6,121.0
19,7,309.0
19,8,144.0
19,9,64.0
19,10,253.0
19,11,89.0
20,0,134.0
20,1,123.0
20,2,166.0
20,3,157.0
20,4,102.0
20,5,133.0
20,6,107.0
20,7,42.0
20,8,163.0
20,9,124.0
20,10,19.0
20,11,173.0
21,0,116.0
21,1,95.0
21,2,129.0
21,3,98.0
21,4,104.0
21,5,73.0
21,6,106.0
21,7,167.0
21,8,104.0
21,9,59.0
21,10,144.0
21,11,58.0
22,0,104.0
22,1,113.0
22,2,18.0
22,3,126.0
22,4,54.0
22,5,85.0
22,6,110.0
22,7,30.0
22,8,97.0
22,9,7.0
22,10,90.0
22,11,3.0
23,0,81.0
23,1,1.0
23,2,53.0
23,3,2.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
