时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,10.0
5,6,9.0
5,7,13.0
5,8,11.0
5,9,9.0
5,10,26.0
5,11,13.0
6,0,18.0
6,1,29.0
6,2,17.0
6,3,30.0
6,4,39.0
6,5,47.0
6,6,41.0
6,7,62.0
6,8,66.0
6,9,63.0
6,10,57.0
6,11,120.0
7,0,102.0
7,1,131.0
7,2,104.0
7,3,142.0
7,4,156.0
7,5,171.0
7,6,147.0
7,7,172.0
7,8,160.0
7,9,176.0
7,10,184.0
7,11,181.0
8,0,180.0
8,1,180.0
8,2,260.0
8,3,183.0
8,4,131.0
8,5,140.0
8,6,190.0
8,7,245.0
8,8,110.0
8,9,156.0
8,10,121.0
8,11,53.0
9,0,117.0
9,1,58.0
9,2,92.0
9,3,38.0
9,4,61.0
9,5,40.0
9,6,15.0
9,7,64.0
9,8,49.0
9,9,26.0
9,10,51.0
9,11,38.0
10,0,22.0
10,1,8.0
10,2,20.0
10,3,35.0
10,4,9.0
10,5,37.0
10,6,12.0
10,7,28.0
10,8,17.0
10,9,33.0
10,10,12.0
10,11,27.0
11,0,7.0
11,1,30.0
11,2,6.0
11,3,25.0
11,4,27.0
11,5,7.0
11,6,26.0
11,7,25.0
11,8,17.0
11,9,37.0
11,10,20.0
11,11,20.0
12,0,26.0
12,1,7.0
12,2,32.0
12,3,12.0
12,4,13.0
12,5,32.0
12,6,19.0
12,7,8.0
12,8,51.0
12,9,17.0
12,10,12.0
12,11,34.0
13,0,12.0
13,1,34.0
13,2,16.0
13,3,18.0
13,4,41.0
13,5,10.0
13,6,13.0
13,7,33.0
13,8,9.0
13,9,12.0
13,10,30.0
13,11,17.0
14,0,11.0
14,1,40.0
14,2,10.0
14,3,21.0
14,4,21.0
14,5,14.0
14,6,33.0
14,7,17.0
14,8,21.0
14,9,32.0
14,10,8.0
14,11,9.0
15,0,48.0
15,1,8.0
15,2,15.0
15,3,41.0
15,4,12.0
15,5,69.0
15,6,58.0
15,7,61.0
15,8,93.0
15,9,67.0
15,10,26.0
15,11,62.0
16,0,21.0
16,1,22.0
16,2,52.0
16,3,21.0
16,4,44.0
16,5,65.0
16,6,26.0
16,7,69.0
16,8,32.0
16,9,14.0
16,10,82.0
16,11,81.0
17,0,38.0
17,1,110.0
17,2,44.0
17,3,100.0
17,4,60.0
17,5,78.0
17,6,32.0
17,7,154.0
17,8,87.0
17,9,161.0
17,10,46.0
17,11,186.0
18,0,28.0
18,1,147.0
18,2,26.0
18,3,222.0
18,4,63.0
18,5,191.0
18,6,61.0
18,7,186.0
18,8,39.0
18,9,246.0
18,10,24.0
18,11,93.0
19,0,111.0
19,1,179.0
19,2,19.0
19,3,132.0
19,4,27.0
19,5,39.0
19,6,133.0
19,7,120.0
19,8,7.0
19,9,87.0
19,10,15.0
19,11,73.0
20,0,25.0
20,1,93.0
20,2,15.0
20,3,41.0
20,4,37.0
20,5,35.0
20,6,42.0
20,7,17.0
20,8,7.0
20,9,73.0
20,10,11.0
20,11,7.0
21,0,28.0
21,1,69.0
21,2,14.0
21,3,74.0
21,4,13.0
21,5,6.0
21,6,64.0
21,7,7.0
21,8,4.0
21,9,55.0
21,10,3.0
21,11,9.0
22,0,57.0
22,1,8.0
22,2,39.0
22,3,2.0
22,4,4.0
22,5,69.0
22,6,1.0
22,7,4.0
22,8,53.0
22,9,2.0
22,10,47.0
22,11,29.0
23,0,2.0
23,1,3.0
23,2,21.0
23,3,0.0
23,4,20.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
