时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,3.0
5,4,11.0
5,5,16.0
5,6,27.0
5,7,12.0
5,8,13.0
5,9,16.0
5,10,18.0
5,11,13.0
6,0,32.0
6,1,33.0
6,2,36.0
6,3,22.0
6,4,63.0
6,5,46.0
6,6,61.0
6,7,80.0
6,8,58.0
6,9,101.0
6,10,98.0
6,11,79.0
7,0,137.0
7,1,142.0
7,2,172.0
7,3,155.0
7,4,143.0
7,5,209.0
7,6,223.0
7,7,174.0
7,8,184.0
7,9,242.0
7,10,199.0
7,11,282.0
8,0,197.0
8,1,271.0
8,2,156.0
8,3,292.0
8,4,196.0
8,5,120.0
8,6,243.0
8,7,155.0
8,8,181.0
8,9,93.0
8,10,128.0
8,11,127.0
9,0,59.0
9,1,142.0
9,2,61.0
9,3,97.0
9,4,43.0
9,5,112.0
9,6,50.0
9,7,44.0
9,8,131.0
9,9,84.0
9,10,34.0
9,11,91.0
10,0,38.0
10,1,73.0
10,2,26.0
10,3,42.0
10,4,85.0
10,5,24.0
10,6,65.0
10,7,24.0
10,8,79.0
10,9,31.0
10,10,73.0
10,11,20.0
11,0,48.0
11,1,30.0
11,2,62.0
11,3,26.0
11,4,57.0
11,5,65.0
11,6,21.0
11,7,67.0
11,8,49.0
11,9,36.0
11,10,43.0
11,11,25.0
12,0,61.0
12,1,62.0
12,2,44.0
12,3,52.0
12,4,30.0
12,5,19.0
12,6,72.0
12,7,58.0
12,8,38.0
12,9,54.0
12,10,32.0
12,11,21.0
13,0,75.0
13,1,30.0
13,2,75.0
13,3,58.0
13,4,20.0
13,5,85.0
13,6,27.0
13,7,25.0
13,8,73.0
13,9,18.0
13,10,22.0
13,11,87.0
14,0,30.0
14,1,23.0
14,2,75.0
14,3,24.0
14,4,55.0
14,5,63.0
14,6,31.0
14,7,91.0
14,8,14.0
14,9,28.0
14,10,94.0
14,11,35.0
15,0,23.0
15,1,101.0
15,2,25.0
15,3,27.0
15,4,95.0
15,5,17.0
15,6,73.0
15,7,48.0
15,8,40.0
15,9,97.0
15,10,41.0
15,11,17.0
16,0,90.0
16,1,32.0
16,2,47.0
16,3,117.0
16,4,39.0
16,5,45.0
16,6,150.0
16,7,53.0
16,8,132.0
16,9,58.0
16,10,33.0
16,11,113.0
17,0,121.0
17,1,64.0
17,2,168.0
17,3,65.0
17,4,148.0
17,5,126.0
17,6,73.0
17,7,52.0
17,8,201.0
17,9,38.0
17,10,184.0
17,11,34.0
18,0,216.0
18,1,59.0
18,2,219.0
18,3,46.0
18,4,218.0
18,5,32.0
18,6,261.0
18,7,37.0
18,8,252.0
18,9,36.0
18,10,298.0
18,11,25.0
19,0,108.0
19,1,148.0
19,2,225.0
19,3,20.0
19,4,180.0
19,5,19.0
19,6,65.0
19,7,157.0
19,8,142.0
19,9,16.0
19,10,118.0
19,11,15.0
20,0,99.0
20,1,27.0
20,2,86.0
20,3,24.0
20,4,63.0
20,5,60.0
20,6,75.0
20,7,49.0
20,8,20.0
20,9,13.0
20,10,92.0
20,11,23.0
21,0,10.0
21,1,59.0
21,2,69.0
21,3,13.0
21,4,91.0
21,5,10.0
21,6,6.0
21,7,94.0
21,8,7.0
21,9,1.0
21,10,92.0
21,11,0.0
22,0,10.0
22,1,88.0
22,2,9.0
22,3,53.0
22,4,7.0
22,5,5.0
22,6,85.0
22,7,7.0
22,8,2.0
22,9,70.0
22,10,1.0
22,11,48.0
23,0,31.0
23,1,4.0
23,2,6.0
23,3,33.0
23,4,0.0
23,5,26.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
