时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,2.0
5,6,2.0
5,7,1.0
5,8,0.0
5,9,9.0
5,10,3.0
5,11,1.0
6,0,1.0
6,1,2.0
6,2,10.0
6,3,10.0
6,4,7.0
6,5,39.0
6,6,15.0
6,7,17.0
6,8,71.0
6,9,13.0
6,10,46.0
6,11,27.0
7,0,51.0
7,1,56.0
7,2,70.0
7,3,64.0
7,4,40.0
7,5,45.0
7,6,57.0
7,7,89.0
7,8,96.0
7,9,83.0
7,10,95.0
7,11,101.0
8,0,136.0
8,1,152.0
8,2,186.0
8,3,210.0
8,4,187.0
8,5,136.0
8,6,264.0
8,7,268.0
8,8,142.0
8,9,334.0
8,10,243.0
8,11,163.0
9,0,71.0
9,1,145.0
9,2,151.0
9,3,35.0
9,4,47.0
9,5,205.0
9,6,109.0
9,7,73.0
9,8,73.0
9,9,69.0
9,10,78.0
9,11,39.0
10,0,77.0
10,1,51.0
10,2,42.0
10,3,38.0
10,4,65.0
10,5,63.0
10,6,58.0
10,7,38.0
10,8,18.0
10,9,45.0
10,10,57.0
10,11,38.0
11,0,37.0
11,1,19.0
11,2,65.0
11,3,54.0
11,4,8.0
11,5,57.0
11,6,45.0
11,7,46.0
11,8,15.0
11,9,32.0
11,10,47.0
11,11,34.0
12,0,30.0
12,1,58.0
12,2,28.0
12,3,26.0
12,4,19.0
12,5,49.0
12,6,47.0
12,7,49.0
12,8,34.0
12,9,44.0
12,10,40.0
12,11,48.0
13,0,27.0
13,1,58.0
13,2,61.0
13,3,31.0
13,4,34.0
13,5,68.0
13,6,58.0
13,7,44.0
13,8,50.0
13,9,45.0
13,10,35.0
13,11,48.0
14,0,57.0
14,1,40.0
14,2,41.0
14,3,54.0
14,4,53.0
14,5,43.0
14,6,41.0
14,7,47.0
14,8,45.0
14,9,15.0
14,10,65.0
14,11,43.0
15,0,50.0
15,1,39.0
15,2,56.0
15,3,42.0
15,4,29.0
15,5,54.0
15,6,63.0
15,7,34.0
15,8,70.0
15,9,63.0
15,10,69.0
15,11,27.0
16,0,54.0
16,1,60.0
16,2,41.0
16,3,53.0
16,4,73.0
16,5,56.0
16,6,81.0
16,7,57.0
16,8,48.0
16,9,101.0
16,10,55.0
16,11,71.0
17,0,80.0
17,1,87.0
17,2,91.0
17,3,122.0
17,4,92.0
17,5,91.0
17,6,122.0
17,7,118.0
17,8,162.0
17,9,142.0
17,10,141.0
17,11,133.0
18,0,119.0
18,1,177.0
18,2,197.0
18,3,221.0
18,4,186.0
18,5,143.0
18,6,128.0
18,7,190.0
18,8,152.0
18,9,142.0
18,10,114.0
18,11,93.0
19,0,89.0
19,1,74.0
19,2,87.0
19,3,72.0
19,4,74.0
19,5,54.0
19,6,62.0
19,7,75.0
19,8,54.0
19,9,48.0
19,10,53.0
19,11,43.0
20,0,36.0
20,1,42.0
20,2,45.0
20,3,32.0
20,4,42.0
20,5,46.0
20,6,42.0
20,7,46.0
20,8,30.0
20,9,45.0
20,10,28.0
20,11,19.0
21,0,31.0
21,1,54.0
21,2,37.0
21,3,24.0
21,4,40.0
21,5,40.0
21,6,44.0
21,7,34.0
21,8,26.0
21,9,37.0
21,10,11.0
21,11,38.0
22,0,35.0
22,1,26.0
22,2,45.0
22,3,29.0
22,4,22.0
22,5,11.0
22,6,21.0
22,7,7.0
22,8,2.0
22,9,8.0
22,10,8.0
22,11,0.0
23,0,5.0
23,1,5.0
23,2,6.0
23,3,5.0
23,4,1.0
23,5,1.0
23,6,0.0
23,7,1.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
