时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,7.0
5,4,6.0
5,5,7.0
5,6,3.0
5,7,10.0
5,8,9.0
5,9,10.0
5,10,13.0
5,11,17.0
6,0,21.0
6,1,45.0
6,2,27.0
6,3,42.0
6,4,36.0
6,5,58.0
6,6,56.0
6,7,95.0
6,8,84.0
6,9,155.0
6,10,71.0
6,11,115.0
7,0,154.0
7,1,180.0
7,2,132.0
7,3,187.0
7,4,179.0
7,5,154.0
7,6,193.0
7,7,148.0
7,8,253.0
7,9,180.0
7,10,267.0
7,11,121.0
8,0,227.0
8,1,281.0
8,2,235.0
8,3,335.0
8,4,247.0
8,5,311.0
8,6,270.0
8,7,280.0
8,8,314.0
8,9,153.0
8,10,240.0
8,11,210.0
9,0,156.0
9,1,145.0
9,2,155.0
9,3,168.0
9,4,103.0
9,5,67.0
9,6,71.0
9,7,166.0
9,8,85.0
9,9,109.0
9,10,76.0
9,11,68.0
10,0,73.0
10,1,79.0
10,2,57.0
10,3,60.0
10,4,71.0
10,5,57.0
10,6,52.0
10,7,51.0
10,8,46.0
10,9,17.0
10,10,62.0
10,11,24.0
11,0,47.0
11,1,20.0
11,2,32.0
11,3,62.0
11,4,36.0
11,5,29.0
11,6,61.0
11,7,28.0
11,8,42.0
11,9,39.0
11,10,29.0
11,11,40.0
12,0,45.0
12,1,40.0
12,2,61.0
12,3,38.0
12,4,8.0
12,5,66.0
12,6,32.0
12,7,30.0
12,8,40.0
12,9,30.0
12,10,23.0
12,11,56.0
13,0,68.0
13,1,53.0
13,2,32.0
13,3,62.0
13,4,29.0
13,5,38.0
13,6,47.0
13,7,55.0
13,8,65.0
13,9,27.0
13,10,43.0
13,11,43.0
14,0,42.0
14,1,47.0
14,2,45.0
14,3,24.0
14,4,46.0
14,5,79.0
14,6,50.0
14,7,50.0
14,8,86.0
14,9,107.0
14,10,25.0
14,11,58.0
15,0,65.0
15,1,67.0
15,2,28.0
15,3,74.0
15,4,69.0
15,5,25.0
15,6,79.0
15,7,67.0
15,8,67.0
15,9,51.0
15,10,70.0
15,11,53.0
16,0,81.0
16,1,28.0
16,2,90.0
16,3,95.0
16,4,66.0
16,5,143.0
16,6,123.0
16,7,104.0
16,8,55.0
16,9,37.0
16,10,144.0
16,11,61.0
17,0,145.0
17,1,159.0
17,2,152.0
17,3,85.0
17,4,190.0
17,5,122.0
17,6,142.0
17,7,116.0
17,8,213.0
17,9,192.0
17,10,150.0
17,11,188.0
18,0,163.0
18,1,195.0
18,2,217.0
18,3,202.0
18,4,246.0
18,5,191.0
18,6,167.0
18,7,180.0
18,8,189.0
18,9,157.0
18,10,156.0
18,11,130.0
19,0,119.0
19,1,170.0
19,2,102.0
19,3,160.0
19,4,91.0
19,5,120.0
19,6,77.0
19,7,84.0
19,8,83.0
19,9,63.0
19,10,76.0
19,11,78.0
20,0,60.0
20,1,55.0
20,2,53.0
20,3,64.0
20,4,48.0
20,5,50.0
20,6,66.0
20,7,46.0
20,8,40.0
20,9,63.0
20,10,38.0
20,11,55.0
21,0,56.0
21,1,25.0
21,2,50.0
21,3,62.0
21,4,33.0
21,5,49.0
21,6,57.0
21,7,62.0
21,8,45.0
21,9,10.0
21,10,66.0
21,11,41.0
22,0,13.0
22,1,38.0
22,2,9.0
22,3,48.0
22,4,24.0
22,5,27.0
22,6,29.0
22,7,0.0
22,8,26.0
22,9,19.0
22,10,2.0
22,11,6.0
23,0,7.0
23,1,5.0
23,2,10.0
23,3,4.0
23,4,2.0
23,5,0.0
23,6,4.0
23,7,0.0
23,8,6.0
23,9,0.0
23,10,0.0
23,11,0.0
