时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,6.0
5,6,3.0
5,7,6.0
5,8,7.0
5,9,3.0
5,10,8.0
5,11,4.0
6,0,5.0
6,1,13.0
6,2,13.0
6,3,25.0
6,4,44.0
6,5,43.0
6,6,47.0
6,7,69.0
6,8,74.0
6,9,112.0
6,10,103.0
6,11,95.0
7,0,121.0
7,1,107.0
7,2,141.0
7,3,124.0
7,4,126.0
7,5,163.0
7,6,215.0
7,7,200.0
7,8,180.0
7,9,266.0
7,10,360.0
7,11,261.0
8,0,430.0
8,1,424.0
8,2,360.0
8,3,533.0
8,4,462.0
8,5,510.0
8,6,489.0
8,7,503.0
8,8,608.0
8,9,789.0
8,10,537.0
8,11,426.0
9,0,414.0
9,1,376.0
9,2,199.0
9,3,311.0
9,4,303.0
9,5,328.0
9,6,275.0
9,7,133.0
9,8,264.0
9,9,170.0
9,10,128.0
9,11,184.0
10,0,173.0
10,1,127.0
10,2,126.0
10,3,108.0
10,4,105.0
10,5,144.0
10,6,123.0
10,7,104.0
10,8,78.0
10,9,86.0
10,10,75.0
10,11,68.0
11,0,81.0
11,1,90.0
11,2,99.0
11,3,72.0
11,4,90.0
11,5,37.0
11,6,70.0
11,7,72.0
11,8,88.0
11,9,47.0
11,10,76.0
11,11,101.0
12,0,54.0
12,1,82.0
12,2,83.0
12,3,83.0
12,4,95.0
12,5,95.0
12,6,95.0
12,7,70.0
12,8,123.0
12,9,79.0
12,10,110.0
12,11,92.0
13,0,103.0
13,1,96.0
13,2,62.0
13,3,113.0
13,4,102.0
13,5,64.0
13,6,71.0
13,7,99.0
13,8,83.0
13,9,71.0
13,10,77.0
13,11,87.0
14,0,56.0
14,1,66.0
14,2,96.0
14,3,78.0
14,4,56.0
14,5,95.0
14,6,111.0
14,7,86.0
14,8,86.0
14,9,110.0
14,10,80.0
14,11,78.0
15,0,65.0
15,1,95.0
15,2,88.0
15,3,71.0
15,4,83.0
15,5,93.0
15,6,71.0
15,7,119.0
15,8,78.0
15,9,79.0
15,10,93.0
15,11,110.0
16,0,93.0
16,1,98.0
16,2,124.0
16,3,127.0
16,4,120.0
16,5,96.0
16,6,140.0
16,7,128.0
16,8,178.0
16,9,158.0
16,10,165.0
16,11,164.0
17,0,184.0
17,1,228.0
17,2,278.0
17,3,301.0
17,4,252.0
17,5,251.0
17,6,251.0
17,7,366.0
17,8,470.0
17,9,506.0
17,10,406.0
17,11,325.0
18,0,323.0
18,1,343.0
18,2,405.0
18,3,622.0
18,4,524.0
18,5,409.0
18,6,363.0
18,7,295.0
18,8,314.0
18,9,286.0
18,10,308.0
18,11,256.0
19,0,181.0
19,1,241.0
19,2,172.0
19,3,202.0
19,4,185.0
19,5,152.0
19,6,141.0
19,7,138.0
19,8,129.0
19,9,104.0
19,10,127.0
19,11,105.0
20,0,84.0
20,1,102.0
20,2,93.0
20,3,101.0
20,4,114.0
20,5,74.0
20,6,92.0
20,7,76.0
20,8,98.0
20,9,95.0
20,10,100.0
20,11,102.0
21,0,71.0
21,1,81.0
21,2,70.0
21,3,108.0
21,4,83.0
21,5,86.0
21,6,100.0
21,7,65.0
21,8,97.0
21,9,62.0
21,10,62.0
21,11,53.0
22,0,46.0
22,1,48.0
22,2,64.0
22,3,51.0
22,4,28.0
22,5,41.0
22,6,43.0
22,7,14.0
22,8,25.0
22,9,10.0
22,10,13.0
22,11,14.0
23,0,13.0
23,1,9.0
23,2,7.0
23,3,4.0
23,4,4.0
23,5,1.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
