时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,13.0
5,8,6.0
5,9,23.0
5,10,22.0
5,11,18.0
6,0,27.0
6,1,25.0
6,2,28.0
6,3,35.0
6,4,34.0
6,5,58.0
6,6,72.0
6,7,90.0
6,8,114.0
6,9,106.0
6,10,119.0
6,11,174.0
7,0,162.0
7,1,186.0
7,2,153.0
7,3,186.0
7,4,199.0
7,5,231.0
7,6,242.0
7,7,253.0
7,8,285.0
7,9,325.0
7,10,326.0
7,11,325.0
8,0,370.0
8,1,237.0
8,2,365.0
8,3,320.0
8,4,172.0
8,5,310.0
8,6,301.0
8,7,175.0
8,8,288.0
8,9,252.0
8,10,191.0
8,11,269.0
9,0,197.0
9,1,186.0
9,2,148.0
9,3,166.0
9,4,164.0
9,5,121.0
9,6,122.0
9,7,127.0
9,8,136.0
9,9,83.0
9,10,111.0
9,11,90.0
10,0,106.0
10,1,57.0
10,2,119.0
10,3,49.0
10,4,113.0
10,5,87.0
10,6,55.0
10,7,79.0
10,8,63.0
10,9,57.0
10,10,42.0
10,11,79.0
11,0,80.0
11,1,62.0
11,2,93.0
11,3,68.0
11,4,72.0
11,5,35.0
11,6,53.0
11,7,41.0
11,8,93.0
11,9,63.0
11,10,77.0
11,11,39.0
12,0,94.0
12,1,78.0
12,2,45.0
12,3,74.0
12,4,79.0
12,5,76.0
12,6,52.0
12,7,70.0
12,8,76.0
12,9,38.0
12,10,79.0
12,11,65.0
13,0,66.0
13,1,42.0
13,2,77.0
13,3,83.0
13,4,52.0
13,5,44.0
13,6,65.0
13,7,62.0
13,8,74.0
13,9,73.0
13,10,81.0
13,11,33.0
14,0,86.0
14,1,73.0
14,2,37.0
14,3,91.0
14,4,83.0
14,5,99.0
14,6,53.0
14,7,48.0
14,8,85.0
14,9,105.0
14,10,99.0
14,11,118.0
15,0,132.0
15,1,101.0
15,2,117.0
15,3,152.0
15,4,126.0
15,5,86.0
15,6,108.0
15,7,102.0
15,8,78.0
15,9,85.0
15,10,126.0
15,11,113.0
16,0,78.0
16,1,134.0
16,2,123.0
16,3,103.0
16,4,136.0
16,5,189.0
16,6,120.0
16,7,128.0
16,8,146.0
16,9,200.0
16,10,135.0
16,11,206.0
17,0,198.0
17,1,213.0
17,2,311.0
17,3,261.0
17,4,267.0
17,5,257.0
17,6,188.0
17,7,262.0
17,8,241.0
17,9,197.0
17,10,271.0
17,11,248.0
18,0,211.0
18,1,148.0
18,2,340.0
18,3,273.0
18,4,172.0
18,5,200.0
18,6,272.0
18,7,175.0
18,8,238.0
18,9,179.0
18,10,233.0
18,11,216.0
19,0,178.0
19,1,79.0
19,2,175.0
19,3,172.0
19,4,148.0
19,5,66.0
19,6,154.0
19,7,109.0
19,8,56.0
19,9,139.0
19,10,88.0
19,11,84.0
20,0,70.0
20,1,96.0
20,2,87.0
20,3,63.0
20,4,80.0
20,5,79.0
20,6,34.0
20,7,100.0
20,8,114.0
20,9,41.0
20,10,105.0
20,11,67.0
21,0,50.0
21,1,99.0
21,2,95.0
21,3,75.0
21,4,77.0
21,5,48.0
21,6,87.0
21,7,34.0
21,8,65.0
21,9,99.0
21,10,50.0
21,11,70.0
22,0,66.0
22,1,38.0
22,2,77.0
22,3,16.0
22,4,68.0
22,5,51.0
22,6,30.0
22,7,56.0
22,8,13.0
22,9,37.0
22,10,1.0
22,11,60.0
23,0,1.0
23,1,28.0
23,2,1.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
