时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,5.0
5,5,1.0
5,6,1.0
5,7,2.0
5,8,2.0
5,9,13.0
5,10,3.0
5,11,3.0
6,0,1.0
6,1,3.0
6,2,6.0
6,3,3.0
6,4,14.0
6,5,9.0
6,6,37.0
6,7,18.0
6,8,16.0
6,9,46.0
6,10,14.0
6,11,81.0
7,0,52.0
7,1,42.0
7,2,92.0
7,3,84.0
7,4,103.0
7,5,79.0
7,6,54.0
7,7,107.0
7,8,125.0
7,9,131.0
7,10,25.0
7,11,210.0
8,0,39.0
8,1,203.0
8,2,34.0
8,3,205.0
8,4,42.0
8,5,128.0
8,6,79.0
8,7,65.0
8,8,19.0
8,9,40.0
8,10,29.0
8,11,15.0
9,0,29.0
9,1,31.0
9,2,6.0
9,3,42.0
9,4,7.0
9,5,26.0
9,6,10.0
9,7,17.0
9,8,9.0
9,9,26.0
9,10,9.0
9,11,19.0
10,0,4.0
10,1,23.0
10,2,5.0
10,3,8.0
10,4,8.0
10,5,6.0
10,6,13.0
10,7,6.0
10,8,13.0
10,9,4.0
10,10,14.0
10,11,7.0
11,0,13.0
11,1,11.0
11,2,6.0
11,3,5.0
11,4,15.0
11,5,5.0
11,6,13.0
11,7,6.0
11,8,17.0
11,9,7.0
11,10,11.0
11,11,19.0
12,0,3.0
12,1,7.0
12,2,13.0
12,3,15.0
12,4,4.0
12,5,20.0
12,6,7.0
12,7,9.0
12,8,15.0
12,9,7.0
12,10,7.0
12,11,17.0
13,0,6.0
13,1,11.0
13,2,8.0
13,3,7.0
13,4,20.0
13,5,6.0
13,6,9.0
13,7,18.0
13,8,8.0
13,9,10.0
13,10,15.0
13,11,10.0
14,0,5.0
14,1,16.0
14,2,7.0
14,3,8.0
14,4,5.0
14,5,8.0
14,6,23.0
14,7,10.0
14,8,9.0
14,9,22.0
14,10,6.0
14,11,6.0
15,0,17.0
15,1,8.0
15,2,18.0
15,3,15.0
15,4,12.0
15,5,17.0
15,6,11.0
15,7,8.0
15,8,20.0
15,9,8.0
15,10,14.0
15,11,25.0
16,0,13.0
16,1,11.0
16,2,47.0
16,3,27.0
16,4,24.0
16,5,39.0
16,6,40.0
16,7,59.0
16,8,49.0
16,9,71.0
16,10,114.0
16,11,67.0
17,0,160.0
17,1,161.0
17,2,69.0
17,3,84.0
17,4,58.0
17,5,63.0
17,6,55.0
17,7,42.0
17,8,26.0
17,9,33.0
17,10,56.0
17,11,24.0
18,0,45.0
18,1,11.0
18,2,38.0
18,3,17.0
18,4,48.0
18,5,6.0
18,6,54.0
18,7,10.0
18,8,59.0
18,9,7.0
18,10,50.0
18,11,3.0
19,0,32.0
19,1,30.0
19,2,34.0
19,3,7.0
19,4,40.0
19,5,8.0
19,6,15.0
19,7,3.0
19,8,20.0
19,9,8.0
19,10,17.0
19,11,6.0
20,0,32.0
20,1,3.0
20,2,36.0
20,3,9.0
20,4,36.0
20,5,7.0
20,6,26.0
20,7,3.0
20,8,8.0
20,9,10.0
20,10,2.0
20,11,4.0
21,0,14.0
21,1,1.0
21,2,3.0
21,3,18.0
21,4,4.0
21,5,0.0
21,6,12.0
21,7,2.0
21,8,0.0
21,9,8.0
21,10,1.0
21,11,1.0
22,0,22.0
22,1,1.0
22,2,2.0
22,3,17.0
22,4,2.0
22,5,10.0
22,6,0.0
22,7,7.0
22,8,4.0
22,9,0.0
22,10,0.0
22,11,22.0
23,0,0.0
23,1,3.0
23,2,5.0
23,3,0.0
23,4,1.0
23,5,3.0
23,6,2.0
23,7,1.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
