时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,34.0
5,7,29.0
5,8,17.0
5,9,26.0
5,10,38.0
5,11,50.0
6,0,48.0
6,1,56.0
6,2,83.0
6,3,78.0
6,4,101.0
6,5,163.0
6,6,128.0
6,7,159.0
6,8,191.0
6,9,175.0
6,10,127.0
6,11,189.0
7,0,212.0
7,1,230.0
7,2,272.0
7,3,265.0
7,4,305.0
7,5,350.0
7,6,396.0
7,7,472.0
7,8,419.0
7,9,386.0
7,10,514.0
7,11,387.0
8,0,434.0
8,1,425.0
8,2,421.0
8,3,312.0
8,4,498.0
8,5,416.0
8,6,318.0
8,7,517.0
8,8,462.0
8,9,255.0
8,10,362.0
8,11,327.0
9,0,250.0
9,1,252.0
9,2,241.0
9,3,147.0
9,4,221.0
9,5,190.0
9,6,151.0
9,7,100.0
9,8,102.0
9,9,121.0
9,10,104.0
9,11,88.0
10,0,81.0
10,1,90.0
10,2,59.0
10,3,58.0
10,4,90.0
10,5,60.0
10,6,99.0
10,7,70.0
10,8,58.0
10,9,68.0
10,10,54.0
10,11,60.0
11,0,53.0
11,1,44.0
11,2,61.0
11,3,49.0
11,4,60.0
11,5,43.0
11,6,53.0
11,7,55.0
11,8,53.0
11,9,53.0
11,10,49.0
11,11,80.0
12,0,60.0
12,1,31.0
12,2,60.0
12,3,68.0
12,4,30.0
12,5,116.0
12,6,69.0
12,7,63.0
12,8,29.0
12,9,87.0
12,10,83.0
12,11,50.0
13,0,78.0
13,1,67.0
13,2,85.0
13,3,41.0
13,4,68.0
13,5,94.0
13,6,72.0
13,7,48.0
13,8,73.0
13,9,61.0
13,10,69.0
13,11,69.0
14,0,50.0
14,1,33.0
14,2,89.0
14,3,70.0
14,4,40.0
14,5,89.0
14,6,61.0
14,7,98.0
14,8,43.0
14,9,41.0
14,10,80.0
14,11,77.0
15,0,42.0
15,1,104.0
15,2,65.0
15,3,73.0
15,4,59.0
15,5,63.0
15,6,79.0
15,7,31.0
15,8,78.0
15,9,111.0
15,10,49.0
15,11,62.0
16,0,113.0
16,1,70.0
16,2,81.0
16,3,123.0
16,4,114.0
16,5,99.0
16,6,79.0
16,7,128.0
16,8,85.0
16,9,102.0
16,10,179.0
16,11,172.0
17,0,78.0
17,1,188.0
17,2,186.0
17,3,161.0
17,4,269.0
17,5,171.0
17,6,150.0
17,7,269.0
17,8,220.0
17,9,306.0
17,10,287.0
17,11,172.0
18,0,331.0
18,1,279.0
18,2,302.0
18,3,349.0
18,4,441.0
18,5,360.0
18,6,282.0
18,7,360.0
18,8,388.0
18,9,290.0
18,10,314.0
18,11,269.0
19,0,253.0
19,1,317.0
19,2,220.0
19,3,172.0
19,4,259.0
19,5,259.0
19,6,175.0
19,7,129.0
19,8,183.0
19,9,140.0
19,10,86.0
19,11,161.0
20,0,110.0
20,1,115.0
20,2,117.0
20,3,122.0
20,4,111.0
20,5,57.0
20,6,82.0
20,7,136.0
20,8,22.0
20,9,120.0
20,10,129.0
20,11,23.0
21,0,100.0
21,1,89.0
21,2,40.0
21,3,141.0
21,4,69.0
21,5,36.0
21,6,88.0
21,7,84.0
21,8,89.0
21,9,21.0
21,10,97.0
21,11,103.0
22,0,66.0
22,1,67.0
22,2,10.0
22,3,86.0
22,4,77.0
22,5,8.0
22,6,75.0
22,7,62.0
22,8,51.0
22,9,65.0
22,10,0.0
22,11,77.0
23,0,1.0
23,1,43.0
23,2,3.0
23,3,35.0
23,4,6.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
