时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,3.0
5,5,1.0
5,6,6.0
5,7,21.0
5,8,12.0
5,9,25.0
5,10,8.0
5,11,15.0
6,0,22.0
6,1,18.0
6,2,14.0
6,3,22.0
6,4,41.0
6,5,86.0
6,6,52.0
6,7,46.0
6,8,74.0
6,9,108.0
6,10,150.0
6,11,73.0
7,0,137.0
7,1,100.0
7,2,155.0
7,3,120.0
7,4,135.0
7,5,136.0
7,6,193.0
7,7,274.0
7,8,212.0
7,9,217.0
7,10,305.0
7,11,261.0
8,0,191.0
8,1,339.0
8,2,308.0
8,3,225.0
8,4,328.0
8,5,405.0
8,6,337.0
8,7,350.0
8,8,228.0
8,9,217.0
8,10,347.0
8,11,277.0
9,0,220.0
9,1,218.0
9,2,133.0
9,3,178.0
9,4,111.0
9,5,102.0
9,6,85.0
9,7,243.0
9,8,107.0
9,9,154.0
9,10,99.0
9,11,90.0
10,0,89.0
10,1,51.0
10,2,79.0
10,3,83.0
10,4,86.0
10,5,84.0
10,6,58.0
10,7,58.0
10,8,64.0
10,9,93.0
10,10,56.0
10,11,50.0
11,0,59.0
11,1,46.0
11,2,68.0
11,3,50.0
11,4,37.0
11,5,57.0
11,6,59.0
11,7,42.0
11,8,57.0
11,9,81.0
11,10,57.0
11,11,53.0
12,0,54.0
12,1,61.0
12,2,43.0
12,3,69.0
12,4,52.0
12,5,95.0
12,6,81.0
12,7,57.0
12,8,58.0
12,9,74.0
12,10,75.0
12,11,52.0
13,0,68.0
13,1,71.0
13,2,43.0
13,3,88.0
13,4,69.0
13,5,64.0
13,6,42.0
13,7,77.0
13,8,67.0
13,9,50.0
13,10,55.0
13,11,74.0
14,0,53.0
14,1,27.0
14,2,69.0
14,3,66.0
14,4,40.0
14,5,71.0
14,6,73.0
14,7,56.0
14,8,55.0
14,9,62.0
14,10,63.0
14,11,82.0
15,0,49.0
15,1,81.0
15,2,53.0
15,3,61.0
15,4,94.0
15,5,66.0
15,6,72.0
15,7,88.0
15,8,90.0
15,9,32.0
15,10,91.0
15,11,77.0
16,0,98.0
16,1,67.0
16,2,114.0
16,3,93.0
16,4,95.0
16,5,65.0
16,6,139.0
16,7,115.0
16,8,84.0
16,9,105.0
16,10,217.0
16,11,122.0
17,0,102.0
17,1,211.0
17,2,208.0
17,3,210.0
17,4,203.0
17,5,199.0
17,6,202.0
17,7,233.0
17,8,218.0
17,9,234.0
17,10,219.0
17,11,262.0
18,0,191.0
18,1,256.0
18,2,390.0
18,3,234.0
18,4,244.0
18,5,365.0
18,6,309.0
18,7,257.0
18,8,369.0
18,9,234.0
18,10,278.0
18,11,249.0
19,0,158.0
19,1,227.0
19,2,192.0
19,3,191.0
19,4,109.0
19,5,166.0
19,6,84.0
19,7,139.0
19,8,108.0
19,9,158.0
19,10,95.0
19,11,129.0
20,0,71.0
20,1,95.0
20,2,93.0
20,3,118.0
20,4,77.0
20,5,93.0
20,6,127.0
20,7,62.0
20,8,107.0
20,9,100.0
20,10,85.0
20,11,68.0
21,0,100.0
21,1,105.0
21,2,64.0
21,3,93.0
21,4,106.0
21,5,89.0
21,6,26.0
21,7,111.0
21,8,87.0
21,9,94.0
21,10,60.0
21,11,76.0
22,0,93.0
22,1,75.0
22,2,115.0
22,3,69.0
22,4,42.0
22,5,70.0
22,6,79.0
22,7,63.0
22,8,46.0
22,9,64.0
22,10,37.0
22,11,1.0
23,0,38.0
23,1,4.0
23,2,5.0
23,3,18.0
23,4,6.0
23,5,1.0
23,6,6.0
23,7,4.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
