时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,3.0
5,4,2.0
5,5,1.0
5,6,1.0
5,7,4.0
5,8,4.0
5,9,5.0
5,10,11.0
5,11,7.0
6,0,11.0
6,1,6.0
6,2,11.0
6,3,17.0
6,4,28.0
6,5,58.0
6,6,26.0
6,7,109.0
6,8,88.0
6,9,51.0
6,10,117.0
6,11,75.0
7,0,150.0
7,1,92.0
7,2,193.0
7,3,208.0
7,4,196.0
7,5,134.0
7,6,190.0
7,7,219.0
7,8,195.0
7,9,267.0
7,10,254.0
7,11,303.0
8,0,346.0
8,1,341.0
8,2,434.0
8,3,429.0
8,4,426.0
8,5,417.0
8,6,503.0
8,7,567.0
8,8,449.0
8,9,608.0
8,10,652.0
8,11,483.0
9,0,391.0
9,1,572.0
9,2,434.0
9,3,236.0
9,4,373.0
9,5,185.0
9,6,421.0
9,7,291.0
9,8,230.0
9,9,280.0
9,10,232.0
9,11,205.0
10,0,182.0
10,1,215.0
10,2,162.0
10,3,142.0
10,4,134.0
10,5,193.0
10,6,104.0
10,7,218.0
10,8,95.0
10,9,172.0
10,10,90.0
10,11,162.0
11,0,110.0
11,1,90.0
11,2,143.0
11,3,58.0
11,4,140.0
11,5,144.0
11,6,148.0
11,7,64.0
11,8,150.0
11,9,169.0
11,10,125.0
11,11,52.0
12,0,162.0
12,1,84.0
12,2,108.0
12,3,122.0
12,4,119.0
12,5,142.0
12,6,104.0
12,7,166.0
12,8,125.0
12,9,122.0
12,10,149.0
12,11,116.0
13,0,176.0
13,1,115.0
13,2,79.0
13,3,198.0
13,4,120.0
13,5,137.0
13,6,125.0
13,7,166.0
13,8,107.0
13,9,124.0
13,10,134.0
13,11,125.0
14,0,134.0
14,1,125.0
14,2,124.0
14,3,120.0
14,4,173.0
14,5,148.0
14,6,136.0
14,7,123.0
14,8,113.0
14,9,148.0
14,10,112.0
14,11,130.0
15,0,128.0
15,1,90.0
15,2,145.0
15,3,102.0
15,4,109.0
15,5,130.0
15,6,140.0
15,7,122.0
15,8,130.0
15,9,152.0
15,10,119.0
15,11,146.0
16,0,197.0
16,1,111.0
16,2,167.0
16,3,182.0
16,4,170.0
16,5,94.0
16,6,188.0
16,7,173.0
16,8,163.0
16,9,208.0
16,10,218.0
16,11,218.0
17,0,219.0
17,1,267.0
17,2,306.0
17,3,275.0
17,4,263.0
17,5,247.0
17,6,252.0
17,7,497.0
17,8,533.0
17,9,316.0
17,10,342.0
17,11,399.0
18,0,312.0
18,1,442.0
18,2,542.0
18,3,490.0
18,4,416.0
18,5,354.0
18,6,405.0
18,7,398.0
18,8,412.0
18,9,383.0
18,10,305.0
18,11,315.0
19,0,264.0
19,1,283.0
19,2,290.0
19,3,189.0
19,4,171.0
19,5,184.0
19,6,152.0
19,7,155.0
19,8,177.0
19,9,149.0
19,10,156.0
19,11,118.0
20,0,154.0
20,1,164.0
20,2,160.0
20,3,132.0
20,4,135.0
20,5,142.0
20,6,139.0
20,7,139.0
20,8,128.0
20,9,144.0
20,10,94.0
20,11,88.0
21,0,134.0
21,1,188.0
21,2,116.0
21,3,203.0
21,4,114.0
21,5,128.0
21,6,120.0
21,7,179.0
21,8,70.0
21,9,142.0
21,10,108.0
21,11,89.0
22,0,82.0
22,1,78.0
22,2,128.0
22,3,33.0
22,4,84.0
22,5,37.0
22,6,52.0
22,7,5.0
22,8,9.0
22,9,18.0
22,10,10.0
22,11,1.0
23,0,13.0
23,1,0.0
23,2,4.0
23,3,5.0
23,4,0.0
23,5,2.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
