时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,1.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,3.0
5,2,0.0
5,3,3.0
5,4,5.0
5,5,8.0
5,6,3.0
5,7,6.0
5,8,5.0
5,9,6.0
5,10,6.0
5,11,11.0
6,0,26.0
6,1,8.0
6,2,23.0
6,3,17.0
6,4,34.0
6,5,29.0
6,6,45.0
6,7,41.0
6,8,42.0
6,9,68.0
6,10,47.0
6,11,78.0
7,0,69.0
7,1,89.0
7,2,90.0
7,3,89.0
7,4,89.0
7,5,94.0
7,6,90.0
7,7,121.0
7,8,118.0
7,9,161.0
7,10,145.0
7,11,163.0
8,0,189.0
8,1,251.0
8,2,230.0
8,3,292.0
8,4,272.0
8,5,252.0
8,6,209.0
8,7,298.0
8,8,345.0
8,9,289.0
8,10,388.0
8,11,265.0
9,0,231.0
9,1,210.0
9,2,199.0
9,3,203.0
9,4,190.0
9,5,115.0
9,6,187.0
9,7,152.0
9,8,120.0
9,9,90.0
9,10,119.0
9,11,120.0
10,0,99.0
10,1,100.0
10,2,84.0
10,3,109.0
10,4,91.0
10,5,72.0
10,6,85.0
10,7,100.0
10,8,60.0
10,9,123.0
10,10,52.0
10,11,106.0
11,0,77.0
11,1,53.0
11,2,84.0
11,3,66.0
11,4,70.0
11,5,72.0
11,6,42.0
11,7,73.0
11,8,44.0
11,9,91.0
11,10,66.0
11,11,75.0
12,0,68.0
12,1,78.0
12,2,103.0
12,3,75.0
12,4,90.0
12,5,85.0
12,6,74.0
12,7,95.0
12,8,85.0
12,9,92.0
12,10,75.0
12,11,80.0
13,0,104.0
13,1,75.0
13,2,70.0
13,3,109.0
13,4,105.0
13,5,87.0
13,6,80.0
13,7,104.0
13,8,76.0
13,9,68.0
13,10,85.0
13,11,92.0
14,0,76.0
14,1,97.0
14,2,105.0
14,3,92.0
14,4,98.0
14,5,68.0
14,6,88.0
14,7,58.0
14,8,94.0
14,9,90.0
14,10,79.0
14,11,89.0
15,0,83.0
15,1,90.0
15,2,76.0
15,3,87.0
15,4,85.0
15,5,75.0
15,6,84.0
15,7,135.0
15,8,129.0
15,9,86.0
15,10,83.0
15,11,90.0
16,0,98.0
16,1,118.0
16,2,100.0
16,3,99.0
16,4,99.0
16,5,130.0
16,6,134.0
16,7,128.0
16,8,156.0
16,9,132.0
16,10,164.0
16,11,147.0
17,0,187.0
17,1,276.0
17,2,291.0
17,3,223.0
17,4,199.0
17,5,171.0
17,6,183.0
17,7,272.0
17,8,319.0
17,9,308.0
17,10,273.0
17,11,231.0
18,0,223.0
18,1,302.0
18,2,354.0
18,3,355.0
18,4,298.0
18,5,241.0
18,6,253.0
18,7,228.0
18,8,216.0
18,9,191.0
18,10,197.0
18,11,184.0
19,0,170.0
19,1,123.0
19,2,160.0
19,3,158.0
19,4,116.0
19,5,111.0
19,6,118.0
19,7,86.0
19,8,99.0
19,9,95.0
19,10,79.0
19,11,96.0
20,0,87.0
20,1,110.0
20,2,100.0
20,3,81.0
20,4,119.0
20,5,72.0
20,6,80.0
20,7,95.0
20,8,80.0
20,9,111.0
20,10,67.0
20,11,59.0
21,0,76.0
21,1,88.0
21,2,86.0
21,3,63.0
21,4,59.0
21,5,53.0
21,6,79.0
21,7,88.0
21,8,92.0
21,9,53.0
21,10,65.0
21,11,72.0
22,0,131.0
22,1,60.0
22,2,54.0
22,3,32.0
22,4,46.0
22,5,38.0
22,6,30.0
22,7,20.0
22,8,14.0
22,9,15.0
22,10,4.0
22,11,9.0
23,0,7.0
23,1,3.0
23,2,4.0
23,3,3.0
23,4,3.0
23,5,3.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
