时,第x个五分钟,客流量
0,0,9.0
0,1,11.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,6.0
5,2,10.0
5,3,15.0
5,4,6.0
5,5,12.0
5,6,8.0
5,7,17.0
5,8,21.0
5,9,17.0
5,10,33.0
5,11,35.0
6,0,58.0
6,1,55.0
6,2,81.0
6,3,114.0
6,4,99.0
6,5,141.0
6,6,148.0
6,7,201.0
6,8,217.0
6,9,212.0
6,10,272.0
6,11,332.0
7,0,360.0
7,1,403.0
7,2,395.0
7,3,483.0
7,4,515.0
7,5,471.0
7,6,629.0
7,7,658.0
7,8,709.0
7,9,795.0
7,10,934.0
7,11,1003.0
8,0,1212.0
8,1,1377.0
8,2,1435.0
8,3,1584.0
8,4,1441.0
8,5,1371.0
8,6,1758.0
8,7,1626.0
8,8,1517.0
8,9,1929.0
8,10,1473.0
8,11,1193.0
9,0,940.0
9,1,889.0
9,2,753.0
9,3,736.0
9,4,706.0
9,5,592.0
9,6,507.0
9,7,424.0
9,8,398.0
9,9,354.0
9,10,420.0
9,11,343.0
10,0,284.0
10,1,297.0
10,2,293.0
10,3,263.0
10,4,244.0
10,5,262.0
10,6,232.0
10,7,249.0
10,8,190.0
10,9,232.0
10,10,267.0
10,11,203.0
11,0,220.0
11,1,262.0
11,2,250.0
11,3,166.0
11,4,221.0
11,5,208.0
11,6,230.0
11,7,228.0
11,8,211.0
11,9,252.0
11,10,213.0
11,11,215.0
12,0,195.0
12,1,187.0
12,2,207.0
12,3,215.0
12,4,223.0
12,5,232.0
12,6,247.0
12,7,231.0
12,8,243.0
12,9,251.0
12,10,225.0
12,11,235.0
13,0,196.0
13,1,228.0
13,2,226.0
13,3,276.0
13,4,248.0
13,5,235.0
13,6,230.0
13,7,219.0
13,8,242.0
13,9,245.0
13,10,256.0
13,11,225.0
14,0,252.0
14,1,233.0
14,2,250.0
14,3,245.0
14,4,261.0
14,5,250.0
14,6,204.0
14,7,236.0
14,8,256.0
14,9,213.0
14,10,210.0
14,11,248.0
15,0,261.0
15,1,233.0
15,2,263.0
15,3,292.0
15,4,279.0
15,5,278.0
15,6,254.0
15,7,262.0
15,8,303.0
15,9,293.0
15,10,318.0
15,11,287.0
16,0,262.0
16,1,271.0
16,2,362.0
16,3,308.0
16,4,257.0
16,5,305.0
16,6,337.0
16,7,407.0
16,8,398.0
16,9,375.0
16,10,411.0
16,11,496.0
17,0,575.0
17,1,662.0
17,2,777.0
17,3,870.0
17,4,765.0
17,5,769.0
17,6,723.0
17,7,906.0
17,8,1398.0
17,9,1424.0
17,10,1166.0
17,11,1050.0
18,0,990.0
18,1,1121.0
18,2,1307.0
18,3,1377.0
18,4,1181.0
18,5,978.0
18,6,825.0
18,7,1040.0
18,8,808.0
18,9,851.0
18,10,782.0
18,11,710.0
19,0,626.0
19,1,580.0
19,2,559.0
19,3,484.0
19,4,453.0
19,5,397.0
19,6,392.0
19,7,355.0
19,8,364.0
19,9,355.0
19,10,351.0
19,11,332.0
20,0,341.0
20,1,302.0
20,2,281.0
20,3,348.0
20,4,300.0
20,5,349.0
20,6,315.0
20,7,284.0
20,8,373.0
20,9,262.0
20,10,291.0
20,11,272.0
21,0,345.0
21,1,271.0
21,2,352.0
21,3,323.0
21,4,265.0
21,5,314.0
21,6,199.0
21,7,276.0
21,8,199.0
21,9,221.0
21,10,211.0
21,11,178.0
22,0,217.0
22,1,188.0
22,2,127.0
22,3,170.0
22,4,136.0
22,5,144.0
22,6,78.0
22,7,135.0
22,8,67.0
22,9,71.0
22,10,60.0
22,11,76.0
23,0,56.0
23,1,65.0
23,2,41.0
23,3,23.0
23,4,28.0
23,5,26.0
23,6,2.0
23,7,26.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,0.0
