时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,2.0
5,6,2.0
5,7,4.0
5,8,6.0
5,9,5.0
5,10,7.0
5,11,15.0
6,0,13.0
6,1,27.0
6,2,35.0
6,3,41.0
6,4,36.0
6,5,64.0
6,6,68.0
6,7,116.0
6,8,90.0
6,9,131.0
6,10,212.0
6,11,177.0
7,0,328.0
7,1,182.0
7,2,217.0
7,3,179.0
7,4,175.0
7,5,226.0
7,6,222.0
7,7,204.0
7,8,300.0
7,9,258.0
7,10,188.0
7,11,251.0
8,0,226.0
8,1,293.0
8,2,305.0
8,3,242.0
8,4,355.0
8,5,288.0
8,6,281.0
8,7,258.0
8,8,294.0
8,9,324.0
8,10,289.0
8,11,235.0
9,0,287.0
9,1,236.0
9,2,298.0
9,3,234.0
9,4,227.0
9,5,204.0
9,6,185.0
9,7,261.0
9,8,192.0
9,9,223.0
9,10,175.0
9,11,128.0
10,0,198.0
10,1,149.0
10,2,208.0
10,3,144.0
10,4,138.0
10,5,144.0
10,6,115.0
10,7,147.0
10,8,143.0
10,9,125.0
10,10,115.0
10,11,112.0
11,0,124.0
11,1,108.0
11,2,94.0
11,3,104.0
11,4,134.0
11,5,103.0
11,6,90.0
11,7,89.0
11,8,106.0
11,9,86.0
11,10,94.0
11,11,91.0
12,0,103.0
12,1,90.0
12,2,79.0
12,3,113.0
12,4,88.0
12,5,87.0
12,6,88.0
12,7,121.0
12,8,87.0
12,9,108.0
12,10,96.0
12,11,129.0
13,0,81.0
13,1,131.0
13,2,113.0
13,3,91.0
13,4,127.0
13,5,103.0
13,6,132.0
13,7,77.0
13,8,139.0
13,9,121.0
13,10,110.0
13,11,97.0
14,0,119.0
14,1,129.0
14,2,73.0
14,3,100.0
14,4,130.0
14,5,89.0
14,6,123.0
14,7,129.0
14,8,123.0
14,9,71.0
14,10,126.0
14,11,131.0
15,0,98.0
15,1,102.0
15,2,139.0
15,3,119.0
15,4,96.0
15,5,110.0
15,6,133.0
15,7,106.0
15,8,104.0
15,9,99.0
15,10,149.0
15,11,178.0
16,0,166.0
16,1,143.0
16,2,147.0
16,3,121.0
16,4,132.0
16,5,119.0
16,6,146.0
16,7,152.0
16,8,209.0
16,9,261.0
16,10,211.0
16,11,191.0
17,0,193.0
17,1,200.0
17,2,266.0
17,3,224.0
17,4,227.0
17,5,223.0
17,6,112.0
17,7,228.0
17,8,208.0
17,9,184.0
17,10,168.0
17,11,174.0
18,0,159.0
18,1,208.0
18,2,261.0
18,3,183.0
18,4,172.0
18,5,189.0
18,6,126.0
18,7,130.0
18,8,163.0
18,9,157.0
18,10,155.0
18,11,119.0
19,0,104.0
19,1,116.0
19,2,121.0
19,3,113.0
19,4,79.0
19,5,100.0
19,6,72.0
19,7,76.0
19,8,87.0
19,9,69.0
19,10,66.0
19,11,61.0
20,0,65.0
20,1,48.0
20,2,51.0
20,3,56.0
20,4,46.0
20,5,50.0
20,6,59.0
20,7,44.0
20,8,45.0
20,9,42.0
20,10,59.0
20,11,63.0
21,0,39.0
21,1,64.0
21,2,38.0
21,3,82.0
21,4,36.0
21,5,42.0
21,6,68.0
21,7,71.0
21,8,55.0
21,9,41.0
21,10,39.0
21,11,40.0
22,0,49.0
22,1,29.0
22,2,33.0
22,3,58.0
22,4,39.0
22,5,11.0
22,6,38.0
22,7,43.0
22,8,24.0
22,9,22.0
22,10,14.0
22,11,6.0
23,0,7.0
23,1,8.0
23,2,2.0
23,3,4.0
23,4,4.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
