时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,2.0
5,7,4.0
5,8,7.0
5,9,17.0
5,10,43.0
5,11,41.0
6,0,37.0
6,1,22.0
6,2,39.0
6,3,50.0
6,4,72.0
6,5,50.0
6,6,92.0
6,7,82.0
6,8,107.0
6,9,106.0
6,10,148.0
6,11,181.0
7,0,180.0
7,1,198.0
7,2,161.0
7,3,149.0
7,4,180.0
7,5,189.0
7,6,217.0
7,7,296.0
7,8,274.0
7,9,308.0
7,10,324.0
7,11,315.0
8,0,420.0
8,1,356.0
8,2,435.0
8,3,393.0
8,4,395.0
8,5,472.0
8,6,327.0
8,7,470.0
8,8,402.0
8,9,395.0
8,10,343.0
8,11,332.0
9,0,262.0
9,1,223.0
9,2,287.0
9,3,232.0
9,4,195.0
9,5,188.0
9,6,202.0
9,7,149.0
9,8,159.0
9,9,163.0
9,10,138.0
9,11,86.0
10,0,78.0
10,1,165.0
10,2,127.0
10,3,89.0
10,4,83.0
10,5,136.0
10,6,91.0
10,7,89.0
10,8,86.0
10,9,104.0
10,10,85.0
10,11,82.0
11,0,57.0
11,1,95.0
11,2,70.0
11,3,94.0
11,4,56.0
11,5,97.0
11,6,77.0
11,7,62.0
11,8,107.0
11,9,79.0
11,10,64.0
11,11,73.0
12,0,79.0
12,1,72.0
12,2,74.0
12,3,111.0
12,4,74.0
12,5,49.0
12,6,96.0
12,7,80.0
12,8,50.0
12,9,105.0
12,10,97.0
12,11,83.0
13,0,61.0
13,1,91.0
13,2,93.0
13,3,79.0
13,4,88.0
13,5,94.0
13,6,92.0
13,7,57.0
13,8,109.0
13,9,98.0
13,10,52.0
13,11,78.0
14,0,105.0
14,1,71.0
14,2,46.0
14,3,106.0
14,4,71.0
14,5,51.0
14,6,91.0
14,7,113.0
14,8,91.0
14,9,57.0
14,10,139.0
14,11,137.0
15,0,62.0
15,1,126.0
15,2,105.0
15,3,125.0
15,4,59.0
15,5,124.0
15,6,103.0
15,7,73.0
15,8,124.0
15,9,127.0
15,10,139.0
15,11,82.0
16,0,168.0
16,1,162.0
16,2,68.0
16,3,129.0
16,4,143.0
16,5,115.0
16,6,117.0
16,7,122.0
16,8,174.0
16,9,153.0
16,10,144.0
16,11,142.0
17,0,193.0
17,1,243.0
17,2,264.0
17,3,264.0
17,4,214.0
17,5,233.0
17,6,284.0
17,7,297.0
17,8,353.0
17,9,351.0
17,10,377.0
17,11,286.0
18,0,294.0
18,1,280.0
18,2,368.0
18,3,338.0
18,4,273.0
18,5,306.0
18,6,280.0
18,7,235.0
18,8,364.0
18,9,235.0
18,10,246.0
18,11,256.0
19,0,202.0
19,1,224.0
19,2,192.0
19,3,165.0
19,4,139.0
19,5,139.0
19,6,157.0
19,7,126.0
19,8,148.0
19,9,115.0
19,10,99.0
19,11,100.0
20,0,115.0
20,1,121.0
20,2,69.0
20,3,139.0
20,4,87.0
20,5,51.0
20,6,128.0
20,7,99.0
20,8,48.0
20,9,84.0
20,10,112.0
20,11,72.0
21,0,120.0
21,1,91.0
21,2,103.0
21,3,92.0
21,4,81.0
21,5,140.0
21,6,32.0
21,7,123.0
21,8,97.0
21,9,109.0
21,10,79.0
21,11,103.0
22,0,52.0
22,1,90.0
22,2,47.0
22,3,71.0
22,4,78.0
22,5,17.0
22,6,87.0
22,7,10.0
22,8,70.0
22,9,31.0
22,10,24.0
22,11,25.0
23,0,16.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
