时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,3.0
5,6,4.0
5,7,8.0
5,8,5.0
5,9,7.0
5,10,6.0
5,11,12.0
6,0,9.0
6,1,21.0
6,2,20.0
6,3,46.0
6,4,40.0
6,5,37.0
6,6,46.0
6,7,69.0
6,8,95.0
6,9,95.0
6,10,64.0
6,11,83.0
7,0,122.0
7,1,117.0
7,2,104.0
7,3,114.0
7,4,120.0
7,5,146.0
7,6,113.0
7,7,171.0
7,8,198.0
7,9,132.0
7,10,241.0
7,11,264.0
8,0,183.0
8,1,305.0
8,2,341.0
8,3,351.0
8,4,351.0
8,5,325.0
8,6,330.0
8,7,391.0
8,8,337.0
8,9,335.0
8,10,316.0
8,11,285.0
9,0,230.0
9,1,263.0
9,2,209.0
9,3,192.0
9,4,166.0
9,5,165.0
9,6,106.0
9,7,181.0
9,8,107.0
9,9,187.0
9,10,139.0
9,11,132.0
10,0,116.0
10,1,113.0
10,2,83.0
10,3,100.0
10,4,62.0
10,5,68.0
10,6,105.0
10,7,67.0
10,8,103.0
10,9,95.0
10,10,44.0
10,11,114.0
11,0,79.0
11,1,48.0
11,2,108.0
11,3,48.0
11,4,82.0
11,5,34.0
11,6,96.0
11,7,74.0
11,8,47.0
11,9,43.0
11,10,85.0
11,11,31.0
12,0,99.0
12,1,85.0
12,2,86.0
12,3,58.0
12,4,55.0
12,5,70.0
12,6,79.0
12,7,60.0
12,8,78.0
12,9,99.0
12,10,60.0
12,11,68.0
13,0,96.0
13,1,83.0
13,2,64.0
13,3,85.0
13,4,76.0
13,5,73.0
13,6,68.0
13,7,110.0
13,8,81.0
13,9,76.0
13,10,84.0
13,11,59.0
14,0,72.0
14,1,62.0
14,2,107.0
14,3,62.0
14,4,61.0
14,5,84.0
14,6,98.0
14,7,59.0
14,8,101.0
14,9,89.0
14,10,82.0
14,11,65.0
15,0,81.0
15,1,101.0
15,2,51.0
15,3,131.0
15,4,85.0
15,5,81.0
15,6,55.0
15,7,121.0
15,8,97.0
15,9,88.0
15,10,94.0
15,11,118.0
16,0,94.0
16,1,104.0
16,2,120.0
16,3,94.0
16,4,103.0
16,5,107.0
16,6,106.0
16,7,148.0
16,8,143.0
16,9,134.0
16,10,159.0
16,11,162.0
17,0,174.0
17,1,246.0
17,2,227.0
17,3,198.0
17,4,181.0
17,5,162.0
17,6,191.0
17,7,301.0
17,8,310.0
17,9,272.0
17,10,213.0
17,11,224.0
18,0,230.0
18,1,191.0
18,2,259.0
18,3,277.0
18,4,238.0
18,5,200.0
18,6,217.0
18,7,146.0
18,8,203.0
18,9,163.0
18,10,114.0
18,11,143.0
19,0,115.0
19,1,142.0
19,2,113.0
19,3,145.0
19,4,89.0
19,5,88.0
19,6,60.0
19,7,79.0
19,8,67.0
19,9,59.0
19,10,73.0
19,11,45.0
20,0,74.0
20,1,56.0
20,2,73.0
20,3,48.0
20,4,65.0
20,5,75.0
20,6,55.0
20,7,56.0
20,8,43.0
20,9,49.0
20,10,51.0
20,11,45.0
21,0,70.0
21,1,63.0
21,2,55.0
21,3,82.0
21,4,45.0
21,5,69.0
21,6,31.0
21,7,77.0
21,8,28.0
21,9,62.0
21,10,47.0
21,11,41.0
22,0,26.0
22,1,43.0
22,2,26.0
22,3,48.0
22,4,26.0
22,5,39.0
22,6,47.0
22,7,7.0
22,8,13.0
22,9,21.0
22,10,11.0
22,11,8.0
23,0,1.0
23,1,1.0
23,2,0.0
23,3,2.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
