时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,1.0
5,5,2.0
5,6,6.0
5,7,7.0
5,8,17.0
5,9,20.0
5,10,13.0
5,11,29.0
6,0,33.0
6,1,43.0
6,2,58.0
6,3,40.0
6,4,67.0
6,5,69.0
6,6,85.0
6,7,114.0
6,8,80.0
6,9,123.0
6,10,116.0
6,11,187.0
7,0,105.0
7,1,238.0
7,2,219.0
7,3,188.0
7,4,251.0
7,5,307.0
7,6,334.0
7,7,404.0
7,8,274.0
7,9,461.0
7,10,405.0
7,11,347.0
8,0,580.0
8,1,562.0
8,2,552.0
8,3,706.0
8,4,671.0
8,5,488.0
8,6,736.0
8,7,495.0
8,8,851.0
8,9,547.0
8,10,640.0
8,11,442.0
9,0,461.0
9,1,421.0
9,2,369.0
9,3,375.0
9,4,280.0
9,5,269.0
9,6,299.0
9,7,294.0
9,8,189.0
9,9,289.0
9,10,224.0
9,11,198.0
10,0,207.0
10,1,186.0
10,2,229.0
10,3,146.0
10,4,214.0
10,5,146.0
10,6,189.0
10,7,130.0
10,8,165.0
10,9,114.0
10,10,211.0
10,11,114.0
11,0,167.0
11,1,121.0
11,2,200.0
11,3,116.0
11,4,86.0
11,5,233.0
11,6,136.0
11,7,103.0
11,8,132.0
11,9,122.0
11,10,141.0
11,11,138.0
12,0,180.0
12,1,94.0
12,2,126.0
12,3,150.0
12,4,128.0
12,5,134.0
12,6,147.0
12,7,162.0
12,8,138.0
12,9,125.0
12,10,182.0
12,11,127.0
13,0,160.0
13,1,128.0
13,2,172.0
13,3,121.0
13,4,113.0
13,5,165.0
13,6,142.0
13,7,180.0
13,8,126.0
13,9,197.0
13,10,144.0
13,11,128.0
14,0,181.0
14,1,121.0
14,2,142.0
14,3,158.0
14,4,184.0
14,5,148.0
14,6,141.0
14,7,179.0
14,8,148.0
14,9,170.0
14,10,150.0
14,11,179.0
15,0,146.0
15,1,160.0
15,2,212.0
15,3,132.0
15,4,133.0
15,5,165.0
15,6,151.0
15,7,156.0
15,8,150.0
15,9,218.0
15,10,142.0
15,11,133.0
16,0,178.0
16,1,204.0
16,2,141.0
16,3,210.0
16,4,166.0
16,5,156.0
16,6,253.0
16,7,223.0
16,8,204.0
16,9,223.0
16,10,258.0
16,11,277.0
17,0,235.0
17,1,338.0
17,2,399.0
17,3,348.0
17,4,344.0
17,5,328.0
17,6,272.0
17,7,463.0
17,8,452.0
17,9,395.0
17,10,451.0
17,11,365.0
18,0,394.0
18,1,487.0
18,2,495.0
18,3,475.0
18,4,410.0
18,5,371.0
18,6,357.0
18,7,363.0
18,8,337.0
18,9,293.0
18,10,351.0
18,11,289.0
19,0,252.0
19,1,257.0
19,2,238.0
19,3,233.0
19,4,245.0
19,5,198.0
19,6,182.0
19,7,137.0
19,8,165.0
19,9,149.0
19,10,138.0
19,11,169.0
20,0,138.0
20,1,99.0
20,2,86.0
20,3,147.0
20,4,151.0
20,5,91.0
20,6,140.0
20,7,115.0
20,8,91.0
20,9,150.0
20,10,112.0
20,11,98.0
21,0,138.0
21,1,99.0
21,2,88.0
21,3,114.0
21,4,156.0
21,5,54.0
21,6,130.0
21,7,76.0
21,8,139.0
21,9,70.0
21,10,86.0
21,11,72.0
22,0,83.0
22,1,92.0
22,2,57.0
22,3,112.0
22,4,68.0
22,5,54.0
22,6,42.0
22,7,85.0
22,8,6.0
22,9,76.0
22,10,2.0
22,11,15.0
23,0,13.0
23,1,3.0
23,2,8.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
