时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,2.0
5,6,7.0
5,7,4.0
5,8,0.0
5,9,6.0
5,10,11.0
5,11,10.0
6,0,13.0
6,1,15.0
6,2,24.0
6,3,42.0
6,4,63.0
6,5,54.0
6,6,61.0
6,7,108.0
6,8,128.0
6,9,140.0
6,10,154.0
6,11,152.0
7,0,144.0
7,1,235.0
7,2,183.0
7,3,199.0
7,4,213.0
7,5,240.0
7,6,176.0
7,7,296.0
7,8,302.0
7,9,282.0
7,10,359.0
7,11,330.0
8,0,333.0
8,1,393.0
8,2,422.0
8,3,456.0
8,4,418.0
8,5,423.0
8,6,489.0
8,7,371.0
8,8,443.0
8,9,454.0
8,10,314.0
8,11,300.0
9,0,290.0
9,1,215.0
9,2,212.0
9,3,204.0
9,4,175.0
9,5,211.0
9,6,164.0
9,7,186.0
9,8,160.0
9,9,155.0
9,10,128.0
9,11,125.0
10,0,138.0
10,1,121.0
10,2,95.0
10,3,103.0
10,4,100.0
10,5,85.0
10,6,108.0
10,7,79.0
10,8,103.0
10,9,74.0
10,10,105.0
10,11,87.0
11,0,94.0
11,1,94.0
11,2,67.0
11,3,107.0
11,4,81.0
11,5,56.0
11,6,121.0
11,7,77.0
11,8,78.0
11,9,81.0
11,10,90.0
11,11,71.0
12,0,90.0
12,1,82.0
12,2,75.0
12,3,86.0
12,4,80.0
12,5,79.0
12,6,86.0
12,7,69.0
12,8,73.0
12,9,119.0
12,10,88.0
12,11,84.0
13,0,90.0
13,1,83.0
13,2,86.0
13,3,73.0
13,4,120.0
13,5,79.0
13,6,94.0
13,7,103.0
13,8,91.0
13,9,78.0
13,10,80.0
13,11,87.0
14,0,108.0
14,1,73.0
14,2,123.0
14,3,86.0
14,4,100.0
14,5,71.0
14,6,80.0
14,7,76.0
14,8,82.0
14,9,133.0
14,10,85.0
14,11,79.0
15,0,94.0
15,1,103.0
15,2,110.0
15,3,97.0
15,4,119.0
15,5,84.0
15,6,92.0
15,7,110.0
15,8,131.0
15,9,104.0
15,10,122.0
15,11,94.0
16,0,97.0
16,1,130.0
16,2,113.0
16,3,109.0
16,4,166.0
16,5,146.0
16,6,168.0
16,7,273.0
16,8,273.0
16,9,231.0
16,10,218.0
16,11,237.0
17,0,215.0
17,1,303.0
17,2,331.0
17,3,288.0
17,4,257.0
17,5,238.0
17,6,295.0
17,7,236.0
17,8,348.0
17,9,357.0
17,10,291.0
17,11,255.0
18,0,280.0
18,1,271.0
18,2,268.0
18,3,369.0
18,4,269.0
18,5,277.0
18,6,289.0
18,7,203.0
18,8,233.0
18,9,238.0
18,10,184.0
18,11,179.0
19,0,202.0
19,1,150.0
19,2,159.0
19,3,132.0
19,4,109.0
19,5,106.0
19,6,136.0
19,7,121.0
19,8,117.0
19,9,92.0
19,10,97.0
19,11,93.0
20,0,70.0
20,1,71.0
20,2,102.0
20,3,75.0
20,4,69.0
20,5,87.0
20,6,89.0
20,7,99.0
20,8,104.0
20,9,63.0
20,10,79.0
20,11,78.0
21,0,87.0
21,1,100.0
21,2,67.0
21,3,60.0
21,4,84.0
21,5,80.0
21,6,80.0
21,7,78.0
21,8,60.0
21,9,82.0
21,10,58.0
21,11,64.0
22,0,77.0
22,1,47.0
22,2,43.0
22,3,65.0
22,4,41.0
22,5,46.0
22,6,60.0
22,7,40.0
22,8,25.0
22,9,14.0
22,10,11.0
22,11,14.0
23,0,10.0
23,1,8.0
23,2,3.0
23,3,3.0
23,4,6.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
