时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,1.0
5,7,5.0
5,8,6.0
5,9,10.0
5,10,32.0
5,11,28.0
6,0,57.0
6,1,48.0
6,2,51.0
6,3,44.0
6,4,63.0
6,5,63.0
6,6,72.0
6,7,82.0
6,8,130.0
6,9,119.0
6,10,173.0
6,11,168.0
7,0,154.0
7,1,174.0
7,2,275.0
7,3,223.0
7,4,216.0
7,5,211.0
7,6,286.0
7,7,351.0
7,8,420.0
7,9,372.0
7,10,471.0
7,11,410.0
8,0,517.0
8,1,672.0
8,2,433.0
8,3,735.0
8,4,826.0
8,5,676.0
8,6,729.0
8,7,789.0
8,8,911.0
8,9,901.0
8,10,656.0
8,11,779.0
9,0,528.0
9,1,626.0
9,2,569.0
9,3,565.0
9,4,548.0
9,5,555.0
9,6,429.0
9,7,389.0
9,8,350.0
9,9,290.0
9,10,322.0
9,11,137.0
10,0,293.0
10,1,240.0
10,2,138.0
10,3,202.0
10,4,159.0
10,5,176.0
10,6,150.0
10,7,129.0
10,8,127.0
10,9,180.0
10,10,214.0
10,11,157.0
11,0,121.0
11,1,137.0
11,2,112.0
11,3,146.0
11,4,112.0
11,5,166.0
11,6,91.0
11,7,160.0
11,8,125.0
11,9,98.0
11,10,116.0
11,11,126.0
12,0,135.0
12,1,163.0
12,2,129.0
12,3,135.0
12,4,122.0
12,5,157.0
12,6,140.0
12,7,104.0
12,8,144.0
12,9,168.0
12,10,120.0
12,11,130.0
13,0,162.0
13,1,158.0
13,2,110.0
13,3,125.0
13,4,139.0
13,5,137.0
13,6,123.0
13,7,153.0
13,8,104.0
13,9,129.0
13,10,147.0
13,11,120.0
14,0,107.0
14,1,113.0
14,2,144.0
14,3,139.0
14,4,122.0
14,5,166.0
14,6,152.0
14,7,149.0
14,8,131.0
14,9,183.0
14,10,107.0
14,11,131.0
15,0,162.0
15,1,166.0
15,2,117.0
15,3,148.0
15,4,158.0
15,5,119.0
15,6,155.0
15,7,155.0
15,8,115.0
15,9,141.0
15,10,127.0
15,11,169.0
16,0,142.0
16,1,179.0
16,2,196.0
16,3,166.0
16,4,219.0
16,5,191.0
16,6,192.0
16,7,238.0
16,8,236.0
16,9,188.0
16,10,270.0
16,11,266.0
17,0,292.0
17,1,447.0
17,2,408.0
17,3,466.0
17,4,398.0
17,5,442.0
17,6,433.0
17,7,646.0
17,8,668.0
17,9,603.0
17,10,610.0
17,11,500.0
18,0,504.0
18,1,610.0
18,2,584.0
18,3,637.0
18,4,531.0
18,5,465.0
18,6,446.0
18,7,537.0
18,8,425.0
18,9,356.0
18,10,370.0
18,11,329.0
19,0,289.0
19,1,255.0
19,2,298.0
19,3,242.0
19,4,206.0
19,5,190.0
19,6,183.0
19,7,172.0
19,8,184.0
19,9,189.0
19,10,114.0
19,11,185.0
20,0,161.0
20,1,150.0
20,2,151.0
20,3,164.0
20,4,156.0
20,5,149.0
20,6,136.0
20,7,114.0
20,8,152.0
20,9,124.0
20,10,131.0
20,11,114.0
21,0,141.0
21,1,113.0
21,2,128.0
21,3,166.0
21,4,140.0
21,5,86.0
21,6,137.0
21,7,105.0
21,8,98.0
21,9,132.0
21,10,108.0
21,11,94.0
22,0,103.0
22,1,94.0
22,2,95.0
22,3,76.0
22,4,116.0
22,5,64.0
22,6,95.0
22,7,31.0
22,8,78.0
22,9,43.0
22,10,43.0
22,11,14.0
23,0,25.0
23,1,8.0
23,2,5.0
23,3,7.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
