时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,6.0
5,8,8.0
5,9,22.0
5,10,36.0
5,11,49.0
6,0,35.0
6,1,40.0
6,2,47.0
6,3,33.0
6,4,76.0
6,5,71.0
6,6,103.0
6,7,82.0
6,8,115.0
6,9,85.0
6,10,132.0
6,11,159.0
7,0,162.0
7,1,124.0
7,2,213.0
7,3,222.0
7,4,211.0
7,5,233.0
7,6,244.0
7,7,330.0
7,8,258.0
7,9,239.0
7,10,382.0
7,11,470.0
8,0,383.0
8,1,619.0
8,2,637.0
8,3,417.0
8,4,631.0
8,5,600.0
8,6,628.0
8,7,540.0
8,8,495.0
8,9,516.0
8,10,430.0
8,11,299.0
9,0,358.0
9,1,325.0
9,2,197.0
9,3,282.0
9,4,213.0
9,5,210.0
9,6,160.0
9,7,158.0
9,8,145.0
9,9,124.0
9,10,110.0
9,11,79.0
10,0,176.0
10,1,62.0
10,2,128.0
10,3,102.0
10,4,99.0
10,5,83.0
10,6,69.0
10,7,69.0
10,8,109.0
10,9,59.0
10,10,80.0
10,11,55.0
11,0,83.0
11,1,69.0
11,2,73.0
11,3,65.0
11,4,72.0
11,5,101.0
11,6,49.0
11,7,107.0
11,8,41.0
11,9,102.0
11,10,92.0
11,11,51.0
12,0,45.0
12,1,94.0
12,2,122.0
12,3,68.0
12,4,69.0
12,5,86.0
12,6,73.0
12,7,42.0
12,8,101.0
12,9,91.0
12,10,63.0
12,11,72.0
13,0,77.0
13,1,88.0
13,2,50.0
13,3,77.0
13,4,103.0
13,5,103.0
13,6,58.0
13,7,96.0
13,8,71.0
13,9,70.0
13,10,101.0
13,11,80.0
14,0,64.0
14,1,53.0
14,2,82.0
14,3,100.0
14,4,62.0
14,5,108.0
14,6,62.0
14,7,73.0
14,8,48.0
14,9,89.0
14,10,90.0
14,11,47.0
15,0,87.0
15,1,86.0
15,2,85.0
15,3,62.0
15,4,105.0
15,5,70.0
15,6,83.0
15,7,101.0
15,8,96.0
15,9,45.0
15,10,72.0
15,11,105.0
16,0,82.0
16,1,84.0
16,2,135.0
16,3,145.0
16,4,120.0
16,5,102.0
16,6,112.0
16,7,152.0
16,8,144.0
16,9,202.0
16,10,154.0
16,11,195.0
17,0,213.0
17,1,243.0
17,2,261.0
17,3,260.0
17,4,274.0
17,5,258.0
17,6,257.0
17,7,407.0
17,8,552.0
17,9,428.0
17,10,360.0
17,11,331.0
18,0,338.0
18,1,325.0
18,2,356.0
18,3,305.0
18,4,337.0
18,5,299.0
18,6,245.0
18,7,354.0
18,8,250.0
18,9,247.0
18,10,223.0
18,11,162.0
19,0,229.0
19,1,171.0
19,2,130.0
19,3,109.0
19,4,161.0
19,5,112.0
19,6,113.0
19,7,93.0
19,8,79.0
19,9,119.0
19,10,92.0
19,11,97.0
20,0,74.0
20,1,95.0
20,2,65.0
20,3,43.0
20,4,90.0
20,5,101.0
20,6,92.0
20,7,53.0
20,8,95.0
20,9,80.0
20,10,80.0
20,11,49.0
21,0,84.0
21,1,47.0
21,2,79.0
21,3,28.0
21,4,105.0
21,5,48.0
21,6,91.0
21,7,26.0
21,8,78.0
21,9,46.0
21,10,78.0
21,11,79.0
22,0,48.0
22,1,34.0
22,2,59.0
22,3,38.0
22,4,31.0
22,5,101.0
22,6,15.0
22,7,56.0
22,8,70.0
22,9,35.0
22,10,13.0
22,11,25.0
23,0,15.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
