时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,3.0
5,8,13.0
5,9,14.0
5,10,26.0
5,11,34.0
6,0,44.0
6,1,45.0
6,2,36.0
6,3,42.0
6,4,56.0
6,5,104.0
6,6,49.0
6,7,96.0
6,8,91.0
6,9,170.0
6,10,176.0
6,11,123.0
7,0,209.0
7,1,210.0
7,2,177.0
7,3,171.0
7,4,238.0
7,5,240.0
7,6,239.0
7,7,319.0
7,8,325.0
7,9,452.0
7,10,344.0
7,11,553.0
8,0,658.0
8,1,460.0
8,2,1021.0
8,3,585.0
8,4,961.0
8,5,1039.0
8,6,801.0
8,7,780.0
8,8,929.0
8,9,640.0
8,10,967.0
8,11,583.0
9,0,562.0
9,1,476.0
9,2,495.0
9,3,535.0
9,4,299.0
9,5,489.0
9,6,312.0
9,7,331.0
9,8,227.0
9,9,365.0
9,10,163.0
9,11,283.0
10,0,203.0
10,1,90.0
10,2,222.0
10,3,83.0
10,4,162.0
10,5,97.0
10,6,142.0
10,7,81.0
10,8,115.0
10,9,139.0
10,10,125.0
10,11,106.0
11,0,113.0
11,1,70.0
11,2,150.0
11,3,115.0
11,4,100.0
11,5,62.0
11,6,119.0
11,7,53.0
11,8,109.0
11,9,118.0
11,10,57.0
11,11,116.0
12,0,120.0
12,1,98.0
12,2,97.0
12,3,105.0
12,4,145.0
12,5,72.0
12,6,89.0
12,7,123.0
12,8,94.0
12,9,101.0
12,10,121.0
12,11,88.0
13,0,109.0
13,1,111.0
13,2,145.0
13,3,80.0
13,4,105.0
13,5,127.0
13,6,143.0
13,7,54.0
13,8,135.0
13,9,129.0
13,10,74.0
13,11,83.0
14,0,122.0
14,1,118.0
14,2,98.0
14,3,68.0
14,4,121.0
14,5,66.0
14,6,107.0
14,7,135.0
14,8,135.0
14,9,87.0
14,10,109.0
14,11,109.0
15,0,97.0
15,1,83.0
15,2,126.0
15,3,126.0
15,4,107.0
15,5,121.0
15,6,128.0
15,7,88.0
15,8,93.0
15,9,127.0
15,10,117.0
15,11,40.0
16,0,153.0
16,1,164.0
16,2,96.0
16,3,137.0
16,4,144.0
16,5,167.0
16,6,160.0
16,7,163.0
16,8,198.0
16,9,254.0
16,10,187.0
16,11,278.0
17,0,261.0
17,1,362.0
17,2,413.0
17,3,444.0
17,4,382.0
17,5,446.0
17,6,421.0
17,7,472.0
17,8,538.0
17,9,560.0
17,10,621.0
17,11,505.0
18,0,435.0
18,1,469.0
18,2,572.0
18,3,566.0
18,4,500.0
18,5,521.0
18,6,421.0
18,7,390.0
18,8,416.0
18,9,371.0
18,10,312.0
18,11,279.0
19,0,254.0
19,1,231.0
19,2,245.0
19,3,264.0
19,4,242.0
19,5,164.0
19,6,197.0
19,7,219.0
19,8,221.0
19,9,154.0
19,10,161.0
19,11,186.0
20,0,133.0
20,1,129.0
20,2,158.0
20,3,130.0
20,4,134.0
20,5,74.0
20,6,136.0
20,7,132.0
20,8,90.0
20,9,109.0
20,10,153.0
20,11,134.0
21,0,114.0
21,1,118.0
21,2,211.0
21,3,94.0
21,4,146.0
21,5,166.0
21,6,98.0
21,7,53.0
21,8,169.0
21,9,73.0
21,10,133.0
21,11,126.0
22,0,101.0
22,1,71.0
22,2,96.0
22,3,82.0
22,4,79.0
22,5,76.0
22,6,30.0
22,7,87.0
22,8,13.0
22,9,61.0
22,10,18.0
22,11,27.0
23,0,10.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
