时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,2.0
5,8,2.0
5,9,6.0
5,10,10.0
5,11,4.0
6,0,5.0
6,1,29.0
6,2,22.0
6,3,17.0
6,4,23.0
6,5,41.0
6,6,10.0
6,7,49.0
6,8,59.0
6,9,29.0
6,10,63.0
6,11,80.0
7,0,95.0
7,1,90.0
7,2,14.0
7,3,104.0
7,4,114.0
7,5,162.0
7,6,183.0
7,7,203.0
7,8,341.0
7,9,256.0
7,10,497.0
7,11,614.0
8,0,406.0
8,1,810.0
8,2,988.0
8,3,1096.0
8,4,808.0
8,5,1545.0
8,6,1326.0
8,7,936.0
8,8,1266.0
8,9,1661.0
8,10,1455.0
8,11,987.0
9,0,998.0
9,1,742.0
9,2,745.0
9,3,625.0
9,4,655.0
9,5,333.0
9,6,613.0
9,7,414.0
9,8,407.0
9,9,290.0
9,10,456.0
9,11,220.0
10,0,184.0
10,1,197.0
10,2,137.0
10,3,236.0
10,4,146.0
10,5,167.0
10,6,160.0
10,7,181.0
10,8,166.0
10,9,79.0
10,10,119.0
10,11,147.0
11,0,83.0
11,1,170.0
11,2,53.0
11,3,155.0
11,4,148.0
11,5,69.0
11,6,148.0
11,7,186.0
11,8,87.0
11,9,145.0
11,10,161.0
11,11,108.0
12,0,73.0
12,1,125.0
12,2,140.0
12,3,92.0
12,4,121.0
12,5,168.0
12,6,134.0
12,7,78.0
12,8,151.0
12,9,159.0
12,10,56.0
12,11,166.0
13,0,145.0
13,1,130.0
13,2,143.0
13,3,166.0
13,4,164.0
13,5,82.0
13,6,146.0
13,7,175.0
13,8,137.0
13,9,118.0
13,10,183.0
13,11,180.0
14,0,106.0
14,1,182.0
14,2,148.0
14,3,92.0
14,4,70.0
14,5,159.0
14,6,166.0
14,7,85.0
14,8,145.0
14,9,174.0
14,10,107.0
14,11,89.0
15,0,155.0
15,1,206.0
15,2,153.0
15,3,159.0
15,4,147.0
15,5,145.0
15,6,85.0
15,7,179.0
15,8,173.0
15,9,124.0
15,10,135.0
15,11,161.0
16,0,118.0
16,1,152.0
16,2,170.0
16,3,147.0
16,4,111.0
16,5,182.0
16,6,154.0
16,7,180.0
16,8,213.0
16,9,189.0
16,10,255.0
16,11,337.0
17,0,346.0
17,1,554.0
17,2,728.0
17,3,639.0
17,4,476.0
17,5,413.0
17,6,450.0
17,7,792.0
17,8,903.0
17,9,923.0
17,10,699.0
17,11,596.0
18,0,551.0
18,1,773.0
18,2,984.0
18,3,1021.0
18,4,883.0
18,5,640.0
18,6,502.0
18,7,525.0
18,8,548.0
18,9,484.0
18,10,415.0
18,11,373.0
19,0,330.0
19,1,287.0
19,2,269.0
19,3,241.0
19,4,199.0
19,5,208.0
19,6,209.0
19,7,218.0
19,8,175.0
19,9,143.0
19,10,136.0
19,11,130.0
20,0,102.0
20,1,130.0
20,2,150.0
20,3,134.0
20,4,103.0
20,5,142.0
20,6,108.0
20,7,101.0
20,8,108.0
20,9,123.0
20,10,94.0
20,11,112.0
21,0,117.0
21,1,144.0
21,2,138.0
21,3,129.0
21,4,112.0
21,5,75.0
21,6,92.0
21,7,77.0
21,8,54.0
21,9,84.0
21,10,58.0
21,11,54.0
22,0,30.0
22,1,52.0
22,2,45.0
22,3,27.0
22,4,26.0
22,5,24.0
22,6,26.0
22,7,17.0
22,8,35.0
22,9,13.0
22,10,15.0
22,11,6.0
23,0,8.0
23,1,7.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
