时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,4.0
5,6,4.0
5,7,7.0
5,8,3.0
5,9,7.0
5,10,8.0
5,11,11.0
6,0,18.0
6,1,19.0
6,2,32.0
6,3,49.0
6,4,71.0
6,5,60.0
6,6,88.0
6,7,78.0
6,8,84.0
6,9,102.0
6,10,63.0
6,11,144.0
7,0,106.0
7,1,165.0
7,2,180.0
7,3,238.0
7,4,261.0
7,5,185.0
7,6,300.0
7,7,315.0
7,8,259.0
7,9,334.0
7,10,381.0
7,11,254.0
8,0,386.0
8,1,437.0
8,2,494.0
8,3,464.0
8,4,480.0
8,5,507.0
8,6,483.0
8,7,492.0
8,8,610.0
8,9,466.0
8,10,601.0
8,11,380.0
9,0,381.0
9,1,386.0
9,2,369.0
9,3,379.0
9,4,362.0
9,5,315.0
9,6,192.0
9,7,210.0
9,8,310.0
9,9,286.0
9,10,227.0
9,11,166.0
10,0,157.0
10,1,167.0
10,2,144.0
10,3,140.0
10,4,99.0
10,5,106.0
10,6,164.0
10,7,145.0
10,8,151.0
10,9,80.0
10,10,150.0
10,11,60.0
11,0,82.0
11,1,162.0
11,2,81.0
11,3,109.0
11,4,71.0
11,5,137.0
11,6,92.0
11,7,94.0
11,8,108.0
11,9,135.0
11,10,57.0
11,11,146.0
12,0,71.0
12,1,128.0
12,2,125.0
12,3,78.0
12,4,101.0
12,5,132.0
12,6,92.0
12,7,78.0
12,8,124.0
12,9,134.0
12,10,69.0
12,11,137.0
13,0,146.0
13,1,115.0
13,2,88.0
13,3,129.0
13,4,138.0
13,5,92.0
13,6,126.0
13,7,132.0
13,8,95.0
13,9,87.0
13,10,147.0
13,11,107.0
14,0,60.0
14,1,118.0
14,2,117.0
14,3,110.0
14,4,83.0
14,5,117.0
14,6,113.0
14,7,103.0
14,8,111.0
14,9,140.0
14,10,96.0
14,11,114.0
15,0,160.0
15,1,109.0
15,2,148.0
15,3,124.0
15,4,99.0
15,5,99.0
15,6,89.0
15,7,169.0
15,8,164.0
15,9,104.0
15,10,126.0
15,11,160.0
16,0,148.0
16,1,138.0
16,2,165.0
16,3,228.0
16,4,186.0
16,5,222.0
16,6,151.0
16,7,260.0
16,8,220.0
16,9,231.0
16,10,207.0
16,11,201.0
17,0,211.0
17,1,345.0
17,2,400.0
17,3,310.0
17,4,315.0
17,5,268.0
17,6,305.0
17,7,393.0
17,8,429.0
17,9,372.0
17,10,442.0
17,11,305.0
18,0,383.0
18,1,404.0
18,2,398.0
18,3,521.0
18,4,424.0
18,5,345.0
18,6,378.0
18,7,344.0
18,8,338.0
18,9,325.0
18,10,308.0
18,11,226.0
19,0,300.0
19,1,239.0
19,2,198.0
19,3,206.0
19,4,172.0
19,5,140.0
19,6,170.0
19,7,117.0
19,8,149.0
19,9,134.0
19,10,97.0
19,11,103.0
20,0,96.0
20,1,119.0
20,2,133.0
20,3,75.0
20,4,104.0
20,5,101.0
20,6,108.0
20,7,53.0
20,8,116.0
20,9,92.0
20,10,93.0
20,11,112.0
21,0,146.0
21,1,63.0
21,2,116.0
21,3,108.0
21,4,113.0
21,5,89.0
21,6,122.0
21,7,63.0
21,8,102.0
21,9,100.0
21,10,87.0
21,11,57.0
22,0,54.0
22,1,104.0
22,2,60.0
22,3,39.0
22,4,65.0
22,5,85.0
22,6,12.0
22,7,32.0
22,8,39.0
22,9,22.0
22,10,2.0
22,11,26.0
23,0,5.0
23,1,7.0
23,2,10.0
23,3,0.0
23,4,4.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
