时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,22.0
5,11,31.0
6,0,33.0
6,1,46.0
6,2,67.0
6,3,62.0
6,4,66.0
6,5,112.0
6,6,124.0
6,7,118.0
6,8,126.0
6,9,168.0
6,10,196.0
6,11,190.0
7,0,136.0
7,1,260.0
7,2,286.0
7,3,265.0
7,4,279.0
7,5,308.0
7,6,315.0
7,7,394.0
7,8,340.0
7,9,316.0
7,10,398.0
7,11,324.0
8,0,291.0
8,1,290.0
8,2,343.0
8,3,337.0
8,4,377.0
8,5,325.0
8,6,326.0
8,7,251.0
8,8,248.0
8,9,178.0
8,10,230.0
8,11,151.0
9,0,125.0
9,1,131.0
9,2,108.0
9,3,105.0
9,4,144.0
9,5,83.0
9,6,76.0
9,7,121.0
9,8,82.0
9,9,88.0
9,10,96.0
9,11,70.0
10,0,67.0
10,1,105.0
10,2,70.0
10,3,54.0
10,4,72.0
10,5,77.0
10,6,66.0
10,7,62.0
10,8,44.0
10,9,81.0
10,10,54.0
10,11,90.0
11,0,51.0
11,1,76.0
11,2,40.0
11,3,60.0
11,4,77.0
11,5,73.0
11,6,59.0
11,7,69.0
11,8,30.0
11,9,74.0
11,10,69.0
11,11,83.0
12,0,89.0
12,1,65.0
12,2,61.0
12,3,70.0
12,4,71.0
12,5,64.0
12,6,67.0
12,7,59.0
12,8,33.0
12,9,79.0
12,10,84.0
12,11,71.0
13,0,82.0
13,1,63.0
13,2,31.0
13,3,63.0
13,4,46.0
13,5,57.0
13,6,56.0
13,7,48.0
13,8,53.0
13,9,56.0
13,10,62.0
13,11,58.0
14,0,73.0
14,1,65.0
14,2,43.0
14,3,40.0
14,4,78.0
14,5,60.0
14,6,72.0
14,7,64.0
14,8,48.0
14,9,35.0
14,10,63.0
14,11,60.0
15,0,68.0
15,1,63.0
15,2,43.0
15,3,74.0
15,4,90.0
15,5,91.0
15,6,67.0
15,7,84.0
15,8,67.0
15,9,72.0
15,10,79.0
15,11,74.0
16,0,78.0
16,1,90.0
16,2,82.0
16,3,116.0
16,4,97.0
16,5,48.0
16,6,132.0
16,7,132.0
16,8,115.0
16,9,222.0
16,10,141.0
16,11,200.0
17,0,161.0
17,1,173.0
17,2,190.0
17,3,255.0
17,4,199.0
17,5,315.0
17,6,263.0
17,7,218.0
17,8,204.0
17,9,221.0
17,10,228.0
17,11,207.0
18,0,278.0
18,1,215.0
18,2,220.0
18,3,230.0
18,4,156.0
18,5,286.0
18,6,207.0
18,7,198.0
18,8,218.0
18,9,220.0
18,10,150.0
18,11,126.0
19,0,187.0
19,1,183.0
19,2,184.0
19,3,178.0
19,4,155.0
19,5,157.0
19,6,147.0
19,7,169.0
19,8,178.0
19,9,150.0
19,10,134.0
19,11,116.0
20,0,113.0
20,1,98.0
20,2,88.0
20,3,73.0
20,4,116.0
20,5,61.0
20,6,55.0
20,7,75.0
20,8,74.0
20,9,54.0
20,10,84.0
20,11,57.0
21,0,64.0
21,1,82.0
21,2,55.0
21,3,69.0
21,4,59.0
21,5,67.0
21,6,78.0
21,7,20.0
21,8,79.0
21,9,52.0
21,10,56.0
21,11,50.0
22,0,49.0
22,1,34.0
22,2,34.0
22,3,54.0
22,4,43.0
22,5,51.0
22,6,37.0
22,7,18.0
22,8,49.0
22,9,32.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
