时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,10.0
6,0,16.0
6,1,19.0
6,2,29.0
6,3,35.0
6,4,40.0
6,5,30.0
6,6,88.0
6,7,64.0
6,8,88.0
6,9,62.0
6,10,97.0
6,11,117.0
7,0,128.0
7,1,175.0
7,2,155.0
7,3,146.0
7,4,110.0
7,5,154.0
7,6,280.0
7,7,182.0
7,8,247.0
7,9,130.0
7,10,245.0
7,11,184.0
8,0,162.0
8,1,203.0
8,2,192.0
8,3,159.0
8,4,156.0
8,5,140.0
8,6,109.0
8,7,147.0
8,8,159.0
8,9,136.0
8,10,118.0
8,11,74.0
9,0,91.0
9,1,61.0
9,2,76.0
9,3,24.0
9,4,63.0
9,5,43.0
9,6,24.0
9,7,69.0
9,8,20.0
9,9,34.0
9,10,58.0
9,11,34.0
10,0,33.0
10,1,33.0
10,2,38.0
10,3,34.0
10,4,31.0
10,5,23.0
10,6,27.0
10,7,31.0
10,8,31.0
10,9,26.0
10,10,29.0
10,11,37.0
11,0,25.0
11,1,33.0
11,2,30.0
11,3,34.0
11,4,17.0
11,5,18.0
11,6,35.0
11,7,25.0
11,8,29.0
11,9,29.0
11,10,32.0
11,11,26.0
12,0,24.0
12,1,37.0
12,2,32.0
12,3,43.0
12,4,37.0
12,5,24.0
12,6,38.0
12,7,27.0
12,8,48.0
12,9,49.0
12,10,14.0
12,11,31.0
13,0,19.0
13,1,36.0
13,2,26.0
13,3,33.0
13,4,20.0
13,5,27.0
13,6,23.0
13,7,24.0
13,8,32.0
13,9,23.0
13,10,23.0
13,11,14.0
14,0,37.0
14,1,36.0
14,2,31.0
14,3,31.0
14,4,26.0
14,5,20.0
14,6,27.0
14,7,39.0
14,8,44.0
14,9,42.0
14,10,31.0
14,11,25.0
15,0,48.0
15,1,48.0
15,2,51.0
15,3,27.0
15,4,47.0
15,5,34.0
15,6,45.0
15,7,42.0
15,8,55.0
15,9,42.0
15,10,37.0
15,11,45.0
16,0,30.0
16,1,76.0
16,2,54.0
16,3,73.0
16,4,66.0
16,5,46.0
16,6,39.0
16,7,24.0
16,8,73.0
16,9,62.0
16,10,80.0
16,11,93.0
17,0,57.0
17,1,77.0
17,2,100.0
17,3,121.0
17,4,104.0
17,5,81.0
17,6,122.0
17,7,111.0
17,8,124.0
17,9,101.0
17,10,118.0
17,11,99.0
18,0,126.0
18,1,103.0
18,2,137.0
18,3,101.0
18,4,127.0
18,5,127.0
18,6,106.0
18,7,106.0
18,8,116.0
18,9,121.0
18,10,103.0
18,11,81.0
19,0,99.0
19,1,118.0
19,2,127.0
19,3,101.0
19,4,92.0
19,5,105.0
19,6,94.0
19,7,104.0
19,8,95.0
19,9,84.0
19,10,88.0
19,11,52.0
20,0,52.0
20,1,71.0
20,2,54.0
20,3,42.0
20,4,78.0
20,5,45.0
20,6,33.0
20,7,57.0
20,8,26.0
20,9,48.0
20,10,51.0
20,11,44.0
21,0,47.0
21,1,55.0
21,2,34.0
21,3,21.0
21,4,15.0
21,5,59.0
21,6,34.0
21,7,43.0
21,8,34.0
21,9,32.0
21,10,5.0
21,11,26.0
22,0,49.0
22,1,35.0
22,2,33.0
22,3,6.0
22,4,24.0
22,5,34.0
22,6,36.0
22,7,12.0
22,8,7.0
22,9,21.0
22,10,1.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
