时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,35.0
6,0,19.0
6,1,41.0
6,2,51.0
6,3,83.0
6,4,96.0
6,5,76.0
6,6,126.0
6,7,80.0
6,8,123.0
6,9,166.0
6,10,99.0
6,11,154.0
7,0,161.0
7,1,250.0
7,2,239.0
7,3,190.0
7,4,321.0
7,5,280.0
7,6,236.0
7,7,220.0
7,8,195.0
7,9,313.0
7,10,249.0
7,11,258.0
8,0,222.0
8,1,226.0
8,2,190.0
8,3,219.0
8,4,270.0
8,5,261.0
8,6,260.0
8,7,169.0
8,8,212.0
8,9,185.0
8,10,195.0
8,11,120.0
9,0,119.0
9,1,115.0
9,2,105.0
9,3,97.0
9,4,61.0
9,5,57.0
9,6,109.0
9,7,62.0
9,8,58.0
9,9,85.0
9,10,73.0
9,11,50.0
10,0,75.0
10,1,48.0
10,2,41.0
10,3,56.0
10,4,53.0
10,5,34.0
10,6,50.0
10,7,48.0
10,8,45.0
10,9,29.0
10,10,57.0
10,11,26.0
11,0,76.0
11,1,50.0
11,2,23.0
11,3,49.0
11,4,29.0
11,5,48.0
11,6,42.0
11,7,49.0
11,8,32.0
11,9,51.0
11,10,52.0
11,11,42.0
12,0,42.0
12,1,49.0
12,2,37.0
12,3,51.0
12,4,52.0
12,5,51.0
12,6,52.0
12,7,49.0
12,8,25.0
12,9,51.0
12,10,48.0
12,11,39.0
13,0,32.0
13,1,60.0
13,2,19.0
13,3,54.0
13,4,42.0
13,5,38.0
13,6,55.0
13,7,34.0
13,8,19.0
13,9,34.0
13,10,37.0
13,11,68.0
14,0,46.0
14,1,34.0
14,2,19.0
14,3,52.0
14,4,46.0
14,5,57.0
14,6,48.0
14,7,28.0
14,8,32.0
14,9,68.0
14,10,44.0
14,11,54.0
15,0,41.0
15,1,44.0
15,2,31.0
15,3,35.0
15,4,67.0
15,5,30.0
15,6,57.0
15,7,46.0
15,8,24.0
15,9,44.0
15,10,68.0
15,11,67.0
16,0,90.0
16,1,63.0
16,2,66.0
16,3,72.0
16,4,45.0
16,5,96.0
16,6,64.0
16,7,85.0
16,8,76.0
16,9,59.0
16,10,103.0
16,11,80.0
17,0,113.0
17,1,77.0
17,2,106.0
17,3,127.0
17,4,132.0
17,5,126.0
17,6,124.0
17,7,135.0
17,8,177.0
17,9,142.0
17,10,167.0
17,11,147.0
18,0,153.0
18,1,175.0
18,2,143.0
18,3,184.0
18,4,165.0
18,5,113.0
18,6,166.0
18,7,154.0
18,8,168.0
18,9,145.0
18,10,79.0
18,11,152.0
19,0,148.0
19,1,149.0
19,2,133.0
19,3,162.0
19,4,158.0
19,5,129.0
19,6,124.0
19,7,140.0
19,8,130.0
19,9,99.0
19,10,88.0
19,11,84.0
20,0,72.0
20,1,57.0
20,2,49.0
20,3,85.0
20,4,40.0
20,5,36.0
20,6,53.0
20,7,35.0
20,8,62.0
20,9,62.0
20,10,48.0
20,11,66.0
21,0,54.0
21,1,13.0
21,2,44.0
21,3,45.0
21,4,56.0
21,5,52.0
21,6,49.0
21,7,18.0
21,8,39.0
21,9,37.0
21,10,31.0
21,11,42.0
22,0,25.0
22,1,2.0
22,2,46.0
22,3,31.0
22,4,53.0
22,5,29.0
22,6,2.0
22,7,26.0
22,8,22.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
