时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,7.0
5,10,26.0
5,11,36.0
6,0,30.0
6,1,36.0
6,2,55.0
6,3,62.0
6,4,40.0
6,5,48.0
6,6,44.0
6,7,105.0
6,8,69.0
6,9,95.0
6,10,91.0
6,11,137.0
7,0,154.0
7,1,124.0
7,2,163.0
7,3,158.0
7,4,172.0
7,5,160.0
7,6,182.0
7,7,225.0
7,8,273.0
7,9,158.0
7,10,188.0
7,11,175.0
8,0,213.0
8,1,112.0
8,2,139.0
8,3,135.0
8,4,142.0
8,5,87.0
8,6,97.0
8,7,80.0
8,8,67.0
8,9,51.0
8,10,43.0
8,11,51.0
9,0,48.0
9,1,38.0
9,2,40.0
9,3,30.0
9,4,28.0
9,5,41.0
9,6,53.0
9,7,12.0
9,8,32.0
9,9,19.0
9,10,24.0
9,11,35.0
10,0,17.0
10,1,19.0
10,2,42.0
10,3,34.0
10,4,17.0
10,5,20.0
10,6,27.0
10,7,20.0
10,8,14.0
10,9,13.0
10,10,30.0
10,11,20.0
11,0,21.0
11,1,8.0
11,2,22.0
11,3,12.0
11,4,8.0
11,5,18.0
11,6,18.0
11,7,30.0
11,8,25.0
11,9,16.0
11,10,21.0
11,11,15.0
12,0,15.0
12,1,21.0
12,2,24.0
12,3,19.0
12,4,17.0
12,5,18.0
12,6,21.0
12,7,27.0
12,8,29.0
12,9,12.0
12,10,13.0
12,11,19.0
13,0,13.0
13,1,21.0
13,2,23.0
13,3,9.0
13,4,11.0
13,5,23.0
13,6,22.0
13,7,19.0
13,8,25.0
13,9,13.0
13,10,10.0
13,11,18.0
14,0,14.0
14,1,14.0
14,2,18.0
14,3,26.0
14,4,9.0
14,5,16.0
14,6,26.0
14,7,23.0
14,8,15.0
14,9,12.0
14,10,10.0
14,11,21.0
15,0,28.0
15,1,25.0
15,2,16.0
15,3,34.0
15,4,22.0
15,5,27.0
15,6,27.0
15,7,28.0
15,8,34.0
15,9,40.0
15,10,19.0
15,11,47.0
16,0,44.0
16,1,56.0
16,2,41.0
16,3,50.0
16,4,43.0
16,5,36.0
16,6,34.0
16,7,74.0
16,8,98.0
16,9,105.0
16,10,109.0
16,11,74.0
17,0,79.0
17,1,57.0
17,2,67.0
17,3,67.0
17,4,71.0
17,5,65.0
17,6,60.0
17,7,62.0
17,8,87.0
17,9,66.0
17,10,63.0
17,11,79.0
18,0,70.0
18,1,80.0
18,2,112.0
18,3,88.0
18,4,75.0
18,5,77.0
18,6,88.0
18,7,62.0
18,8,78.0
18,9,65.0
18,10,70.0
18,11,63.0
19,0,70.0
19,1,74.0
19,2,64.0
19,3,68.0
19,4,69.0
19,5,64.0
19,6,55.0
19,7,58.0
19,8,72.0
19,9,58.0
19,10,40.0
19,11,50.0
20,0,54.0
20,1,32.0
20,2,38.0
20,3,27.0
20,4,30.0
20,5,34.0
20,6,36.0
20,7,24.0
20,8,26.0
20,9,26.0
20,10,30.0
20,11,45.0
21,0,15.0
21,1,25.0
21,2,28.0
21,3,13.0
21,4,24.0
21,5,16.0
21,6,35.0
21,7,10.0
21,8,8.0
21,9,28.0
21,10,16.0
21,11,25.0
22,0,19.0
22,1,22.0
22,2,4.0
22,3,16.0
22,4,22.0
22,5,20.0
22,6,22.0
22,7,16.0
22,8,3.0
22,9,16.0
22,10,11.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
