时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,1.0
5,10,4.0
5,11,4.0
6,0,3.0
6,1,0.0
6,2,3.0
6,3,3.0
6,4,12.0
6,5,1.0
6,6,11.0
6,7,17.0
6,8,4.0
6,9,16.0
6,10,26.0
6,11,15.0
7,0,20.0
7,1,26.0
7,2,34.0
7,3,61.0
7,4,48.0
7,5,42.0
7,6,54.0
7,7,81.0
7,8,64.0
7,9,55.0
7,10,66.0
7,11,25.0
8,0,87.0
8,1,101.0
8,2,91.0
8,3,141.0
8,4,116.0
8,5,80.0
8,6,71.0
8,7,84.0
8,8,60.0
8,9,84.0
8,10,69.0
8,11,79.0
9,0,34.0
9,1,39.0
9,2,33.0
9,3,37.0
9,4,20.0
9,5,3.0
9,6,31.0
9,7,14.0
9,8,25.0
9,9,13.0
9,10,6.0
9,11,4.0
10,0,10.0
10,1,17.0
10,2,8.0
10,3,5.0
10,4,4.0
10,5,6.0
10,6,9.0
10,7,4.0
10,8,5.0
10,9,9.0
10,10,6.0
10,11,7.0
11,0,5.0
11,1,8.0
11,2,7.0
11,3,8.0
11,4,10.0
11,5,12.0
11,6,6.0
11,7,6.0
11,8,4.0
11,9,10.0
11,10,9.0
11,11,6.0
12,0,7.0
12,1,5.0
12,2,7.0
12,3,6.0
12,4,9.0
12,5,10.0
12,6,10.0
12,7,9.0
12,8,13.0
12,9,13.0
12,10,5.0
12,11,7.0
13,0,7.0
13,1,3.0
13,2,10.0
13,3,9.0
13,4,6.0
13,5,13.0
13,6,15.0
13,7,3.0
13,8,11.0
13,9,6.0
13,10,5.0
13,11,5.0
14,0,14.0
14,1,9.0
14,2,10.0
14,3,9.0
14,4,7.0
14,5,2.0
14,6,10.0
14,7,8.0
14,8,6.0
14,9,5.0
14,10,4.0
14,11,6.0
15,0,5.0
15,1,8.0
15,2,7.0
15,3,5.0
15,4,4.0
15,5,2.0
15,6,9.0
15,7,6.0
15,8,9.0
15,9,7.0
15,10,19.0
15,11,16.0
16,0,8.0
16,1,21.0
16,2,19.0
16,3,6.0
16,4,21.0
16,5,19.0
16,6,19.0
16,7,82.0
16,8,61.0
16,9,56.0
16,10,29.0
16,11,63.0
17,0,52.0
17,1,157.0
17,2,120.0
17,3,121.0
17,4,137.0
17,5,63.0
17,6,63.0
17,7,63.0
17,8,59.0
17,9,44.0
17,10,37.0
17,11,21.0
18,0,20.0
18,1,39.0
18,2,8.0
18,3,24.0
18,4,19.0
18,5,10.0
18,6,11.0
18,7,15.0
18,8,15.0
18,9,11.0
18,10,19.0
18,11,14.0
19,0,16.0
19,1,14.0
19,2,26.0
19,3,11.0
19,4,20.0
19,5,5.0
19,6,18.0
19,7,20.0
19,8,9.0
19,9,8.0
19,10,16.0
19,11,5.0
20,0,8.0
20,1,7.0
20,2,7.0
20,3,14.0
20,4,14.0
20,5,9.0
20,6,10.0
20,7,3.0
20,8,6.0
20,9,7.0
20,10,6.0
20,11,7.0
21,0,5.0
21,1,9.0
21,2,2.0
21,3,12.0
21,4,0.0
21,5,0.0
21,6,1.0
21,7,6.0
21,8,4.0
21,9,0.0
21,10,4.0
21,11,9.0
22,0,0.0
22,1,2.0
22,2,2.0
22,3,3.0
22,4,2.0
22,5,0.0
22,6,0.0
22,7,3.0
22,8,3.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
