时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,3.0
5,10,7.0
5,11,7.0
6,0,3.0
6,1,4.0
6,2,5.0
6,3,22.0
6,4,19.0
6,5,34.0
6,6,52.0
6,7,35.0
6,8,53.0
6,9,66.0
6,10,61.0
6,11,53.0
7,0,85.0
7,1,66.0
7,2,72.0
7,3,114.0
7,4,96.0
7,5,125.0
7,6,117.0
7,7,95.0
7,8,105.0
7,9,98.0
7,10,89.0
7,11,148.0
8,0,118.0
8,1,119.0
8,2,148.0
8,3,129.0
8,4,123.0
8,5,126.0
8,6,103.0
8,7,130.0
8,8,106.0
8,9,98.0
8,10,84.0
8,11,84.0
9,0,64.0
9,1,67.0
9,2,62.0
9,3,36.0
9,4,61.0
9,5,37.0
9,6,29.0
9,7,31.0
9,8,38.0
9,9,40.0
9,10,18.0
9,11,18.0
10,0,33.0
10,1,24.0
10,2,26.0
10,3,26.0
10,4,20.0
10,5,24.0
10,6,21.0
10,7,25.0
10,8,19.0
10,9,24.0
10,10,34.0
10,11,12.0
11,0,16.0
11,1,18.0
11,2,18.0
11,3,21.0
11,4,23.0
11,5,8.0
11,6,19.0
11,7,19.0
11,8,18.0
11,9,21.0
11,10,21.0
11,11,4.0
12,0,14.0
12,1,25.0
12,2,12.0
12,3,22.0
12,4,25.0
12,5,6.0
12,6,20.0
12,7,15.0
12,8,26.0
12,9,21.0
12,10,18.0
12,11,10.0
13,0,14.0
13,1,15.0
13,2,20.0
13,3,21.0
13,4,16.0
13,5,9.0
13,6,23.0
13,7,20.0
13,8,27.0
13,9,33.0
13,10,17.0
13,11,11.0
14,0,18.0
14,1,21.0
14,2,23.0
14,3,27.0
14,4,13.0
14,5,9.0
14,6,11.0
14,7,28.0
14,8,17.0
14,9,29.0
14,10,20.0
14,11,7.0
15,0,17.0
15,1,19.0
15,2,29.0
15,3,20.0
15,4,14.0
15,5,11.0
15,6,31.0
15,7,23.0
15,8,24.0
15,9,20.0
15,10,30.0
15,11,25.0
16,0,19.0
16,1,24.0
16,2,25.0
16,3,31.0
16,4,24.0
16,5,36.0
16,6,21.0
16,7,58.0
16,8,63.0
16,9,42.0
16,10,65.0
16,11,51.0
17,0,58.0
17,1,65.0
17,2,104.0
17,3,75.0
17,4,95.0
17,5,94.0
17,6,81.0
17,7,86.0
17,8,98.0
17,9,97.0
17,10,82.0
17,11,106.0
18,0,75.0
18,1,75.0
18,2,116.0
18,3,82.0
18,4,81.0
18,5,60.0
18,6,77.0
18,7,85.0
18,8,51.0
18,9,75.0
18,10,74.0
18,11,62.0
19,0,70.0
19,1,56.0
19,2,83.0
19,3,50.0
19,4,80.0
19,5,59.0
19,6,56.0
19,7,58.0
19,8,48.0
19,9,31.0
19,10,24.0
19,11,27.0
20,0,27.0
20,1,55.0
20,2,20.0
20,3,20.0
20,4,34.0
20,5,23.0
20,6,40.0
20,7,29.0
20,8,23.0
20,9,41.0
20,10,6.0
20,11,35.0
21,0,21.0
21,1,23.0
21,2,25.0
21,3,18.0
21,4,6.0
21,5,22.0
21,6,33.0
21,7,19.0
21,8,10.0
21,9,33.0
21,10,6.0
21,11,7.0
22,0,16.0
22,1,22.0
22,2,20.0
22,3,8.0
22,4,15.0
22,5,14.0
22,6,15.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
