时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,7.0
5,10,27.0
5,11,46.0
6,0,62.0
6,1,44.0
6,2,48.0
6,3,59.0
6,4,58.0
6,5,72.0
6,6,105.0
6,7,69.0
6,8,101.0
6,9,119.0
6,10,96.0
6,11,160.0
7,0,199.0
7,1,245.0
7,2,200.0
7,3,217.0
7,4,229.0
7,5,266.0
7,6,282.0
7,7,268.0
7,8,244.0
7,9,187.0
7,10,185.0
7,11,197.0
8,0,201.0
8,1,165.0
8,2,225.0
8,3,206.0
8,4,162.0
8,5,167.0
8,6,158.0
8,7,115.0
8,8,104.0
8,9,74.0
8,10,117.0
8,11,101.0
9,0,69.0
9,1,67.0
9,2,59.0
9,3,59.0
9,4,50.0
9,5,62.0
9,6,58.0
9,7,50.0
9,8,57.0
9,9,38.0
9,10,40.0
9,11,42.0
10,0,52.0
10,1,62.0
10,2,61.0
10,3,56.0
10,4,48.0
10,5,52.0
10,6,30.0
10,7,51.0
10,8,34.0
10,9,56.0
10,10,32.0
10,11,50.0
11,0,24.0
11,1,19.0
11,2,31.0
11,3,43.0
11,4,47.0
11,5,24.0
11,6,47.0
11,7,44.0
11,8,52.0
11,9,31.0
11,10,44.0
11,11,40.0
12,0,30.0
12,1,49.0
12,2,55.0
12,3,47.0
12,4,46.0
12,5,33.0
12,6,31.0
12,7,50.0
12,8,51.0
12,9,38.0
12,10,45.0
12,11,37.0
13,0,31.0
13,1,36.0
13,2,53.0
13,3,37.0
13,4,26.0
13,5,30.0
13,6,15.0
13,7,44.0
13,8,39.0
13,9,40.0
13,10,43.0
13,11,34.0
14,0,14.0
14,1,41.0
14,2,51.0
14,3,36.0
14,4,36.0
14,5,35.0
14,6,28.0
14,7,42.0
14,8,57.0
14,9,37.0
14,10,49.0
14,11,15.0
15,0,42.0
15,1,37.0
15,2,43.0
15,3,47.0
15,4,37.0
15,5,60.0
15,6,19.0
15,7,71.0
15,8,62.0
15,9,52.0
15,10,54.0
15,11,56.0
16,0,50.0
16,1,30.0
16,2,64.0
16,3,58.0
16,4,65.0
16,5,55.0
16,6,86.0
16,7,83.0
16,8,102.0
16,9,84.0
16,10,191.0
16,11,96.0
17,0,143.0
17,1,98.0
17,2,120.0
17,3,104.0
17,4,121.0
17,5,138.0
17,6,137.0
17,7,100.0
17,8,140.0
17,9,103.0
17,10,91.0
17,11,108.0
18,0,126.0
18,1,156.0
18,2,124.0
18,3,160.0
18,4,122.0
18,5,144.0
18,6,131.0
18,7,90.0
18,8,135.0
18,9,124.0
18,10,115.0
18,11,118.0
19,0,81.0
19,1,105.0
19,2,90.0
19,3,129.0
19,4,112.0
19,5,108.0
19,6,123.0
19,7,112.0
19,8,109.0
19,9,68.0
19,10,88.0
19,11,75.0
20,0,69.0
20,1,74.0
20,2,59.0
20,3,69.0
20,4,47.0
20,5,102.0
20,6,31.0
20,7,41.0
20,8,82.0
20,9,27.0
20,10,91.0
20,11,42.0
21,0,45.0
21,1,60.0
21,2,56.0
21,3,67.0
21,4,55.0
21,5,17.0
21,6,63.0
21,7,41.0
21,8,42.0
21,9,55.0
21,10,40.0
21,11,11.0
22,0,35.0
22,1,41.0
22,2,21.0
22,3,44.0
22,4,19.0
22,5,13.0
22,6,41.0
22,7,30.0
22,8,24.0
22,9,15.0
22,10,4.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
