时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,24.0
5,10,33.0
5,11,39.0
6,0,18.0
6,1,11.0
6,2,22.0
6,3,18.0
6,4,20.0
6,5,38.0
6,6,30.0
6,7,26.0
6,8,46.0
6,9,44.0
6,10,38.0
6,11,105.0
7,0,87.0
7,1,104.0
7,2,94.0
7,3,116.0
7,4,109.0
7,5,135.0
7,6,146.0
7,7,95.0
7,8,125.0
7,9,129.0
7,10,72.0
7,11,103.0
8,0,120.0
8,1,133.0
8,2,127.0
8,3,128.0
8,4,96.0
8,5,135.0
8,6,82.0
8,7,96.0
8,8,82.0
8,9,81.0
8,10,82.0
8,11,56.0
9,0,31.0
9,1,35.0
9,2,30.0
9,3,23.0
9,4,29.0
9,5,23.0
9,6,27.0
9,7,28.0
9,8,8.0
9,9,25.0
9,10,16.0
9,11,21.0
10,0,20.0
10,1,14.0
10,2,26.0
10,3,21.0
10,4,14.0
10,5,15.0
10,6,15.0
10,7,15.0
10,8,20.0
10,9,14.0
10,10,20.0
10,11,10.0
11,0,11.0
11,1,24.0
11,2,21.0
11,3,14.0
11,4,13.0
11,5,13.0
11,6,9.0
11,7,13.0
11,8,17.0
11,9,26.0
11,10,11.0
11,11,16.0
12,0,10.0
12,1,21.0
12,2,23.0
12,3,13.0
12,4,16.0
12,5,11.0
12,6,14.0
12,7,19.0
12,8,11.0
12,9,12.0
12,10,20.0
12,11,15.0
13,0,10.0
13,1,17.0
13,2,13.0
13,3,17.0
13,4,15.0
13,5,13.0
13,6,16.0
13,7,9.0
13,8,8.0
13,9,17.0
13,10,20.0
13,11,6.0
14,0,19.0
14,1,12.0
14,2,22.0
14,3,17.0
14,4,20.0
14,5,7.0
14,6,16.0
14,7,20.0
14,8,16.0
14,9,13.0
14,10,18.0
14,11,11.0
15,0,23.0
15,1,16.0
15,2,16.0
15,3,14.0
15,4,29.0
15,5,13.0
15,6,21.0
15,7,20.0
15,8,24.0
15,9,34.0
15,10,27.0
15,11,10.0
16,0,47.0
16,1,90.0
16,2,40.0
16,3,36.0
16,4,64.0
16,5,31.0
16,6,39.0
16,7,31.0
16,8,60.0
16,9,45.0
16,10,44.0
16,11,44.0
17,0,71.0
17,1,101.0
17,2,90.0
17,3,80.0
17,4,79.0
17,5,36.0
17,6,40.0
17,7,95.0
17,8,76.0
17,9,60.0
17,10,72.0
17,11,41.0
18,0,64.0
18,1,42.0
18,2,66.0
18,3,51.0
18,4,64.0
18,5,47.0
18,6,67.0
18,7,43.0
18,8,46.0
18,9,53.0
18,10,49.0
18,11,49.0
19,0,56.0
19,1,47.0
19,2,36.0
19,3,36.0
19,4,37.0
19,5,25.0
19,6,42.0
19,7,44.0
19,8,39.0
19,9,59.0
19,10,39.0
19,11,26.0
20,0,32.0
20,1,35.0
20,2,16.0
20,3,31.0
20,4,17.0
20,5,23.0
20,6,36.0
20,7,30.0
20,8,23.0
20,9,25.0
20,10,15.0
20,11,23.0
21,0,24.0
21,1,24.0
21,2,31.0
21,3,29.0
21,4,0.0
21,5,17.0
21,6,14.0
21,7,31.0
21,8,16.0
21,9,16.0
21,10,10.0
21,11,25.0
22,0,8.0
22,1,17.0
22,2,16.0
22,3,6.0
22,4,0.0
22,5,19.0
22,6,17.0
22,7,11.0
22,8,18.0
22,9,0.0
22,10,9.0
22,11,7.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
