时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,15.0
5,11,9.0
6,0,19.0
6,1,42.0
6,2,41.0
6,3,70.0
6,4,76.0
6,5,70.0
6,6,80.0
6,7,137.0
6,8,107.0
6,9,112.0
6,10,144.0
6,11,206.0
7,0,200.0
7,1,250.0
7,2,300.0
7,3,283.0
7,4,390.0
7,5,452.0
7,6,388.0
7,7,399.0
7,8,348.0
7,9,346.0
7,10,387.0
7,11,360.0
8,0,389.0
8,1,327.0
8,2,307.0
8,3,298.0
8,4,328.0
8,5,221.0
8,6,434.0
8,7,376.0
8,8,287.0
8,9,249.0
8,10,195.0
8,11,157.0
9,0,167.0
9,1,168.0
9,2,66.0
9,3,200.0
9,4,83.0
9,5,143.0
9,6,111.0
9,7,89.0
9,8,91.0
9,9,82.0
9,10,83.0
9,11,58.0
10,0,91.0
10,1,60.0
10,2,78.0
10,3,72.0
10,4,43.0
10,5,79.0
10,6,38.0
10,7,76.0
10,8,63.0
10,9,73.0
10,10,62.0
10,11,49.0
11,0,59.0
11,1,55.0
11,2,59.0
11,3,61.0
11,4,79.0
11,5,31.0
11,6,46.0
11,7,66.0
11,8,62.0
11,9,61.0
11,10,56.0
11,11,49.0
12,0,87.0
12,1,50.0
12,2,72.0
12,3,71.0
12,4,73.0
12,5,46.0
12,6,47.0
12,7,88.0
12,8,63.0
12,9,63.0
12,10,56.0
12,11,41.0
13,0,58.0
13,1,50.0
13,2,79.0
13,3,48.0
13,4,45.0
13,5,32.0
13,6,58.0
13,7,62.0
13,8,67.0
13,9,73.0
13,10,79.0
13,11,45.0
14,0,35.0
14,1,55.0
14,2,66.0
14,3,66.0
14,4,46.0
14,5,25.0
14,6,52.0
14,7,67.0
14,8,59.0
14,9,57.0
14,10,58.0
14,11,37.0
15,0,51.0
15,1,70.0
15,2,62.0
15,3,74.0
15,4,88.0
15,5,48.0
15,6,82.0
15,7,70.0
15,8,67.0
15,9,63.0
15,10,67.0
15,11,67.0
16,0,72.0
16,1,42.0
16,2,121.0
16,3,96.0
16,4,112.0
16,5,72.0
16,6,110.0
16,7,121.0
16,8,185.0
16,9,279.0
16,10,291.0
16,11,153.0
17,0,160.0
17,1,195.0
17,2,175.0
17,3,216.0
17,4,261.0
17,5,302.0
17,6,239.0
17,7,172.0
17,8,246.0
17,9,251.0
17,10,251.0
17,11,319.0
18,0,206.0
18,1,217.0
18,2,100.0
18,3,349.0
18,4,219.0
18,5,163.0
18,6,204.0
18,7,184.0
18,8,139.0
18,9,216.0
18,10,180.0
18,11,174.0
19,0,158.0
19,1,230.0
19,2,211.0
19,3,160.0
19,4,225.0
19,5,160.0
19,6,94.0
19,7,131.0
19,8,172.0
19,9,106.0
19,10,128.0
19,11,98.0
20,0,84.0
20,1,51.0
20,2,64.0
20,3,141.0
20,4,57.0
20,5,87.0
20,6,68.0
20,7,81.0
20,8,83.0
20,9,66.0
20,10,39.0
20,11,70.0
21,0,85.0
21,1,63.0
21,2,49.0
21,3,50.0
21,4,77.0
21,5,28.0
21,6,79.0
21,7,65.0
21,8,64.0
21,9,43.0
21,10,4.0
21,11,72.0
22,0,37.0
22,1,53.0
22,2,47.0
22,3,55.0
22,4,7.0
22,5,51.0
22,6,30.0
22,7,39.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
