时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,2.0
5,4,1.0
5,5,5.0
5,6,6.0
5,7,4.0
5,8,3.0
5,9,9.0
5,10,15.0
5,11,9.0
6,0,16.0
6,1,19.0
6,2,23.0
6,3,31.0
6,4,48.0
6,5,42.0
6,6,44.0
6,7,74.0
6,8,53.0
6,9,95.0
6,10,90.0
6,11,68.0
7,0,86.0
7,1,83.0
7,2,121.0
7,3,100.0
7,4,125.0
7,5,150.0
7,6,130.0
7,7,172.0
7,8,198.0
7,9,187.0
7,10,192.0
7,11,211.0
8,0,229.0
8,1,189.0
8,2,257.0
8,3,222.0
8,4,222.0
8,5,197.0
8,6,223.0
8,7,135.0
8,8,171.0
8,9,146.0
8,10,150.0
8,11,125.0
9,0,123.0
9,1,86.0
9,2,83.0
9,3,68.0
9,4,62.0
9,5,69.0
9,6,62.0
9,7,32.0
9,8,47.0
9,9,58.0
9,10,20.0
9,11,47.0
10,0,40.0
10,1,34.0
10,2,17.0
10,3,35.0
10,4,26.0
10,5,40.0
10,6,48.0
10,7,18.0
10,8,35.0
10,9,19.0
10,10,43.0
10,11,24.0
11,0,28.0
11,1,39.0
11,2,25.0
11,3,24.0
11,4,18.0
11,5,26.0
11,6,19.0
11,7,29.0
11,8,11.0
11,9,24.0
11,10,21.0
11,11,23.0
12,0,30.0
12,1,23.0
12,2,50.0
12,3,21.0
12,4,32.0
12,5,18.0
12,6,49.0
12,7,25.0
12,8,25.0
12,9,25.0
12,10,37.0
12,11,33.0
13,0,29.0
13,1,29.0
13,2,23.0
13,3,27.0
13,4,30.0
13,5,24.0
13,6,36.0
13,7,14.0
13,8,41.0
13,9,19.0
13,10,29.0
13,11,14.0
14,0,33.0
14,1,28.0
14,2,33.0
14,3,38.0
14,4,14.0
14,5,40.0
14,6,29.0
14,7,39.0
14,8,15.0
14,9,40.0
14,10,29.0
14,11,31.0
15,0,48.0
15,1,7.0
15,2,44.0
15,3,22.0
15,4,28.0
15,5,10.0
15,6,22.0
15,7,28.0
15,8,43.0
15,9,45.0
15,10,15.0
15,11,56.0
16,0,27.0
16,1,52.0
16,2,25.0
16,3,46.0
16,4,52.0
16,5,52.0
16,6,40.0
16,7,33.0
16,8,59.0
16,9,44.0
16,10,67.0
16,11,39.0
17,0,106.0
17,1,97.0
17,2,43.0
17,3,117.0
17,4,78.0
17,5,123.0
17,6,74.0
17,7,130.0
17,8,90.0
17,9,115.0
17,10,134.0
17,11,153.0
18,0,176.0
18,1,118.0
18,2,157.0
18,3,89.0
18,4,151.0
18,5,98.0
18,6,129.0
18,7,81.0
18,8,185.0
18,9,92.0
18,10,192.0
18,11,144.0
19,0,72.0
19,1,127.0
19,2,77.0
19,3,108.0
19,4,57.0
19,5,68.0
19,6,121.0
19,7,17.0
19,8,35.0
19,9,74.0
19,10,53.0
19,11,32.0
20,0,53.0
20,1,29.0
20,2,54.0
20,3,18.0
20,4,60.0
20,5,54.0
20,6,20.0
20,7,49.0
20,8,29.0
20,9,56.0
20,10,29.0
20,11,37.0
21,0,61.0
21,1,19.0
21,2,51.0
21,3,23.0
21,4,28.0
21,5,46.0
21,6,31.0
21,7,28.0
21,8,34.0
21,9,42.0
21,10,39.0
21,11,33.0
22,0,33.0
22,1,36.0
22,2,17.0
22,3,27.0
22,4,36.0
22,5,22.0
22,6,18.0
22,7,29.0
22,8,23.0
22,9,11.0
22,10,8.0
22,11,11.0
23,0,6.0
23,1,5.0
23,2,1.0
23,3,2.0
23,4,10.0
23,5,5.0
23,6,1.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
