时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,3.0
5,8,2.0
5,9,8.0
5,10,8.0
5,11,1.0
6,0,7.0
6,1,8.0
6,2,17.0
6,3,37.0
6,4,15.0
6,5,35.0
6,6,35.0
6,7,38.0
6,8,45.0
6,9,44.0
6,10,68.0
6,11,57.0
7,0,102.0
7,1,72.0
7,2,94.0
7,3,100.0
7,4,115.0
7,5,185.0
7,6,154.0
7,7,169.0
7,8,187.0
7,9,205.0
7,10,187.0
7,11,183.0
8,0,154.0
8,1,209.0
8,2,224.0
8,3,217.0
8,4,177.0
8,5,183.0
8,6,160.0
8,7,213.0
8,8,194.0
8,9,206.0
8,10,182.0
8,11,148.0
9,0,148.0
9,1,138.0
9,2,128.0
9,3,88.0
9,4,101.0
9,5,88.0
9,6,93.0
9,7,65.0
9,8,76.0
9,9,74.0
9,10,59.0
9,11,57.0
10,0,70.0
10,1,63.0
10,2,58.0
10,3,67.0
10,4,51.0
10,5,47.0
10,6,46.0
10,7,56.0
10,8,51.0
10,9,52.0
10,10,61.0
10,11,62.0
11,0,46.0
11,1,54.0
11,2,46.0
11,3,42.0
11,4,49.0
11,5,38.0
11,6,44.0
11,7,56.0
11,8,50.0
11,9,43.0
11,10,42.0
11,11,44.0
12,0,51.0
12,1,28.0
12,2,38.0
12,3,39.0
12,4,35.0
12,5,42.0
12,6,36.0
12,7,49.0
12,8,41.0
12,9,35.0
12,10,41.0
12,11,46.0
13,0,39.0
13,1,52.0
13,2,47.0
13,3,47.0
13,4,49.0
13,5,57.0
13,6,51.0
13,7,51.0
13,8,39.0
13,9,48.0
13,10,30.0
13,11,63.0
14,0,68.0
14,1,67.0
14,2,28.0
14,3,52.0
14,4,46.0
14,5,43.0
14,6,51.0
14,7,58.0
14,8,54.0
14,9,42.0
14,10,48.0
14,11,65.0
15,0,66.0
15,1,54.0
15,2,53.0
15,3,37.0
15,4,62.0
15,5,42.0
15,6,44.0
15,7,64.0
15,8,82.0
15,9,66.0
15,10,84.0
15,11,52.0
16,0,72.0
16,1,58.0
16,2,77.0
16,3,67.0
16,4,75.0
16,5,82.0
16,6,75.0
16,7,82.0
16,8,89.0
16,9,114.0
16,10,89.0
16,11,97.0
17,0,103.0
17,1,90.0
17,2,142.0
17,3,150.0
17,4,135.0
17,5,141.0
17,6,87.0
17,7,107.0
17,8,127.0
17,9,134.0
17,10,112.0
17,11,105.0
18,0,120.0
18,1,118.0
18,2,107.0
18,3,132.0
18,4,122.0
18,5,127.0
18,6,113.0
18,7,99.0
18,8,117.0
18,9,77.0
18,10,85.0
18,11,96.0
19,0,75.0
19,1,61.0
19,2,85.0
19,3,58.0
19,4,56.0
19,5,65.0
19,6,43.0
19,7,48.0
19,8,57.0
19,9,34.0
19,10,39.0
19,11,47.0
20,0,29.0
20,1,49.0
20,2,54.0
20,3,32.0
20,4,39.0
20,5,31.0
20,6,35.0
20,7,36.0
20,8,33.0
20,9,22.0
20,10,31.0
20,11,29.0
21,0,24.0
21,1,39.0
21,2,27.0
21,3,31.0
21,4,29.0
21,5,29.0
21,6,22.0
21,7,24.0
21,8,34.0
21,9,25.0
21,10,24.0
21,11,23.0
22,0,27.0
22,1,21.0
22,2,25.0
22,3,28.0
22,4,7.0
22,5,18.0
22,6,5.0
22,7,13.0
22,8,15.0
22,9,12.0
22,10,11.0
22,11,2.0
23,0,2.0
23,1,4.0
23,2,2.0
23,3,2.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
