时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,2.0
5,8,3.0
5,9,8.0
5,10,4.0
5,11,4.0
6,0,8.0
6,1,14.0
6,2,11.0
6,3,13.0
6,4,19.0
6,5,13.0
6,6,22.0
6,7,37.0
6,8,40.0
6,9,46.0
6,10,32.0
6,11,46.0
7,0,42.0
7,1,47.0
7,2,66.0
7,3,69.0
7,4,67.0
7,5,94.0
7,6,103.0
7,7,103.0
7,8,92.0
7,9,134.0
7,10,116.0
7,11,121.0
8,0,125.0
8,1,132.0
8,2,121.0
8,3,117.0
8,4,144.0
8,5,173.0
8,6,135.0
8,7,119.0
8,8,99.0
8,9,76.0
8,10,91.0
8,11,68.0
9,0,52.0
9,1,66.0
9,2,47.0
9,3,43.0
9,4,42.0
9,5,32.0
9,6,33.0
9,7,31.0
9,8,14.0
9,9,28.0
9,10,25.0
9,11,21.0
10,0,11.0
10,1,22.0
10,2,17.0
10,3,9.0
10,4,12.0
10,5,13.0
10,6,8.0
10,7,9.0
10,8,12.0
10,9,12.0
10,10,18.0
10,11,18.0
11,0,22.0
11,1,9.0
11,2,11.0
11,3,8.0
11,4,11.0
11,5,21.0
11,6,15.0
11,7,10.0
11,8,15.0
11,9,13.0
11,10,15.0
11,11,15.0
12,0,11.0
12,1,11.0
12,2,22.0
12,3,34.0
12,4,15.0
12,5,18.0
12,6,16.0
12,7,14.0
12,8,22.0
12,9,18.0
12,10,19.0
12,11,23.0
13,0,17.0
13,1,24.0
13,2,18.0
13,3,13.0
13,4,14.0
13,5,19.0
13,6,24.0
13,7,12.0
13,8,25.0
13,9,28.0
13,10,19.0
13,11,25.0
14,0,16.0
14,1,30.0
14,2,14.0
14,3,18.0
14,4,21.0
14,5,21.0
14,6,26.0
14,7,30.0
14,8,19.0
14,9,16.0
14,10,29.0
14,11,20.0
15,0,30.0
15,1,24.0
15,2,31.0
15,3,25.0
15,4,29.0
15,5,26.0
15,6,24.0
15,7,28.0
15,8,20.0
15,9,23.0
15,10,23.0
15,11,30.0
16,0,32.0
16,1,41.0
16,2,32.0
16,3,40.0
16,4,41.0
16,5,39.0
16,6,30.0
16,7,37.0
16,8,41.0
16,9,44.0
16,10,61.0
16,11,60.0
17,0,68.0
17,1,90.0
17,2,65.0
17,3,82.0
17,4,94.0
17,5,127.0
17,6,64.0
17,7,73.0
17,8,96.0
17,9,75.0
17,10,117.0
17,11,60.0
18,0,72.0
18,1,89.0
18,2,70.0
18,3,75.0
18,4,71.0
18,5,81.0
18,6,61.0
18,7,161.0
18,8,92.0
18,9,100.0
18,10,65.0
18,11,69.0
19,0,69.0
19,1,51.0
19,2,72.0
19,3,47.0
19,4,43.0
19,5,46.0
19,6,41.0
19,7,33.0
19,8,31.0
19,9,35.0
19,10,33.0
19,11,24.0
20,0,23.0
20,1,35.0
20,2,30.0
20,3,25.0
20,4,27.0
20,5,27.0
20,6,24.0
20,7,38.0
20,8,28.0
20,9,67.0
20,10,26.0
20,11,14.0
21,0,12.0
21,1,26.0
21,2,15.0
21,3,18.0
21,4,19.0
21,5,21.0
21,6,14.0
21,7,9.0
21,8,9.0
21,9,30.0
21,10,24.0
21,11,10.0
22,0,11.0
22,1,7.0
22,2,12.0
22,3,11.0
22,4,8.0
22,5,12.0
22,6,18.0
22,7,12.0
22,8,14.0
22,9,9.0
22,10,17.0
22,11,7.0
23,0,8.0
23,1,8.0
23,2,2.0
23,3,3.0
23,4,2.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
