时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,5.0
5,4,7.0
5,5,10.0
5,6,8.0
5,7,10.0
5,8,12.0
5,9,11.0
5,10,15.0
5,11,21.0
6,0,24.0
6,1,35.0
6,2,23.0
6,3,72.0
6,4,52.0
6,5,66.0
6,6,52.0
6,7,63.0
6,8,66.0
6,9,75.0
6,10,80.0
6,11,90.0
7,0,107.0
7,1,146.0
7,2,151.0
7,3,126.0
7,4,160.0
7,5,189.0
7,6,188.0
7,7,243.0
7,8,216.0
7,9,222.0
7,10,226.0
7,11,274.0
8,0,304.0
8,1,313.0
8,2,299.0
8,3,283.0
8,4,240.0
8,5,236.0
8,6,234.0
8,7,212.0
8,8,232.0
8,9,188.0
8,10,162.0
8,11,115.0
9,0,129.0
9,1,97.0
9,2,95.0
9,3,95.0
9,4,47.0
9,5,103.0
9,6,64.0
9,7,71.0
9,8,61.0
9,9,56.0
9,10,62.0
9,11,55.0
10,0,43.0
10,1,43.0
10,2,47.0
10,3,32.0
10,4,29.0
10,5,46.0
10,6,48.0
10,7,76.0
10,8,34.0
10,9,30.0
10,10,24.0
10,11,33.0
11,0,28.0
11,1,26.0
11,2,23.0
11,3,30.0
11,4,46.0
11,5,31.0
11,6,32.0
11,7,34.0
11,8,40.0
11,9,28.0
11,10,34.0
11,11,34.0
12,0,34.0
12,1,47.0
12,2,23.0
12,3,39.0
12,4,28.0
12,5,45.0
12,6,40.0
12,7,59.0
12,8,25.0
12,9,47.0
12,10,44.0
12,11,38.0
13,0,51.0
13,1,51.0
13,2,40.0
13,3,45.0
13,4,42.0
13,5,43.0
13,6,49.0
13,7,36.0
13,8,39.0
13,9,38.0
13,10,30.0
13,11,40.0
14,0,34.0
14,1,38.0
14,2,27.0
14,3,48.0
14,4,55.0
14,5,27.0
14,6,33.0
14,7,42.0
14,8,52.0
14,9,33.0
14,10,43.0
14,11,42.0
15,0,51.0
15,1,41.0
15,2,46.0
15,3,43.0
15,4,29.0
15,5,47.0
15,6,36.0
15,7,64.0
15,8,32.0
15,9,41.0
15,10,42.0
15,11,58.0
16,0,48.0
16,1,49.0
16,2,52.0
16,3,33.0
16,4,72.0
16,5,68.0
16,6,60.0
16,7,70.0
16,8,75.0
16,9,71.0
16,10,82.0
16,11,114.0
17,0,109.0
17,1,122.0
17,2,116.0
17,3,82.0
17,4,111.0
17,5,162.0
17,6,108.0
17,7,174.0
17,8,116.0
17,9,140.0
17,10,142.0
17,11,108.0
18,0,189.0
18,1,190.0
18,2,143.0
18,3,175.0
18,4,153.0
18,5,130.0
18,6,193.0
18,7,204.0
18,8,131.0
18,9,158.0
18,10,191.0
18,11,76.0
19,0,117.0
19,1,127.0
19,2,90.0
19,3,86.0
19,4,74.0
19,5,94.0
19,6,60.0
19,7,69.0
19,8,54.0
19,9,75.0
19,10,63.0
19,11,41.0
20,0,49.0
20,1,69.0
20,2,32.0
20,3,41.0
20,4,61.0
20,5,38.0
20,6,33.0
20,7,65.0
20,8,41.0
20,9,59.0
20,10,42.0
20,11,45.0
21,0,28.0
21,1,60.0
21,2,42.0
21,3,34.0
21,4,48.0
21,5,35.0
21,6,39.0
21,7,40.0
21,8,53.0
21,9,33.0
21,10,23.0
21,11,33.0
22,0,56.0
22,1,41.0
22,2,8.0
22,3,27.0
22,4,26.0
22,5,40.0
22,6,47.0
22,7,19.0
22,8,23.0
22,9,0.0
22,10,20.0
22,11,4.0
23,0,6.0
23,1,1.0
23,2,1.0
23,3,3.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
