时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,13.0
5,8,8.0
5,9,11.0
5,10,16.0
5,11,15.0
6,0,20.0
6,1,27.0
6,2,11.0
6,3,28.0
6,4,41.0
6,5,21.0
6,6,41.0
6,7,45.0
6,8,45.0
6,9,61.0
6,10,50.0
6,11,68.0
7,0,66.0
7,1,78.0
7,2,100.0
7,3,137.0
7,4,125.0
7,5,127.0
7,6,168.0
7,7,164.0
7,8,242.0
7,9,257.0
7,10,235.0
7,11,319.0
8,0,236.0
8,1,291.0
8,2,268.0
8,3,214.0
8,4,218.0
8,5,215.0
8,6,194.0
8,7,140.0
8,8,136.0
8,9,116.0
8,10,119.0
8,11,102.0
9,0,60.0
9,1,83.0
9,2,72.0
9,3,59.0
9,4,36.0
9,5,66.0
9,6,36.0
9,7,52.0
9,8,34.0
9,9,36.0
9,10,24.0
9,11,41.0
10,0,36.0
10,1,42.0
10,2,21.0
10,3,35.0
10,4,28.0
10,5,16.0
10,6,22.0
10,7,21.0
10,8,26.0
10,9,24.0
10,10,24.0
10,11,28.0
11,0,24.0
11,1,32.0
11,2,20.0
11,3,27.0
11,4,10.0
11,5,19.0
11,6,8.0
11,7,38.0
11,8,30.0
11,9,21.0
11,10,26.0
11,11,12.0
12,0,26.0
12,1,26.0
12,2,50.0
12,3,21.0
12,4,39.0
12,5,24.0
12,6,23.0
12,7,19.0
12,8,14.0
12,9,30.0
12,10,11.0
12,11,29.0
13,0,17.0
13,1,36.0
13,2,22.0
13,3,25.0
13,4,24.0
13,5,9.0
13,6,25.0
13,7,12.0
13,8,27.0
13,9,9.0
13,10,19.0
13,11,10.0
14,0,23.0
14,1,30.0
14,2,14.0
14,3,32.0
14,4,11.0
14,5,23.0
14,6,10.0
14,7,35.0
14,8,9.0
14,9,26.0
14,10,25.0
14,11,16.0
15,0,34.0
15,1,22.0
15,2,29.0
15,3,7.0
15,4,35.0
15,5,14.0
15,6,33.0
15,7,34.0
15,8,7.0
15,9,44.0
15,10,9.0
15,11,48.0
16,0,11.0
16,1,49.0
16,2,36.0
16,3,16.0
16,4,48.0
16,5,14.0
16,6,42.0
16,7,22.0
16,8,71.0
16,9,25.0
16,10,43.0
16,11,52.0
17,0,16.0
17,1,95.0
17,2,35.0
17,3,61.0
17,4,91.0
17,5,34.0
17,6,104.0
17,7,37.0
17,8,123.0
17,9,17.0
17,10,106.0
17,11,37.0
18,0,127.0
18,1,143.0
18,2,37.0
18,3,150.0
18,4,41.0
18,5,162.0
18,6,33.0
18,7,187.0
18,8,13.0
18,9,217.0
18,10,109.0
18,11,119.0
19,0,185.0
19,1,41.0
19,2,215.0
19,3,18.0
19,4,197.0
19,5,45.0
19,6,141.0
19,7,144.0
19,8,19.0
19,9,99.0
19,10,46.0
19,11,128.0
20,0,16.0
20,1,97.0
20,2,46.0
20,3,75.0
20,4,86.0
20,5,17.0
20,6,58.0
20,7,60.0
20,8,63.0
20,9,12.0
20,10,96.0
20,11,71.0
21,0,26.0
21,1,67.0
21,2,31.0
21,3,60.0
21,4,33.0
21,5,57.0
21,6,54.0
21,7,55.0
21,8,55.0
21,9,93.0
21,10,35.0
21,11,35.0
22,0,9.0
22,1,62.0
22,2,62.0
22,3,58.0
22,4,28.0
22,5,10.0
22,6,51.0
22,7,33.0
22,8,15.0
22,9,42.0
22,10,44.0
22,11,37.0
23,0,6.0
23,1,26.0
23,2,20.0
23,3,9.0
23,4,12.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
