时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,2.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,7.0
5,8,12.0
5,9,7.0
5,10,4.0
5,11,6.0
6,0,11.0
6,1,14.0
6,2,17.0
6,3,32.0
6,4,33.0
6,5,43.0
6,6,39.0
6,7,55.0
6,8,54.0
6,9,72.0
6,10,80.0
6,11,84.0
7,0,105.0
7,1,95.0
7,2,103.0
7,3,133.0
7,4,115.0
7,5,145.0
7,6,202.0
7,7,227.0
7,8,243.0
7,9,240.0
7,10,271.0
7,11,277.0
8,0,220.0
8,1,266.0
8,2,276.0
8,3,311.0
8,4,284.0
8,5,351.0
8,6,319.0
8,7,311.0
8,8,341.0
8,9,380.0
8,10,346.0
8,11,288.0
9,0,248.0
9,1,194.0
9,2,210.0
9,3,181.0
9,4,144.0
9,5,111.0
9,6,100.0
9,7,84.0
9,8,73.0
9,9,59.0
9,10,78.0
9,11,50.0
10,0,50.0
10,1,39.0
10,2,54.0
10,3,40.0
10,4,49.0
10,5,68.0
10,6,51.0
10,7,44.0
10,8,42.0
10,9,35.0
10,10,37.0
10,11,21.0
11,0,28.0
11,1,49.0
11,2,43.0
11,3,42.0
11,4,42.0
11,5,45.0
11,6,31.0
11,7,28.0
11,8,29.0
11,9,42.0
11,10,37.0
11,11,23.0
12,0,29.0
12,1,33.0
12,2,36.0
12,3,25.0
12,4,30.0
12,5,27.0
12,6,42.0
12,7,47.0
12,8,33.0
12,9,29.0
12,10,62.0
12,11,42.0
13,0,45.0
13,1,44.0
13,2,41.0
13,3,47.0
13,4,32.0
13,5,40.0
13,6,28.0
13,7,57.0
13,8,50.0
13,9,44.0
13,10,37.0
13,11,40.0
14,0,31.0
14,1,28.0
14,2,44.0
14,3,26.0
14,4,36.0
14,5,40.0
14,6,40.0
14,7,36.0
14,8,36.0
14,9,40.0
14,10,37.0
14,11,40.0
15,0,37.0
15,1,45.0
15,2,45.0
15,3,51.0
15,4,33.0
15,5,24.0
15,6,36.0
15,7,32.0
15,8,46.0
15,9,56.0
15,10,61.0
15,11,43.0
16,0,41.0
16,1,52.0
16,2,37.0
16,3,40.0
16,4,62.0
16,5,60.0
16,6,45.0
16,7,63.0
16,8,72.0
16,9,65.0
16,10,70.0
16,11,80.0
17,0,102.0
17,1,200.0
17,2,255.0
17,3,172.0
17,4,162.0
17,5,170.0
17,6,210.0
17,7,214.0
17,8,205.0
17,9,231.0
17,10,165.0
17,11,183.0
18,0,165.0
18,1,196.0
18,2,229.0
18,3,221.0
18,4,175.0
18,5,202.0
18,6,173.0
18,7,210.0
18,8,179.0
18,9,179.0
18,10,130.0
18,11,165.0
19,0,107.0
19,1,186.0
19,2,114.0
19,3,127.0
19,4,71.0
19,5,104.0
19,6,83.0
19,7,58.0
19,8,62.0
19,9,79.0
19,10,56.0
19,11,56.0
20,0,57.0
20,1,33.0
20,2,77.0
20,3,66.0
20,4,50.0
20,5,57.0
20,6,79.0
20,7,55.0
20,8,85.0
20,9,98.0
20,10,60.0
20,11,69.0
21,0,77.0
21,1,60.0
21,2,105.0
21,3,98.0
21,4,86.0
21,5,93.0
21,6,91.0
21,7,61.0
21,8,50.0
21,9,56.0
21,10,37.0
21,11,58.0
22,0,51.0
22,1,53.0
22,2,40.0
22,3,56.0
22,4,11.0
22,5,35.0
22,6,33.0
22,7,36.0
22,8,30.0
22,9,18.0
22,10,1.0
22,11,20.0
23,0,21.0
23,1,4.0
23,2,1.0
23,3,8.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
