时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,15.0
5,9,17.0
5,10,17.0
5,11,30.0
6,0,27.0
6,1,39.0
6,2,41.0
6,3,32.0
6,4,57.0
6,5,65.0
6,6,62.0
6,7,73.0
6,8,102.0
6,9,100.0
6,10,112.0
6,11,103.0
7,0,129.0
7,1,114.0
7,2,137.0
7,3,168.0
7,4,183.0
7,5,191.0
7,6,211.0
7,7,264.0
7,8,298.0
7,9,344.0
7,10,327.0
7,11,313.0
8,0,312.0
8,1,382.0
8,2,329.0
8,3,325.0
8,4,330.0
8,5,271.0
8,6,283.0
8,7,216.0
8,8,249.0
8,9,237.0
8,10,243.0
8,11,170.0
9,0,161.0
9,1,153.0
9,2,142.0
9,3,136.0
9,4,136.0
9,5,111.0
9,6,97.0
9,7,91.0
9,8,88.0
9,9,59.0
9,10,74.0
9,11,60.0
10,0,69.0
10,1,57.0
10,2,68.0
10,3,49.0
10,4,65.0
10,5,59.0
10,6,53.0
10,7,65.0
10,8,55.0
10,9,56.0
10,10,53.0
10,11,41.0
11,0,48.0
11,1,48.0
11,2,59.0
11,3,32.0
11,4,50.0
11,5,47.0
11,6,45.0
11,7,44.0
11,8,37.0
11,9,49.0
11,10,49.0
11,11,48.0
12,0,49.0
12,1,54.0
12,2,47.0
12,3,45.0
12,4,58.0
12,5,53.0
12,6,37.0
12,7,54.0
12,8,56.0
12,9,47.0
12,10,50.0
12,11,40.0
13,0,41.0
13,1,50.0
13,2,49.0
13,3,44.0
13,4,52.0
13,5,58.0
13,6,42.0
13,7,39.0
13,8,43.0
13,9,34.0
13,10,36.0
13,11,48.0
14,0,45.0
14,1,49.0
14,2,61.0
14,3,43.0
14,4,53.0
14,5,44.0
14,6,57.0
14,7,52.0
14,8,57.0
14,9,40.0
14,10,70.0
14,11,50.0
15,0,53.0
15,1,57.0
15,2,43.0
15,3,61.0
15,4,58.0
15,5,56.0
15,6,56.0
15,7,63.0
15,8,60.0
15,9,56.0
15,10,75.0
15,11,60.0
16,0,58.0
16,1,67.0
16,2,49.0
16,3,82.0
16,4,52.0
16,5,73.0
16,6,84.0
16,7,79.0
16,8,107.0
16,9,81.0
16,10,85.0
16,11,147.0
17,0,113.0
17,1,135.0
17,2,126.0
17,3,173.0
17,4,166.0
17,5,131.0
17,6,189.0
17,7,174.0
17,8,155.0
17,9,233.0
17,10,216.0
17,11,160.0
18,0,218.0
18,1,242.0
18,2,215.0
18,3,227.0
18,4,240.0
18,5,204.0
18,6,196.0
18,7,255.0
18,8,157.0
18,9,280.0
18,10,222.0
18,11,176.0
19,0,199.0
19,1,177.0
19,2,169.0
19,3,173.0
19,4,173.0
19,5,124.0
19,6,95.0
19,7,122.0
19,8,79.0
19,9,88.0
19,10,100.0
19,11,88.0
20,0,82.0
20,1,113.0
20,2,75.0
20,3,37.0
20,4,107.0
20,5,79.0
20,6,41.0
20,7,73.0
20,8,60.0
20,9,67.0
20,10,61.0
20,11,45.0
21,0,84.0
21,1,79.0
21,2,49.0
21,3,55.0
21,4,72.0
21,5,47.0
21,6,71.0
21,7,40.0
21,8,67.0
21,9,66.0
21,10,56.0
21,11,10.0
22,0,72.0
22,1,48.0
22,2,42.0
22,3,29.0
22,4,41.0
22,5,36.0
22,6,4.0
22,7,63.0
22,8,43.0
22,9,39.0
22,10,15.0
22,11,33.0
23,0,21.0
23,1,4.0
23,2,15.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
