时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,0.0
5,5,6.0
5,6,10.0
5,7,6.0
5,8,4.0
5,9,12.0
5,10,9.0
5,11,9.0
6,0,10.0
6,1,10.0
6,2,57.0
6,3,21.0
6,4,41.0
6,5,34.0
6,6,32.0
6,7,45.0
6,8,31.0
6,9,58.0
6,10,58.0
6,11,68.0
7,0,20.0
7,1,56.0
7,2,107.0
7,3,83.0
7,4,106.0
7,5,54.0
7,6,106.0
7,7,86.0
7,8,91.0
7,9,100.0
7,10,50.0
7,11,90.0
8,0,91.0
8,1,70.0
8,2,67.0
8,3,71.0
8,4,81.0
8,5,32.0
8,6,38.0
8,7,43.0
8,8,57.0
8,9,55.0
8,10,25.0
8,11,38.0
9,0,23.0
9,1,42.0
9,2,24.0
9,3,33.0
9,4,32.0
9,5,28.0
9,6,18.0
9,7,32.0
9,8,27.0
9,9,30.0
9,10,10.0
9,11,42.0
10,0,12.0
10,1,34.0
10,2,24.0
10,3,20.0
10,4,22.0
10,5,16.0
10,6,24.0
10,7,7.0
10,8,39.0
10,9,30.0
10,10,9.0
10,11,23.0
11,0,7.0
11,1,25.0
11,2,25.0
11,3,23.0
11,4,4.0
11,5,21.0
11,6,20.0
11,7,16.0
11,8,30.0
11,9,15.0
11,10,19.0
11,11,10.0
12,0,28.0
12,1,29.0
12,2,20.0
12,3,10.0
12,4,24.0
12,5,29.0
12,6,7.0
12,7,41.0
12,8,16.0
12,9,21.0
12,10,13.0
12,11,26.0
13,0,12.0
13,1,16.0
13,2,44.0
13,3,8.0
13,4,24.0
13,5,13.0
13,6,27.0
13,7,0.0
13,8,46.0
13,9,14.0
13,10,31.0
13,11,42.0
14,0,11.0
14,1,25.0
14,2,31.0
14,3,35.0
14,4,17.0
14,5,35.0
14,6,9.0
14,7,25.0
14,8,60.0
14,9,28.0
14,10,32.0
14,11,7.0
15,0,28.0
15,1,9.0
15,2,50.0
15,3,12.0
15,4,33.0
15,5,46.0
15,6,8.0
15,7,27.0
15,8,36.0
15,9,30.0
15,10,6.0
15,11,34.0
16,0,41.0
16,1,47.0
16,2,41.0
16,3,12.0
16,4,34.0
16,5,1.0
16,6,1.0
16,7,25.0
16,8,37.0
16,9,13.0
16,10,61.0
16,11,17.0
17,0,29.0
17,1,38.0
17,2,23.0
17,3,67.0
17,4,53.0
17,5,29.0
17,6,66.0
17,7,33.0
17,8,105.0
17,9,26.0
17,10,71.0
17,11,28.0
18,0,73.0
18,1,55.0
18,2,33.0
18,3,69.0
18,4,9.0
18,5,59.0
18,6,17.0
18,7,79.0
18,8,5.0
18,9,66.0
18,10,31.0
18,11,38.0
19,0,36.0
19,1,9.0
19,2,69.0
19,3,14.0
19,4,46.0
19,5,5.0
19,6,47.0
19,7,43.0
19,8,11.0
19,9,20.0
19,10,27.0
19,11,28.0
20,0,11.0
20,1,23.0
20,2,4.0
20,3,21.0
20,4,7.0
20,5,13.0
20,6,14.0
20,7,20.0
20,8,17.0
20,9,5.0
20,10,17.0
20,11,18.0
21,0,5.0
21,1,14.0
21,2,0.0
21,3,19.0
21,4,5.0
21,5,13.0
21,6,8.0
21,7,6.0
21,8,9.0
21,9,17.0
21,10,8.0
21,11,17.0
22,0,9.0
22,1,3.0
22,2,12.0
22,3,7.0
22,4,0.0
22,5,9.0
22,6,7.0
22,7,6.0
22,8,3.0
22,9,14.0
22,10,5.0
22,11,2.0
23,0,5.0
23,1,8.0
23,2,1.0
23,3,2.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
