时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,9.0
5,8,13.0
5,9,16.0
5,10,26.0
5,11,24.0
6,0,26.0
6,1,30.0
6,2,40.0
6,3,61.0
6,4,64.0
6,5,55.0
6,6,67.0
6,7,62.0
6,8,73.0
6,9,112.0
6,10,105.0
6,11,113.0
7,0,122.0
7,1,89.0
7,2,152.0
7,3,133.0
7,4,188.0
7,5,177.0
7,6,200.0
7,7,226.0
7,8,235.0
7,9,252.0
7,10,262.0
7,11,235.0
8,0,264.0
8,1,224.0
8,2,272.0
8,3,252.0
8,4,223.0
8,5,205.0
8,6,180.0
8,7,174.0
8,8,164.0
8,9,134.0
8,10,150.0
8,11,92.0
9,0,95.0
9,1,92.0
9,2,119.0
9,3,87.0
9,4,91.0
9,5,71.0
9,6,83.0
9,7,53.0
9,8,71.0
9,9,60.0
9,10,67.0
9,11,42.0
10,0,57.0
10,1,48.0
10,2,76.0
10,3,59.0
10,4,44.0
10,5,33.0
10,6,47.0
10,7,48.0
10,8,49.0
10,9,58.0
10,10,58.0
10,11,59.0
11,0,52.0
11,1,48.0
11,2,47.0
11,3,50.0
11,4,52.0
11,5,32.0
11,6,34.0
11,7,55.0
11,8,58.0
11,9,49.0
11,10,60.0
11,11,44.0
12,0,37.0
12,1,55.0
12,2,44.0
12,3,74.0
12,4,56.0
12,5,67.0
12,6,57.0
12,7,43.0
12,8,47.0
12,9,41.0
12,10,51.0
12,11,45.0
13,0,53.0
13,1,48.0
13,2,67.0
13,3,53.0
13,4,51.0
13,5,52.0
13,6,32.0
13,7,39.0
13,8,55.0
13,9,50.0
13,10,49.0
13,11,69.0
14,0,56.0
14,1,58.0
14,2,54.0
14,3,42.0
14,4,43.0
14,5,34.0
14,6,32.0
14,7,68.0
14,8,53.0
14,9,46.0
14,10,42.0
14,11,62.0
15,0,28.0
15,1,44.0
15,2,62.0
15,3,77.0
15,4,53.0
15,5,92.0
15,6,55.0
15,7,49.0
15,8,55.0
15,9,73.0
15,10,56.0
15,11,55.0
16,0,55.0
16,1,78.0
16,2,74.0
16,3,67.0
16,4,62.0
16,5,72.0
16,6,53.0
16,7,85.0
16,8,98.0
16,9,98.0
16,10,92.0
16,11,112.0
17,0,122.0
17,1,141.0
17,2,126.0
17,3,153.0
17,4,164.0
17,5,152.0
17,6,216.0
17,7,155.0
17,8,180.0
17,9,164.0
17,10,171.0
17,11,168.0
18,0,188.0
18,1,174.0
18,2,204.0
18,3,232.0
18,4,141.0
18,5,218.0
18,6,204.0
18,7,119.0
18,8,186.0
18,9,197.0
18,10,154.0
18,11,180.0
19,0,224.0
19,1,116.0
19,2,175.0
19,3,150.0
19,4,116.0
19,5,101.0
19,6,108.0
19,7,99.0
19,8,109.0
19,9,120.0
19,10,109.0
19,11,64.0
20,0,84.0
20,1,69.0
20,2,96.0
20,3,76.0
20,4,38.0
20,5,69.0
20,6,67.0
20,7,57.0
20,8,48.0
20,9,66.0
20,10,69.0
20,11,45.0
21,0,64.0
21,1,53.0
21,2,44.0
21,3,63.0
21,4,50.0
21,5,59.0
21,6,40.0
21,7,62.0
21,8,61.0
21,9,52.0
21,10,45.0
21,11,25.0
22,0,56.0
22,1,61.0
22,2,78.0
22,3,49.0
22,4,21.0
22,5,43.0
22,6,34.0
22,7,16.0
22,8,21.0
22,9,39.0
22,10,24.0
22,11,2.0
23,0,24.0
23,1,17.0
23,2,10.0
23,3,10.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
