时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,3.0
5,10,10.0
5,11,12.0
6,0,15.0
6,1,20.0
6,2,17.0
6,3,22.0
6,4,31.0
6,5,40.0
6,6,44.0
6,7,37.0
6,8,62.0
6,9,75.0
6,10,76.0
6,11,80.0
7,0,86.0
7,1,91.0
7,2,100.0
7,3,106.0
7,4,101.0
7,5,111.0
7,6,118.0
7,7,142.0
7,8,163.0
7,9,169.0
7,10,168.0
7,11,147.0
8,0,167.0
8,1,184.0
8,2,164.0
8,3,166.0
8,4,168.0
8,5,163.0
8,6,131.0
8,7,118.0
8,8,109.0
8,9,154.0
8,10,118.0
8,11,91.0
9,0,105.0
9,1,104.0
9,2,105.0
9,3,93.0
9,4,82.0
9,5,80.0
9,6,68.0
9,7,82.0
9,8,65.0
9,9,60.0
9,10,47.0
9,11,50.0
10,0,54.0
10,1,52.0
10,2,57.0
10,3,48.0
10,4,45.0
10,5,44.0
10,6,59.0
10,7,47.0
10,8,44.0
10,9,39.0
10,10,41.0
10,11,44.0
11,0,36.0
11,1,38.0
11,2,32.0
11,3,45.0
11,4,53.0
11,5,47.0
11,6,43.0
11,7,50.0
11,8,54.0
11,9,41.0
11,10,33.0
11,11,34.0
12,0,40.0
12,1,39.0
12,2,27.0
12,3,26.0
12,4,35.0
12,5,29.0
12,6,43.0
12,7,38.0
12,8,35.0
12,9,31.0
12,10,37.0
12,11,38.0
13,0,28.0
13,1,37.0
13,2,33.0
13,3,41.0
13,4,36.0
13,5,33.0
13,6,42.0
13,7,45.0
13,8,44.0
13,9,31.0
13,10,38.0
13,11,53.0
14,0,38.0
14,1,50.0
14,2,48.0
14,3,38.0
14,4,29.0
14,5,32.0
14,6,36.0
14,7,61.0
14,8,43.0
14,9,42.0
14,10,47.0
14,11,34.0
15,0,44.0
15,1,26.0
15,2,43.0
15,3,44.0
15,4,47.0
15,5,47.0
15,6,58.0
15,7,39.0
15,8,56.0
15,9,60.0
15,10,35.0
15,11,48.0
16,0,57.0
16,1,36.0
16,2,42.0
16,3,51.0
16,4,47.0
16,5,54.0
16,6,56.0
16,7,52.0
16,8,96.0
16,9,112.0
16,10,113.0
16,11,135.0
17,0,136.0
17,1,146.0
17,2,160.0
17,3,118.0
17,4,113.0
17,5,120.0
17,6,117.0
17,7,103.0
17,8,118.0
17,9,115.0
17,10,94.0
17,11,116.0
18,0,124.0
18,1,98.0
18,2,129.0
18,3,120.0
18,4,108.0
18,5,101.0
18,6,130.0
18,7,79.0
18,8,123.0
18,9,73.0
18,10,97.0
18,11,107.0
19,0,76.0
19,1,98.0
19,2,108.0
19,3,99.0
19,4,76.0
19,5,64.0
19,6,72.0
19,7,51.0
19,8,65.0
19,9,51.0
19,10,48.0
19,11,32.0
20,0,50.0
20,1,31.0
20,2,57.0
20,3,38.0
20,4,45.0
20,5,40.0
20,6,47.0
20,7,30.0
20,8,29.0
20,9,48.0
20,10,36.0
20,11,42.0
21,0,36.0
21,1,22.0
21,2,55.0
21,3,40.0
21,4,29.0
21,5,50.0
21,6,23.0
21,7,43.0
21,8,35.0
21,9,37.0
21,10,17.0
21,11,34.0
22,0,24.0
22,1,28.0
22,2,29.0
22,3,14.0
22,4,33.0
22,5,5.0
22,6,41.0
22,7,18.0
22,8,22.0
22,9,8.0
22,10,21.0
22,11,10.0
23,0,3.0
23,1,9.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
