时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,3.0
5,6,9.0
5,7,4.0
5,8,7.0
5,9,3.0
5,10,6.0
5,11,8.0
6,0,4.0
6,1,10.0
6,2,25.0
6,3,17.0
6,4,19.0
6,5,58.0
6,6,47.0
6,7,64.0
6,8,76.0
6,9,54.0
6,10,102.0
6,11,51.0
7,0,61.0
7,1,70.0
7,2,94.0
7,3,117.0
7,4,134.0
7,5,207.0
7,6,119.0
7,7,211.0
7,8,111.0
7,9,198.0
7,10,185.0
7,11,158.0
8,0,180.0
8,1,201.0
8,2,205.0
8,3,203.0
8,4,141.0
8,5,193.0
8,6,170.0
8,7,133.0
8,8,129.0
8,9,148.0
8,10,148.0
8,11,129.0
9,0,98.0
9,1,81.0
9,2,62.0
9,3,85.0
9,4,59.0
9,5,49.0
9,6,34.0
9,7,36.0
9,8,49.0
9,9,60.0
9,10,33.0
9,11,55.0
10,0,18.0
10,1,54.0
10,2,17.0
10,3,53.0
10,4,50.0
10,5,27.0
10,6,36.0
10,7,15.0
10,8,53.0
10,9,17.0
10,10,32.0
10,11,22.0
11,0,33.0
11,1,34.0
11,2,16.0
11,3,33.0
11,4,19.0
11,5,46.0
11,6,15.0
11,7,41.0
11,8,21.0
11,9,23.0
11,10,42.0
11,11,9.0
12,0,34.0
12,1,16.0
12,2,34.0
12,3,15.0
12,4,40.0
12,5,17.0
12,6,21.0
12,7,45.0
12,8,9.0
12,9,26.0
12,10,17.0
12,11,25.0
13,0,19.0
13,1,33.0
13,2,20.0
13,3,44.0
13,4,32.0
13,5,22.0
13,6,46.0
13,7,15.0
13,8,41.0
13,9,16.0
13,10,44.0
13,11,19.0
14,0,44.0
14,1,40.0
14,2,21.0
14,3,48.0
14,4,16.0
14,5,46.0
14,6,14.0
14,7,46.0
14,8,25.0
14,9,33.0
14,10,50.0
14,11,21.0
15,0,52.0
15,1,24.0
15,2,48.0
15,3,24.0
15,4,60.0
15,5,40.0
15,6,32.0
15,7,55.0
15,8,17.0
15,9,46.0
15,10,17.0
15,11,65.0
16,0,27.0
16,1,70.0
16,2,47.0
16,3,55.0
16,4,77.0
16,5,50.0
16,6,49.0
16,7,36.0
16,8,72.0
16,9,62.0
16,10,75.0
16,11,59.0
17,0,56.0
17,1,83.0
17,2,33.0
17,3,165.0
17,4,33.0
17,5,140.0
17,6,26.0
17,7,153.0
17,8,57.0
17,9,167.0
17,10,134.0
17,11,77.0
18,0,162.0
18,1,37.0
18,2,186.0
18,3,24.0
18,4,179.0
18,5,67.0
18,6,107.0
18,7,82.0
18,8,130.0
18,9,116.0
18,10,78.0
18,11,160.0
19,0,10.0
19,1,145.0
19,2,13.0
19,3,113.0
19,4,77.0
19,5,40.0
19,6,71.0
19,7,27.0
19,8,46.0
19,9,23.0
19,10,55.0
19,11,28.0
20,0,43.0
20,1,25.0
20,2,11.0
20,3,26.0
20,4,14.0
20,5,40.0
20,6,3.0
20,7,48.0
20,8,20.0
20,9,15.0
20,10,30.0
20,11,25.0
21,0,36.0
21,1,16.0
21,2,36.0
21,3,16.0
21,4,16.0
21,5,23.0
21,6,22.0
21,7,15.0
21,8,17.0
21,9,11.0
21,10,4.0
21,11,37.0
22,0,23.0
22,1,25.0
22,2,15.0
22,3,24.0
22,4,17.0
22,5,13.0
22,6,6.0
22,7,10.0
22,8,8.0
22,9,12.0
22,10,13.0
22,11,11.0
23,0,0.0
23,1,7.0
23,2,6.0
23,3,5.0
23,4,0.0
23,5,0.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
